NO,Polygon Points
50,"(5598.220, 3416.694); (5630.938, 3423.972); (5630.838, 3434.037); (5630.773, 3440.212); (5630.729, 3444.028); (5630.696, 3446.552); (5619.691, 3445.692); (5613.957, 3445.098); (5583.793, 3432.156); (5579.157, 3425.796); (5577.012, 3418.539); (5584.805, 3416.880)"
51,"(7045.842, 3455.803); (7020.827, 3479.443); (7006.325, 3477.624); (7001.653, 3475.427); (6993.418, 3465.670); (6984.691, 3439.183); (6996.643, 3434.569); (7020.156, 3434.027); (7035.585, 3439.927); (7042.674, 3443.614)"
52,"(905.018, 3270.576); (906.578, 3257.453); (916.991, 3257.813); (923.508, 3269.960); (921.869, 3279.080); (917.212, 3286.968); (914.308, 3286.299); (906.968, 3281.980)"
53,"(7304.841, 3310.974); (7303.629, 3318.754); (7286.904, 3312.586); (7278.351, 3306.303); (7272.889, 3294.638); (7280.069, 3292.331); (7296.920, 3292.679); (7298.567, 3295.078); (7302.881, 3304.300)"
54,"(6643.439, 3406.687); (6632.853, 3415.380); (6636.685, 3400.584); (6639.142, 3397.124); (6644.429, 3396.975); (6653.904, 3396.755)"
55,"(4380.888, 3142.663); (4377.422, 3137.481); (4381.065, 3133.325); (4386.622, 3134.712)"
56,"(593.206, 3110.624); (585.359, 3110.145); (586.045, 3106.573)"
57,"(6924.301, 3344.327); (6933.000, 3351.448); (6932.985, 3373.740); (6928.650, 3378.732); (6923.389, 3383.029); (6915.344, 3382.798); (6898.996, 3372.615); (6888.801, 3354.865); (6902.706, 3347.853)"
58,"(2040.388, 3316.847); (2064.178, 3326.578); (2059.406, 3347.115); (2057.231, 3348.932); (2054.197, 3350.622); (2037.941, 3340.854); (2028.515, 3327.896); (2025.250, 3323.396); (2031.919, 3319.501)"
59,"(2175.106, 3319.297); (2156.981, 3317.461); (2153.111, 3310.369); (2152.985, 3303.058); (2157.820, 3299.906); (2171.470, 3301.723); (2178.193, 3303.284); (2189.392, 3313.118); (2183.337, 3317.323)"
60,"(736.971, 3256.860); (736.715, 3286.490); (720.986, 3286.906); (713.474, 3282.645); (713.083, 3278.889); (718.266, 3259.510)"
61,"(6031.130, 3414.524); (6024.645, 3406.808); (6026.951, 3398.509); (6037.604, 3371.524); (6044.929, 3369.073); (6069.688, 3364.341); (6069.487, 3375.006); (6051.360, 3404.670); (6041.996, 3410.860)"
62,"(7017.416, 3390.325); (7021.992, 3380.375); (7040.294, 3374.659); (7053.274, 3378.723); (7062.348, 3388.567); (7067.950, 3401.275); (7067.627, 3407.501); (7062.562, 3414.236); (7051.256, 3414.526); (7043.220, 3412.041); (7021.805, 3398.662)"
63,"(3537.838, 3379.614); (3529.311, 3364.811); (3535.828, 3355.501); (3546.978, 3351.960); (3560.898, 3354.178); (3574.527, 3365.301); (3564.639, 3378.084); (3560.737, 3381.338); (3544.617, 3382.985)"
64,"(5330.284, 3380.019); (5341.427, 3403.850); (5339.088, 3408.505); (5335.771, 3415.073); (5325.374, 3413.525); (5316.777, 3410.577); (5302.278, 3399.382); (5288.809, 3380.266); (5293.693, 3377.573); (5324.396, 3378.587)"
65,"(1161.024, 3564.315); (1165.787, 3543.633); (1180.478, 3535.884); (1196.447, 3540.138); (1204.434, 3544.756); (1215.011, 3553.104); (1206.553, 3561.042); (1181.235, 3573.712); (1173.322, 3575.218); (1165.308, 3571.383)"
66,"(4874.269, 3248.838); (4872.992, 3236.677); (4888.321, 3237.525); (4896.884, 3238.091); (4896.197, 3243.257); (4888.932, 3252.360); (4882.379, 3255.287); (4878.034, 3253.609)"
67,"(703.542, 3222.045); (697.623, 3223.357); (685.493, 3214.449); (681.360, 3200.525); (687.142, 3199.685); (696.212, 3201.345); (701.079, 3203.612)"
68,"(7439.592, 3203.939); (7451.228, 3205.582); (7447.111, 3216.383); (7435.752, 3222.963); (7433.374, 3222.061); (7433.410, 3213.774)"
69,"(339.066, 3281.897); (329.276, 3273.927); (336.051, 3265.784); (341.249, 3259.823); (354.532, 3259.516); (358.980, 3263.439); (358.893, 3269.745); (346.760, 3287.317)"
70,"(7401.258, 3359.250); (7415.417, 3354.136); (7430.479, 3353.766); (7440.108, 3359.224); (7441.295, 3364.098); (7442.513, 3375.877); (7441.619, 3378.864); (7434.540, 3383.416); (7431.231, 3383.434); (7409.100, 3372.040); (7403.533, 3367.562)"
71,"(7431.796, 3307.232); (7412.409, 3318.595); (7405.428, 3317.755); (7401.762, 3315.875); (7401.083, 3298.527); (7415.264, 3297.191); (7430.164, 3300.503)"
72,"(1825.261, 3235.856); (1826.484, 3241.569); (1817.062, 3254.522); (1813.407, 3255.398); (1809.175, 3254.551); (1803.491, 3250.393); (1800.644, 3247.671); (1801.805, 3243.836); (1808.525, 3232.561); (1813.409, 3229.773); (1818.520, 3229.265)"
73,"(6052.170, 3267.248); (6052.903, 3277.725); (6045.462, 3282.197); (6034.937, 3285.266); (6025.022, 3287.383); (6025.482, 3277.408); (6025.861, 3272.639); (6027.841, 3261.522); (6045.732, 3263.748)"
74,"(2357.335, 3542.589); (2345.289, 3527.382); (2352.178, 3522.895); (2357.406, 3522.748); (2360.552, 3525.977); (2358.687, 3540.307)"
75,"(3272.731, 3357.012); (3279.158, 3354.698); (3293.780, 3351.836); (3314.922, 3357.501); (3320.408, 3375.120); (3318.761, 3379.622); (3312.570, 3383.369); (3307.430, 3382.255); (3299.380, 3379.010); (3280.791, 3366.666)"
76,"(7390.207, 3269.884); (7376.888, 3287.027); (7375.703, 3283.780); (7369.433, 3264.534); (7376.440, 3262.128); (7384.077, 3265.097)"
77,"(1896.557, 3179.258); (1904.143, 3176.442); (1909.735, 3179.118); (1909.674, 3188.489); (1908.217, 3190.741); (1901.922, 3186.616)"
78,"(2504.989, 3260.667); (2519.895, 3257.538); (2524.320, 3258.023); (2534.063, 3287.397); (2527.707, 3286.085); (2516.913, 3275.145); (2511.518, 3268.996)"
79,"(873.012, 3327.561); (880.832, 3333.004); (873.868, 3344.071); (869.490, 3347.819); (865.377, 3350.923); (855.257, 3343.510); (845.898, 3331.705); (841.072, 3323.809); (848.756, 3324.598); (861.176, 3325.882)"
80,"(7837.565, 3293.718); (7847.832, 3310.517); (7838.215, 3316.334); (7831.296, 3318.427); (7828.939, 3319.091); (7820.034, 3315.475); (7818.290, 3309.580); (7817.286, 3302.618); (7821.747, 3298.591)"
81,"(7464.927, 3355.590); (7488.226, 3346.176); (7502.550, 3356.113); (7505.296, 3360.306); (7507.193, 3367.289); (7501.676, 3381.227); (7494.158, 3382.991); (7482.514, 3378.581); (7469.449, 3369.948); (7464.939, 3362.777)"
82,"(1961.442, 3220.981); (1962.721, 3204.311); (1974.175, 3206.691); (1983.267, 3209.428); (1968.787, 3223.256); (1966.174, 3223.347)"
83,"(6636.389, 3654.844); (6633.005, 3632.691); (6644.173, 3632.896); (6644.823, 3645.736); (6640.078, 3652.937)"
84,"(3441.209, 3255.367); (3432.873, 3254.241); (3433.400, 3232.992); (3450.249, 3229.603); (3453.100, 3232.207); (3446.130, 3249.636)"
85,"(2219.333, 3255.277); (2217.126, 3245.447); (2220.037, 3234.108); (2234.752, 3230.033); (2243.257, 3231.712); (2242.006, 3241.706); (2239.383, 3247.968)"
86,"(5224.809, 3206.024); (5245.452, 3207.306); (5244.991, 3219.013); (5243.740, 3223.427); (5235.853, 3219.483); (5230.702, 3214.419)"
87,"(2346.447, 3255.473); (2344.915, 3251.174); (2346.998, 3238.029); (2359.745, 3236.696); (2370.963, 3236.261); (2367.782, 3243.295); (2353.544, 3254.566)"
88,"(25.592, 3287.202); (9.175, 3281.576); (14.895, 3260.134); (39.163, 3255.683)"
89,"(3308.622, 3218.014); (3304.781, 3211.477); (3306.105, 3208.293); (3318.566, 3205.125); (3324.314, 3207.095); (3327.246, 3214.024); (3316.668, 3222.642); (3311.786, 3222.993)"
90,"(174.832, 3191.035); (168.521, 3183.389); (170.481, 3174.479); (175.882, 3172.145); (184.928, 3177.200); (179.292, 3190.761)"
91,"(1161.052, 3203.847); (1168.225, 3204.100); (1173.377, 3211.418); (1170.582, 3217.742); (1163.728, 3222.728); (1161.345, 3210.209)"
92,"(381.802, 3117.999); (384.958, 3121.786); (381.204, 3126.265); (376.745, 3126.948); (379.174, 3122.475)"
93,"(5608.640, 3672.900); (5629.120, 3666.889); (5627.710, 3689.938); (5620.331, 3697.089); (5612.372, 3703.149)"
94,"(1138.251, 3522.228); (1144.687, 3522.163); (1148.752, 3528.320); (1144.833, 3529.773)"
95,"(344.918, 3127.303); (346.499, 3120.900); (353.927, 3124.273); (349.003, 3127.417)"
96,"(3928.519, 3351.375); (3928.939, 3339.783); (3936.161, 3336.918); (3935.179, 3344.739)"
97,"(6136.864, 3253.648); (6144.278, 3250.842); (6146.149, 3255.153); (6144.483, 3265.819); (6142.566, 3271.119); (6138.086, 3266.270)"
98,"(4860.590, 3220.097); (4850.402, 3222.678); (4844.620, 3215.526); (4841.269, 3206.575); (4854.364, 3214.193)"
99,"(5013.598, 3221.529); (5008.472, 3223.389); (5004.674, 3222.084); (5000.646, 3216.376); (5002.501, 3211.955); (5007.913, 3207.886); (5018.701, 3201.683); (5017.646, 3209.097)"
100,"(1849.124, 3687.303); (1854.135, 3692.026); (1854.833, 3693.908); (1849.292, 3691.397)"
101,"(5336.622, 3214.898); (5338.690, 3204.191); (5352.124, 3205.384); (5349.200, 3218.477); (5347.587, 3222.966); (5341.960, 3221.435)"
102,"(8054.164, 3547.772); (8044.875, 3558.720); (8035.951, 3556.534); (8025.178, 3547.517); (8044.356, 3543.828)"
103,"(5548.074, 3223.463); (5545.019, 3213.701); (5554.792, 3206.753); (5564.732, 3209.041)"
104,"(683.631, 4086.562); (649.272, 4085.975); (659.241, 4083.574); (675.240, 4083.561)"
105,"(7400.984, 3843.557); (7415.903, 3841.080); (7417.623, 3846.033); (7409.839, 3847.156)"
106,"(1908.999, 3159.250); (1896.942, 3158.335); (1903.266, 3152.664)"
107,"(5417.330, 3204.545); (5423.640, 3197.746); (5435.239, 3199.116); (5423.148, 3206.839)"
108,"(3071.621, 3478.784); (3065.306, 3465.759); (3068.808, 3468.922); (3072.304, 3476.726)"
109,"(986.730, 3259.735); (985.012, 3278.921); (982.398, 3283.647); (980.745, 3286.237); (974.194, 3287.375); (968.815, 3285.104); (968.712, 3260.963); (978.551, 3259.771)"
110,"(2793.857, 15.824); (2850.314, 15.718); (2906.312, 22.443); (3027.405, 48.574); (3036.951, 114.976); (3056.033, 439.256); (3008.471, 752.652); (3006.156, 764.176); (3004.782, 769.058); (3000.358, 779.105); (2875.987, 999.798); (2865.658, 1008.762); (2847.723, 1012.566); (2455.879, 1015.203); (2181.265, 1015.495); (2173.760, 1015.244); (2073.654, 1011.603); (2070.172, 993.902); (2058.684, 734.755); (2057.493, 541.414); (2056.940, 342.961); (2057.936, 325.054); (2069.354, 319.730)"
111,"(4089.198, 3694.043); (4092.173, 3693.452); (4097.884, 3701.614); (4095.454, 3717.516); (4093.619, 3718.850); (4091.741, 3717.512); (4089.442, 3697.715)"
112,"(4070.004, 3820.799); (3897.011, 4076.112); (3876.072, 4082.418); (3822.897, 4085.827); (3809.676, 4086.576); (3608.053, 4087.267); (3549.793, 4087.307); (3271.245, 4087.489); (3193.602, 4087.354); (3132.951, 4080.114); (3125.961, 4079.134); (3086.316, 4047.740); (3080.541, 3987.125); (3081.006, 3522.682); (3088.753, 3488.360); (3095.124, 3477.492); (4046.734, 3087.547); (4079.746, 3096.977); (4079.561, 3110.763); (4079.317, 3128.873); (4077.842, 3238.514); (4077.722, 3247.456); (4070.027, 3819.082)"
113,"(1130.522, 3407.431); (1128.862, 3402.308); (1134.079, 3394.001); (1138.532, 3389.887); (1154.215, 3382.060); (1165.310, 3378.146); (1179.602, 3382.122); (1186.190, 3388.614); (1174.700, 3402.701); (1163.691, 3415.083); (1139.678, 3409.677)"
114,"(5128.830, 4081.735); (5146.554, 4072.719); (5153.729, 4070.172); (5175.798, 4071.634); (5183.787, 4073.768); (5202.814, 4079.160); (5196.074, 4084.504); (5190.256, 4087.119); (5164.780, 4086.404)"
115,"(7433.082, 3332.763); (7445.961, 3328.239); (7451.646, 3331.728); (7445.583, 3334.773)"
116,"(7144.547, 3591.346); (7157.652, 3584.539); (7163.507, 3586.598); (7157.793, 3590.419)"
117,"(2441.296, 3782.735); (2473.919, 3781.289); (2471.220, 3791.969); (2451.923, 3798.944)"
118,"(3161.587, 3287.339); (3145.081, 3283.060); (3146.672, 3270.445); (3148.530, 3260.702); (3160.557, 3261.662); (3161.161, 3267.586)"
119,"(5461.891, 3365.973); (5455.075, 3382.501); (5423.403, 3376.811); (5417.010, 3365.781); (5422.870, 3349.839); (5456.091, 3358.885)"
120,"(4296.774, 3211.422); (4316.707, 3201.316); (4317.073, 3214.190); (4314.648, 3223.005); (4301.128, 3220.576)"
121,"(208.865, 4019.383); (200.776, 4008.914); (214.121, 4007.756); (220.070, 4007.531); (226.200, 4007.334); (239.711, 4007.910); (270.171, 4009.556); (279.672, 4018.210); (261.959, 4022.006); (256.977, 4022.727); (240.472, 4022.229); (215.798, 4020.101)"
122,"(7400.793, 3237.579); (7405.927, 3233.275); (7423.323, 3239.394); (7415.932, 3250.827); (7409.839, 3255.324); (7403.095, 3249.297)"
123,"(8138.043, 3465.761); (8136.715, 3434.392); (8149.516, 3421.817); (8153.645, 3424.351); (8172.929, 3448.682); (8176.465, 3461.526); (8164.550, 3473.452); (8149.307, 3478.411); (8141.698, 3478.602)"
124,"(8.697, 3138.681); (14.044, 3134.828); (19.713, 3139.859); (14.551, 3142.513)"
125,"(4478.026, 3463.370); (4473.445, 3454.277); (4483.211, 3455.980); (4492.321, 3462.755)"
126,"(8168.710, 3846.312); (8181.836, 3841.024); (8184.134, 3855.524); (8181.354, 3863.051); (8172.162, 3856.464)"
127,"(8049.672, 3414.790); (8040.843, 3382.138); (8058.665, 3363.505); (8085.187, 3381.545); (8079.563, 3393.686); (8073.111, 3405.877)"
128,"(7673.277, 3231.356); (7682.042, 3229.742); (7689.386, 3229.749); (7693.010, 3239.466); (7680.776, 3236.148)"
129,"(991.168, 3317.156); (1004.102, 3334.405); (996.691, 3345.000); (981.430, 3350.734); (976.083, 3347.573); (973.959, 3338.134); (969.428, 3312.921); (977.736, 3312.096); (983.642, 3313.775)"
130,"(6722.645, 3436.878); (6709.427, 3446.625); (6688.136, 3435.163); (6665.100, 3419.361); (6693.447, 3400.775); (6708.105, 3395.689); (6718.490, 3416.131); (6721.224, 3426.704)"
131,"(1852.168, 3348.010); (1827.206, 3382.665); (1813.599, 3377.956); (1801.161, 3363.352); (1813.732, 3338.789); (1851.932, 3327.502)"
132,"(3193.174, 3284.388); (3208.378, 3291.727); (3201.068, 3312.789); (3192.243, 3318.502); (3177.379, 3314.680); (3177.763, 3291.891)"
133,"(4616.514, 3203.777); (4629.970, 3200.742); (4635.009, 3203.751); (4636.809, 3216.397); (4632.450, 3222.676); (4628.395, 3220.432)"
134,"(3251.097, 3511.241); (3223.110, 3511.121); (3211.347, 3485.752); (3209.512, 3472.851); (3208.778, 3464.334); (3222.576, 3457.007); (3262.789, 3461.786); (3277.173, 3479.011); (3281.510, 3489.629); (3274.094, 3503.065)"
135,"(82.648, 3287.052); (72.620, 3273.441); (78.440, 3259.631); (104.420, 3255.530); (101.668, 3272.970)"
136,"(6134.584, 3510.622); (6121.304, 3500.654); (6126.743, 3491.355); (6139.164, 3478.242); (6142.867, 3494.093); (6145.540, 3506.248)"
137,"(3016.653, 3188.805); (3031.159, 3190.233); (3028.196, 3202.469); (3017.608, 3206.893)"
