NO,Polygon Points
13,"(3272.617, 4070.468); (3283.689, 4148.075); (3280.274, 4149.915); (3085.804, 4151.034); (3080.827, 4146.653); (3095.805, 4087.610); (3097.405, 4082.399); (3119.164, 4068.625); (3139.766, 4065.828)"
14,"(8126.302, 3063.100); (8072.709, 3055.656); (8083.664, 3024.155); (8087.876, 3019.906); (8105.156, 3012.698); (8130.120, 3016.124); (8135.101, 3016.926); (8149.345, 3033.753); (8145.319, 3041.732); (8139.053, 3050.771)"
15,"(3808.859, 1998.238); (3806.642, 2019.306); (3784.580, 2029.937); (3747.117, 2036.667); (3732.652, 2038.572); (3729.726, 2038.884); (3727.394, 2029.672); (3727.055, 2027.448); (3721.244, 1982.063); (3730.885, 1980.875); (3741.963, 1980.772); (3804.972, 1988.704); (3808.006, 1990.457)"
16,"(5009.460, 568.036); (5000.881, 560.645); (5001.354, 550.510); (5003.187, 546.451); (5005.190, 542.596); (5050.151, 479.144); (5051.948, 478.113); (5084.427, 466.292); (5103.889, 459.312); (5107.381, 460.501); (5137.486, 479.565); (5183.046, 508.446); (5170.313, 537.199); (5141.308, 595.301); (5135.054, 607.610); (5123.217, 630.302); (5120.338, 631.473); (5117.217, 631.310)"
17,"(1891.548, 1654.775); (1800.602, 1509.199); (1853.419, 1499.982); (1914.769, 1489.791); (1994.370, 1476.838); (2001.321, 1476.987); (2006.229, 1479.984); (2025.854, 1553.919); (1975.014, 1644.805); (1891.786, 1655.079)"
18,"(6153.416, 4997.442); (6612.320, 4116.995); (6626.363, 4112.080); (7052.297, 4111.509); (7134.783, 4114.339); (7142.704, 4122.260); (7144.689, 4135.867); (7151.541, 4207.170); (7152.395, 5074.643); (7149.502, 5090.459); (7140.430, 5095.867); (7120.957, 5097.962); (7019.925, 5104.804); (6773.646, 5110.304); (6654.726, 5110.562); (6351.430, 5101.747); (6195.079, 5069.017); (6192.641, 5065.484); (6188.492, 5059.041); (6172.751, 5034.308); (6170.761, 5031.054)"
19,"(3021.455, 943.664); (3029.617, 943.317); (3036.745, 949.880); (3045.523, 991.096); (3040.519, 998.625); (3033.591, 1004.999); (3023.831, 1009.903); (3017.068, 1013.016); (3012.168, 1014.524); (2990.883, 1013.995); (2986.972, 1011.507); (2958.483, 981.975); (2953.875, 974.466); (2953.292, 965.054); (2961.770, 961.467)"
20,"(7221.070, 6071.341); (7195.713, 6042.882); (7181.847, 6021.177); (7176.991, 6012.743); (7182.264, 6002.325); (7189.272, 5996.771); (7211.844, 5990.106); (7310.367, 6012.797); (7315.151, 6018.290); (7317.434, 6026.562); (7315.754, 6030.782); (7292.343, 6048.811); (7229.481, 6070.846)"
21,"(6947.634, 5174.611); (6928.487, 5171.495); (6928.038, 5170.087); (6927.625, 5168.442); (6920.714, 5121.139); (6955.279, 5118.690); (6974.832, 5119.294); (7044.714, 5126.871); (7050.711, 5129.679); (7059.332, 5135.759); (7070.102, 5146.992); (7070.834, 5159.846); (7066.341, 5171.452); (7042.957, 5174.172)"
22,"(1376.676, 1654.656); (1351.884, 1651.915); (1324.285, 1605.246); (1288.912, 1540.408); (1298.357, 1526.097); (1478.000, 1530.338); (1506.266, 1541.633); (1494.867, 1571.819); (1488.692, 1577.177); (1403.228, 1645.040)"
23,"(2641.170, 6583.369); (2576.232, 6548.717); (2572.864, 6545.237); (2568.595, 6535.786); (2570.521, 6527.620); (2583.944, 6525.885); (2587.808, 6526.032); (2596.518, 6527.987); (2613.596, 6536.378); (2631.219, 6550.316); (2651.572, 6568.872); (2650.476, 6573.149); (2648.966, 6578.473)"
24,"(3614.199, 1248.156); (3639.597, 1248.072); (3656.942, 1260.439); (3679.135, 1296.712); (3681.500, 1302.447); (3681.961, 1314.178); (3681.467, 1326.112); (3664.720, 1335.044); (3620.148, 1300.669); (3614.552, 1294.618); (3596.042, 1268.497); (3593.297, 1258.390); (3599.611, 1252.936); (3604.654, 1250.784)"
25,"(5963.375, 5428.155); (5960.691, 5414.598); (5964.301, 5400.494); (5969.832, 5392.901); (5973.547, 5388.352); (6033.151, 5365.100); (6060.101, 5356.268); (6067.061, 5357.315); (6081.646, 5361.962); (6075.447, 5372.155); (6052.085, 5399.327); (6045.170, 5403.788); (6042.054, 5405.717); (6028.744, 5411.779); (5972.496, 5430.960)"
26,"(3084.281, 8172.636); (3081.388, 8169.606); (3083.197, 8157.626); (3086.875, 8141.801); (3091.933, 8138.610); (3099.817, 8134.513); (3122.047, 8136.890); (3137.919, 8142.419); (3177.276, 8164.060); (3185.391, 8173.680); (3183.980, 8181.251); (3165.077, 8182.945)"
27,"(3762.289, 5012.276); (3752.695, 5011.183); (3754.845, 4998.226); (3759.502, 4985.760); (3804.675, 4974.068); (3839.145, 4968.359); (3847.417, 4969.637); (3849.347, 4976.054); (3849.073, 4984.799); (3847.039, 5001.436); (3844.438, 5007.201); (3824.984, 5014.848); (3819.629, 5015.485)"
28,"(7209.097, 59.637); (7212.032, 31.396); (7219.520, 31.985); (7257.011, 46.017); (7261.368, 49.038); (7264.454, 66.124); (7265.979, 75.049); (7262.311, 84.044); (7248.556, 87.229); (7214.294, 78.416); (7209.954, 65.857); (7209.501, 62.638)"
29,"(7635.413, 1417.779); (7644.734, 1415.833); (7654.523, 1423.273); (7657.370, 1450.011); (7657.642, 1454.121); (7637.610, 1462.323); (7630.549, 1462.809); (7626.315, 1461.688); (7619.194, 1459.047); (7615.386, 1457.598); (7592.852, 1436.143); (7598.032, 1432.522)"
30,"(4946.871, 579.990); (4964.836, 570.222); (4976.831, 575.609); (5005.359, 595.897); (5011.016, 602.776); (4994.854, 630.217); (4994.353, 631.058); (4947.269, 611.077); (4937.299, 604.092); (4940.589, 594.547)"
31,"(3808.283, 6146.177); (3827.428, 6146.945); (3815.804, 6168.312); (3808.924, 6173.758); (3803.787, 6176.852); (3756.155, 6196.129); (3749.170, 6198.100); (3733.017, 6199.207); (3726.161, 6191.442); (3722.361, 6185.728); (3721.212, 6178.365); (3742.818, 6168.715); (3782.459, 6154.105)"
32,"(7580.098, 121.029); (7575.289, 182.701); (7562.957, 182.805); (7543.310, 181.067); (7529.193, 177.014); (7500.399, 147.331); (7497.020, 127.001); (7505.773, 117.445); (7559.113, 96.997); (7574.766, 113.035)"
33,"(4224.183, 56.736); (4228.271, 75.550); (4216.830, 81.023); (4181.723, 86.362); (4178.814, 86.582); (4176.982, 83.958); (4172.382, 75.963); (4169.964, 70.471); (4168.768, 64.661); (4169.804, 55.399); (4176.234, 51.309); (4190.231, 45.506); (4214.807, 36.833); (4219.566, 45.758)"
34,"(7359.127, 745.028); (7359.211, 747.604); (7354.434, 810.965); (7354.045, 814.762); (7350.253, 815.190); (7303.938, 819.187); (7254.621, 822.791); (7243.383, 822.436); (7241.340, 820.387); (7241.835, 814.758); (7246.022, 798.245); (7262.121, 761.167); (7271.523, 754.409); (7285.547, 748.875); (7289.381, 747.374); (7334.024, 742.461)"
35,"(5136.381, 4520.564); (5145.628, 4516.652); (5197.581, 4542.854); (5203.533, 4547.765); (5227.224, 4568.979); (5231.659, 4588.132); (5231.089, 4596.343); (5225.248, 4599.256); (5194.799, 4599.289); (5168.646, 4599.038); (5131.220, 4598.464); (5129.376, 4594.851); (5132.699, 4540.389)"
36,"(4136.847, 7790.123); (4156.744, 7790.881); (4229.717, 7811.250); (4232.764, 7816.614); (4226.984, 7823.887); (4220.822, 7831.637); (4209.127, 7844.959); (4192.697, 7862.593); (4022.857, 7858.382); (3977.886, 7856.832); (3977.268, 7854.952); (3978.406, 7817.254); (3978.483, 7814.684); (3980.962, 7795.325); (3985.166, 7793.707); (4008.083, 7792.466)"
37,"(3604.861, 646.416); (3586.895, 689.909); (3552.993, 694.722); (3541.599, 692.487); (3538.681, 688.411); (3529.205, 665.550); (3528.798, 655.217); (3530.959, 651.393); (3536.673, 644.875); (3542.113, 642.395); (3581.925, 638.147); (3590.799, 638.217); (3599.075, 640.697)"
38,"(7890.275, 1428.032); (7880.575, 1407.547); (7882.328, 1404.467); (7894.142, 1401.856); (7936.257, 1403.285); (7944.114, 1404.516); (7957.140, 1406.927); (7964.812, 1412.054); (7966.937, 1433.560); (7963.919, 1454.032); (7962.501, 1462.732); (7945.222, 1459.034)"
39,"(3785.030, 4128.493); (3790.243, 4122.381); (3838.926, 4120.870); (3871.074, 4120.324); (3970.432, 4120.300); (4021.555, 4121.430); (4041.869, 4124.094); (4045.288, 4127.214); (4069.148, 4208.702); (4070.205, 4214.068); (3961.483, 4214.734); (3856.454, 4214.137); (3834.567, 4213.604); (3824.861, 4210.033); (3822.344, 4207.570)"
40,"(2057.475, 6576.817); (2073.638, 6566.068); (2086.185, 6559.744); (2093.457, 6560.811); (2096.950, 6562.968); (2100.341, 6569.456); (2112.107, 6642.130); (2101.918, 6647.150); (2087.001, 6643.172); (2080.875, 6641.523); (2079.448, 6641.072); (2071.384, 6628.296); (2068.603, 6623.564); (2065.216, 6617.327); (2060.785, 6603.111); (2058.758, 6587.228)"
41,"(7176.573, 7092.400); (7178.427, 7074.242); (7186.688, 7069.151); (7219.898, 7051.759); (7224.511, 7051.299); (7288.177, 7055.347); (7388.507, 7061.980); (7424.104, 7064.953); (7511.242, 7074.676); (7518.161, 7075.650); (7533.287, 7078.205); (7562.219, 7111.684); (7573.618, 7150.263); (7571.612, 7158.083); (7562.312, 7158.525); (7497.567, 7154.429); (7453.593, 7151.075); (7325.579, 7140.825); (7270.001, 7136.111); (7252.574, 7134.483); (7241.462, 7133.261); (7207.696, 7129.202); (7198.256, 7127.119)"
42,"(5617.754, 59.425); (5609.151, 44.586); (5639.307, 36.574); (5645.378, 37.209); (5654.130, 40.229); (5659.190, 44.708); (5666.251, 69.330); (5663.456, 82.743); (5645.798, 87.491)"
43,"(5160.671, 6242.312); (5159.612, 6258.227); (5145.298, 6289.803); (5143.363, 6293.611); (5139.736, 6294.580); (5137.821, 6292.370); (5129.341, 6251.131); (5129.057, 6246.674); (5132.653, 6244.675); (5140.664, 6242.589); (5156.133, 6239.435)"
44,"(1800.719, 7665.123); (1821.812, 7628.110); (1828.159, 7635.739); (1854.475, 7668.684); (1851.798, 7680.158); (1832.812, 7731.981); (1826.192, 7735.084); (1823.572, 7731.939); (1802.733, 7685.908)"
45,"(3663.155, 4612.908); (3670.453, 4632.896); (3670.428, 4658.340); (3670.311, 4662.870); (3650.775, 4662.460); (3636.000, 4661.842); (3551.920, 4653.814); (3529.214, 4651.064); (3537.094, 4635.363); (3553.157, 4616.032); (3582.981, 4605.721); (3594.866, 4603.502); (3638.503, 4602.066); (3643.037, 4601.942); (3649.492, 4605.149)"
46,"(2214.280, 4219.644); (2214.284, 4219.646); (2213.837, 4233.136); (2208.030, 4246.726); (2188.007, 4289.624); (2137.727, 4396.929); (2134.563, 4403.583); (2127.036, 4413.027); (2075.322, 4470.963); (2071.371, 4469.306); (2056.583, 4461.820); (2056.716, 4418.642); (2056.762, 4403.888); (2056.788, 4395.200); (2056.882, 4365.118); (2057.335, 4219.157); (2069.671, 4219.195); (2086.101, 4219.246); (2139.687, 4219.412); (2196.057, 4219.587)"
47,"(4447.158, 3149.944); (4469.429, 3216.610); (4468.806, 3220.595); (4401.632, 3223.267); (4392.953, 3220.794); (4392.556, 3216.658); (4408.202, 3165.265); (4411.063, 3156.396); (4413.733, 3149.289); (4446.462, 3149.588)"
48,"(4107.776, 3520.354); (4104.625, 3483.680); (4112.918, 3480.433); (4116.401, 3479.625); (4125.164, 3486.098); (4141.571, 3505.734); (4146.976, 3516.265); (4146.234, 3518.479); (4127.564, 3542.621); (4117.688, 3537.601); (4111.609, 3528.154)"
49,"(7492.484, 8008.622); (7537.591, 7999.057); (7600.247, 8009.168); (7606.005, 8011.671); (7627.737, 8038.048); (7628.483, 8041.499); (7626.872, 8041.717); (7588.250, 8045.174); (7437.303, 8055.176); (7432.822, 8055.468); (7440.033, 8047.670); (7442.737, 8045.236); (7462.864, 8030.396); (7490.995, 8009.689)"
50,"(6090.188, 3631.610); (6089.175, 3608.869); (6089.492, 3600.727); (6092.306, 3582.462); (6095.073, 3576.456); (6141.716, 3567.106); (6142.817, 3573.608); (6142.236, 3583.324); (6141.018, 3599.208); (6138.681, 3619.299); (6134.566, 3629.791); (6126.864, 3634.523); (6108.490, 3638.117); (6102.952, 3638.826); (6091.910, 3635.217)"
51,"(4308.543, 6323.917); (4297.284, 6283.061); (4299.219, 6273.904); (4323.613, 6239.584); (4327.807, 6241.256); (4331.805, 6243.485); (4336.674, 6259.005); (4344.402, 6284.534); (4345.606, 6311.318); (4341.924, 6320.990); (4336.207, 6324.581); (4326.403, 6326.573); (4315.373, 6325.992)"
52,"(6527.217, 8183.270); (6473.632, 8177.333); (6473.580, 8177.316); (6467.264, 8175.262); (6441.019, 8161.337); (6451.021, 8148.877); (6457.606, 8143.007); (6464.873, 8139.603); (6469.099, 8140.365)"
53,"(2090.410, 6713.994); (2068.523, 6742.814); (2063.702, 6741.218); (2061.850, 6738.416); (2057.058, 6725.766); (2058.437, 6706.855); (2061.655, 6698.354); (2069.755, 6677.878); (2071.874, 6675.982); (2079.699, 6686.041); (2083.508, 6692.353); (2086.556, 6699.421); (2089.247, 6708.068)"
54,"(5133.974, 6401.028); (5128.578, 6368.322); (5129.931, 6366.754); (5137.638, 6360.241); (5158.197, 6367.349); (5161.923, 6369.157); (5162.341, 6373.218); (5157.034, 6418.257); (5152.482, 6422.969)"
55,"(7565.016, 7695.347); (7553.870, 7765.970); (7539.238, 7767.288); (7531.167, 7767.260); (7529.270, 7765.042); (7529.221, 7763.715); (7541.417, 7683.791); (7550.381, 7683.594); (7556.712, 7686.700); (7560.574, 7689.423)"
56,"(7576.362, 6055.667); (7560.547, 6052.513); (7577.559, 6025.640); (7588.795, 6023.083); (7642.193, 6020.330); (7649.463, 6019.975); (7665.312, 6022.549); (7673.879, 6027.668); (7675.188, 6033.995); (7674.947, 6040.630); (7671.964, 6071.297)"
57,"(6748.894, 3063.422); (6686.169, 3063.157); (6680.325, 3054.800); (6679.193, 3053.173); (6677.344, 3050.489); (6450.849, 2713.155); (6378.514, 2604.665); (6304.164, 2492.599); (6185.638, 2313.408); (6160.406, 2272.842); (6152.901, 2259.650); (6645.727, 2065.888); (6669.005, 2063.828); (6731.613, 2063.632); (7057.943, 2063.733); (7101.288, 2068.238); (7142.013, 2074.341); (7147.145, 2084.478); (7149.990, 2135.030); (7152.069, 2255.353); (7152.013, 2506.803); (7151.773, 2816.353); (7151.353, 2979.810); (7149.187, 3038.007); (7143.579, 3059.084); (7125.238, 3060.208); (7098.132, 3061.380)"
58,"(1008.381, 1192.326); (1008.354, 1946.971); (1005.055, 2011.403); (991.449, 2031.599); (973.893, 2037.850); (862.295, 2039.097); (766.054, 2039.291); (407.239, 2039.435); (405.542, 2037.098); (404.251, 2035.312); (401.313, 2030.899); (75.793, 1540.284); (75.572, 1539.892); (8.503, 1416.153); (14.673, 1405.858); (454.942, 1061.085); (471.125, 1051.930); (512.613, 1039.953); (795.171, 1039.743); (902.500, 1041.484); (953.992, 1042.501); (988.080, 1048.615); (1006.754, 1070.080)"
59,"(5077.021, 1979.878); (4337.587, 2038.942); (4335.307, 2038.639); (4326.646, 2025.307); (4262.454, 1923.415); (4112.315, 1685.052); (4105.385, 1673.671); (4105.485, 1670.633); (4757.054, 1042.643); (4772.072, 1041.243); (4912.128, 1039.796); (5055.063, 1039.791); (5081.247, 1044.589); (5101.715, 1049.077); (5082.843, 1879.833); (5080.346, 1954.005)"
60,"(7774.065, 1782.234); (7767.505, 1782.903); (7765.584, 1782.805); (7762.560, 1782.633); (7754.621, 1781.029); (7702.136, 1767.573); (7700.276, 1766.600); (7695.302, 1763.720); (7689.103, 1755.798); (7747.221, 1677.061); (7754.465, 1667.421); (7768.764, 1672.167); (7790.424, 1686.398); (7798.653, 1692.405); (7803.018, 1705.752); (7778.816, 1770.226)"
61,"(5129.432, 4675.689); (5536.290, 4112.725); (5579.564, 4112.146); (5822.607, 4111.821); (5886.142, 4111.930); (6024.922, 4112.176); (6105.156, 4114.720); (6116.470, 4117.200); (6121.437, 4129.155); (6126.078, 4146.461); (6127.619, 4180.386); (6128.309, 4356.040); (6128.120, 4557.742); (6111.536, 4570.770); (6025.948, 4637.776); (5968.838, 4681.654); (5436.315, 5088.465); (5408.123, 5108.811); (5404.951, 5111.051); (5395.667, 5096.752); (5381.374, 5074.691); (5326.641, 4988.616); (5140.021, 4693.272); (5131.871, 4679.765)"
62,"(3046.069, 3141.428); (3064.494, 3142.206); (3089.000, 3154.483); (3095.083, 3159.079); (3096.856, 3163.037); (3065.272, 3178.481); (3044.878, 3188.125); (3036.400, 3191.444); (3025.199, 3187.972); (3018.418, 3181.066); (3017.216, 3174.159); (3025.337, 3152.325); (3028.073, 3147.831); (3036.536, 3141.957)"
63,"(6957.021, 1015.359); (6937.308, 1001.989); (6923.660, 978.017); (6920.900, 970.225); (6928.153, 966.051); (6942.279, 960.587); (6987.943, 990.745); (6989.876, 995.416); (6986.393, 999.843); (6972.409, 1013.678)"
64,"(4716.204, 5428.052); (4681.112, 5381.210); (4685.168, 5376.985); (4691.425, 5375.162); (4697.188, 5374.186); (4704.710, 5377.918); (4712.004, 5383.021); (4725.112, 5395.883); (4728.076, 5399.856); (4729.496, 5406.479); (4731.785, 5420.163); (4728.948, 5428.890); (4723.234, 5430.515)"
65,"(1372.128, 291.062); (1374.490, 297.851); (1369.875, 301.828); (1364.750, 304.863); (1352.137, 310.887); (1340.485, 306.783); (1335.579, 303.735); (1295.566, 266.146); (1292.574, 262.215); (1289.285, 257.522); (1294.732, 252.767); (1307.866, 246.833); (1324.533, 245.472); (1336.239, 244.521)"
66,"(1033.034, 989.286); (1073.087, 937.832); (1078.873, 930.804); (1083.417, 933.840); (1108.590, 953.770); (1101.850, 984.861); (1098.949, 987.744); (1086.462, 993.670); (1040.187, 1014.820); (1033.770, 999.839)"
67,"(4872.849, 2025.735); (4830.644, 2038.511); (4828.209, 2037.917); (4819.703, 2028.126); (4812.779, 2018.060); (4809.155, 2011.659); (4813.695, 2008.932); (4847.000, 1994.969); (4869.000, 1994.299); (4873.315, 1996.171); (4875.109, 2013.570); (4873.532, 2022.315)"
68,"(4105.127, 7390.694); (4186.755, 7326.209); (4189.168, 7326.127); (4224.753, 7325.864); (4230.760, 7325.885); (4253.840, 7326.416); (4260.663, 7327.422); (4289.266, 7333.060); (4300.459, 7345.626); (4312.479, 7388.042); (4312.083, 7413.922); (4309.217, 7415.192); (4151.972, 7410.657); (4126.463, 7409.576); (4108.143, 7408.359)"
69,"(137.981, 4894.513); (105.977, 4867.586); (9.979, 4227.597); (8.771, 4134.786); (25.585, 4127.163); (47.555, 4120.706); (112.911, 4112.773); (139.188, 4112.006); (633.445, 4111.675); (705.710, 4111.645); (953.417, 4111.653); (979.130, 4112.237); (1005.028, 4116.667); (1006.894, 4127.725); (1008.060, 4186.944); (1008.481, 4870.645); (1008.132, 5075.539); (1003.244, 5100.543); (999.838, 5110.679); (915.353, 5111.306); (872.739, 5111.446); (680.670, 5111.281)"
70,"(226.946, 2878.879); (220.108, 3045.949); (215.863, 3056.104); (191.046, 3062.735); (151.600, 3063.033); (110.360, 3060.068); (58.157, 3055.357); (18.479, 3036.881); (11.913, 3031.703); (8.799, 3027.312); (9.740, 3014.420); (63.055, 2893.918); (99.043, 2821.936); (104.185, 2818.036); (107.949, 2818.624); (118.904, 2823.328); (213.285, 2868.040); (225.939, 2874.921)"
71,"(7944.776, 6833.895); (7944.909, 6830.479); (7958.362, 6768.139); (8009.124, 6751.322); (8013.593, 6750.977); (8108.678, 6749.794); (8149.405, 6757.648); (8169.799, 6763.414); (8177.725, 6765.764); (8179.711, 6770.803); (8183.144, 6791.130); (8182.704, 6806.396); (8062.750, 6839.160); (7973.270, 6836.834); (7964.396, 6835.985)"
72,"(5576.951, 5728.541); (5630.623, 5687.688); (5659.962, 5686.439); (5706.576, 5686.827); (5712.403, 5689.794); (5738.230, 5705.016); (5746.791, 5711.815); (5751.840, 5721.604); (5753.073, 5724.778); (5753.374, 5728.035); (5752.902, 5734.943); (5751.273, 5740.036); (5747.569, 5744.744); (5733.377, 5748.812); (5686.042, 5750.359); (5665.725, 5750.780); (5647.886, 5751.093); (5607.862, 5746.774); (5604.221, 5745.832); (5581.701, 5731.965)"
73,"(7318.929, 626.468); (7305.313, 605.079); (7306.404, 579.486); (7309.658, 567.176); (7317.377, 565.656); (7338.675, 561.806); (7344.611, 561.261); (7352.827, 568.380); (7358.646, 573.792); (7356.976, 612.439); (7333.153, 630.668)"
74,"(4351.589, 4066.206); (4198.739, 4087.408); (4194.568, 4087.037); (4190.190, 4086.446); (4181.045, 4084.149); (4148.337, 4063.601); (4126.152, 4031.325); (4112.092, 3998.172); (4104.628, 3946.233); (4286.509, 3925.151); (4295.540, 3925.619); (4393.451, 3970.670); (4395.997, 3979.585); (4393.163, 3986.718)"
75,"(7721.051, 7236.940); (7737.422, 7233.291); (7774.332, 7225.410); (7780.185, 7226.655); (7793.479, 7247.634); (7790.127, 7252.561); (7785.821, 7255.192); (7778.119, 7254.538); (7731.166, 7249.230); (7723.384, 7246.768)"
76,"(3816.678, 118.916); (3794.660, 107.726); (3786.935, 91.095); (3785.979, 85.554); (3785.277, 74.789); (3799.731, 65.020); (3836.995, 44.095); (3845.159, 45.832); (3851.919, 62.257); (3854.241, 68.332); (3855.158, 74.875); (3830.611, 107.240)"
77,"(3875.042, 6766.209); (3884.579, 6766.629); (3906.790, 6777.703); (3919.404, 6786.184); (3922.658, 6789.626); (3913.374, 6800.697); (3864.726, 6807.229); (3859.737, 6805.315); (3850.784, 6792.943); (3849.114, 6786.085); (3850.302, 6779.137); (3855.962, 6772.557); (3870.129, 6767.809)"
78,"(7464.748, 60.190); (7465.908, 53.286); (7498.421, 40.045); (7514.449, 42.879); (7519.334, 47.206); (7522.428, 85.696); (7509.359, 87.164); (7476.872, 85.279); (7467.954, 70.399)"
79,"(5111.083, 7169.563); (5108.235, 7203.394); (4965.011, 7280.916); (4937.172, 7282.771); (4873.694, 7285.175); (4823.222, 7286.818); (4810.853, 7284.028); (4803.452, 7277.781); (4779.062, 7254.594); (4749.312, 7223.389); (4745.376, 7218.004); (4746.336, 7212.396); (4754.441, 7210.121); (4948.809, 7172.773); (4992.888, 7165.667); (5100.326, 7159.030); (5107.249, 7159.191); (5109.593, 7162.772)"
80,"(7240.368, 7585.712); (7498.725, 7588.238); (7504.719, 7591.516); (7543.073, 7618.976); (7566.963, 7652.846); (7567.239, 7661.250); (7562.524, 7664.978); (7558.429, 7666.181); (7511.576, 7668.685); (7179.227, 7670.690); (7178.212, 7665.549); (7177.146, 7640.194); (7236.807, 7585.846)"
