NO,Polygon Points
14,"(2353.924, 3907.750); (2362.984, 3932.189); (2360.080, 3943.587); (2355.843, 3952.395); (2349.799, 3958.479); (2347.576, 3958.508); (2346.122, 3950.411); (2345.282, 3940.969); (2346.587, 3924.164); (2350.728, 3909.710); (2352.343, 3908.520)"
15,"(1008.138, 3044.473); (1006.305, 3062.865); (994.316, 3062.624); (834.089, 3059.399); (652.680, 3055.748); (615.954, 3055.009); (28.236, 3043.178); (15.892, 3042.930); (8.896, 3042.789); (21.816, 2400.866); (22.712, 2356.339); (22.992, 2342.458); (23.864, 2299.137); (23.948, 2294.962); (23.952, 2294.765); (25.125, 2294.529); (769.340, 2180.464); (999.124, 2282.741); (1003.650, 2331.694); (1006.633, 2454.768); (1007.436, 2587.881); (1007.475, 2602.012); (1007.990, 2937.460)"
16,"(2401.623, 1342.579); (2412.043, 1368.052); (2410.952, 1392.467); (2408.964, 1396.536); (2407.800, 1398.086); (2400.955, 1398.663); (2359.713, 1385.276); (2316.483, 1356.895); (2313.959, 1347.917); (2312.542, 1338.443); (2327.879, 1337.475); (2357.821, 1337.949); (2394.123, 1340.754)"
17,"(3401.326, 1718.948); (3426.387, 1719.428); (3427.148, 1722.242); (3428.790, 1747.889); (3422.767, 1749.370); (3415.248, 1751.157); (3402.620, 1750.481); (3376.653, 1748.266); (3369.393, 1747.260); (3370.229, 1734.324); (3372.149, 1728.972); (3376.730, 1724.915); (3383.765, 1722.888)"
18,"(660.260, 1202.569); (657.568, 1236.147); (652.113, 1262.254); (649.579, 1263.506); (640.969, 1264.547); (441.994, 1271.389); (397.688, 1263.043); (393.407, 1260.130); (392.918, 1253.985); (403.266, 1180.814); (405.683, 1170.850); (407.317, 1168.224); (465.420, 1141.839); (478.375, 1136.288); (485.396, 1136.230); (634.105, 1143.478); (641.284, 1144.088); (656.884, 1145.532); (658.499, 1156.675); (659.976, 1188.480)"
19,"(2313.376, 923.938); (2317.422, 893.966); (2320.873, 892.932); (2335.447, 891.945); (2383.605, 890.522); (2404.937, 896.362); (2410.436, 898.614); (2413.866, 905.373); (2435.509, 951.403); (2438.267, 959.396); (2446.126, 1003.025); (2443.023, 1008.420); (2438.149, 1011.651); (2433.600, 1013.655); (2424.958, 1015.214); (2419.821, 1015.372); (2399.873, 1014.630); (2393.571, 1014.343); (2387.518, 1014.045); (2316.305, 1010.114); (2315.543, 1007.523); (2314.680, 989.752); (2314.460, 982.408)"
20,"(213.375, 800.467); (227.326, 809.491); (222.541, 822.430); (209.786, 847.755); (179.714, 876.649); (173.804, 881.895); (163.239, 885.798); (151.305, 886.904); (146.147, 883.675); (137.336, 875.736); (137.447, 864.945); (148.879, 849.229); (157.585, 837.695); (169.779, 826.655); (179.271, 818.132); (203.542, 798.519)"
21,"(608.373, 1851.432); (613.863, 1853.635); (614.635, 1868.222); (615.005, 1875.283); (614.873, 1878.762); (613.259, 1880.820); (603.712, 1885.338); (528.525, 1902.380); (474.130, 1910.037); (458.145, 1911.094); (456.509, 1909.714); (470.199, 1900.608); (524.621, 1865.663); (555.054, 1852.364); (570.413, 1851.838)"
22,"(2043.739, 4039.051); (2046.794, 4081.973); (2044.245, 4086.969); (2042.349, 4085.842); (2040.777, 4042.991); (2041.025, 4040.510)"
23,"(2633.116, 3354.982); (2633.504, 3319.445); (2641.231, 3307.654); (2662.756, 3296.464); (2668.876, 3296.533); (2670.270, 3303.561); (2668.455, 3346.587); (2665.856, 3359.506); (2661.812, 3374.086); (2653.405, 3382.691); (2649.727, 3382.542); (2641.512, 3374.771); (2634.108, 3363.946)"
24,"(3273.815, 3085.775); (3273.368, 3082.025); (3275.887, 3066.120); (3278.185, 3059.783); (3294.317, 3060.028); (3318.957, 3061.153); (3338.122, 3062.881); (3471.432, 3075.026); (3506.845, 3082.677); (3579.984, 3099.322); (3578.397, 3111.192); (3577.118, 3116.228); (3572.637, 3127.127); (3571.112, 3127.109)"
25,"(2913.589, 1333.949); (2888.692, 1291.765); (2900.882, 1275.177); (2906.823, 1272.142); (2985.369, 1251.332); (2993.584, 1251.100); (3016.777, 1284.690); (3014.833, 1298.440); (3005.391, 1302.104); (2921.023, 1334.582)"
26,"(124.053, 614.333); (119.806, 630.800); (113.630, 624.592); (104.903, 615.385); (118.543, 611.293)"
27,"(1448.712, 3660.574); (1452.153, 3639.183); (1556.049, 3636.584); (1564.580, 3637.352); (1573.928, 3657.630); (1569.365, 3660.097); (1541.620, 3670.246); (1498.431, 3671.491); (1492.941, 3671.414); (1485.124, 3671.285); (1476.167, 3670.633); (1458.549, 3668.353)"
28,"(2574.187, 3004.140); (2596.673, 3000.750); (2598.061, 3002.057); (2609.626, 3029.638); (2609.753, 3030.629); (2607.790, 3038.055); (2603.263, 3051.729); (2598.262, 3061.751); (2593.956, 3062.943); (2585.519, 3055.793); (2582.203, 3050.986); (2577.822, 3043.411); (2569.219, 3022.428); (2570.780, 3014.215)"
29,"(1417.335, 1489.799); (1418.520, 1476.836); (1421.186, 1472.945); (1427.848, 1467.946); (1462.477, 1468.174); (1466.419, 1468.387); (1468.432, 1472.111); (1469.899, 1488.068); (1469.380, 1493.143); (1448.578, 1494.835); (1426.119, 1494.048); (1420.995, 1493.117); (1420.479, 1492.786)"
30,"(3683.705, 1753.017); (3684.819, 1760.038); (3683.357, 1766.202); (3676.489, 1776.976); (3672.410, 1782.541); (3663.010, 1781.897); (3632.768, 1774.282); (3624.948, 1769.569); (3625.439, 1764.752); (3628.637, 1749.419); (3632.899, 1746.839); (3639.270, 1744.531); (3646.795, 1741.833); (3663.266, 1738.804)"
31,"(3293.590, 3410.311); (3332.328, 3423.865); (3331.325, 3450.072); (3306.603, 3499.783); (3297.018, 3506.527); (3287.991, 3510.057); (3285.303, 3510.989); (3283.762, 3508.447); (3276.441, 3493.119); (3272.798, 3481.633); (3285.197, 3423.079); (3287.892, 3416.893)"
32,"(1098.134, 846.870); (1097.439, 839.964); (1112.943, 833.062); (1119.379, 831.953); (1133.884, 832.345); (1135.723, 836.350); (1127.168, 845.440); (1121.368, 850.955); (1116.031, 855.009); (1109.723, 852.968)"
33,"(3550.345, 3045.167); (3557.327, 3057.923); (3543.687, 3060.822); (3528.845, 3062.842); (3430.575, 3046.861); (3401.128, 3037.033); (3401.655, 3032.611); (3403.068, 3025.035); (3406.628, 3020.875); (3532.611, 3041.728)"
34,"(2768.048, 1157.614); (2775.923, 1156.625); (2812.656, 1157.301); (2815.458, 1158.291); (2815.519, 1170.264); (2810.000, 1192.861); (2806.539, 1198.114); (2798.458, 1203.164); (2781.162, 1207.110); (2768.560, 1203.505); (2762.793, 1194.688); (2760.862, 1179.633); (2760.816, 1174.115); (2763.874, 1166.421)"
35,"(3086.427, 2615.448); (3032.337, 2612.325); (3028.632, 2609.442); (3017.359, 2589.443); (3019.846, 2583.053); (3029.203, 2578.640); (3055.746, 2576.870); (3071.416, 2579.927); (3079.103, 2581.917); (3089.331, 2584.924); (3092.316, 2588.887); (3091.211, 2602.644); (3089.277, 2614.025)"
36,"(2921.882, 998.284); (2921.481, 991.365); (2924.882, 983.371); (2931.955, 973.108); (2947.554, 976.921); (2949.426, 977.709); (2955.281, 982.844); (2952.773, 1002.245); (2940.281, 1015.441); (2937.018, 1013.060)"
37,"(2856.810, 2368.841); (2914.222, 2351.722); (2922.730, 2352.952); (2932.347, 2380.030); (2930.795, 2383.960); (2921.565, 2386.550); (2916.867, 2387.819); (2869.517, 2390.972); (2862.131, 2382.673); (2858.260, 2372.897)"
38,"(1577.171, 1458.743); (1580.041, 1437.972); (1593.565, 1438.754); (1593.563, 1440.390); (1593.551, 1442.608); (1593.259, 1463.375); (1585.374, 1463.477)"
39,"(1225.358, 679.265); (1234.894, 662.096); (1250.715, 660.574); (1257.238, 662.138); (1259.286, 673.123); (1254.210, 688.190); (1248.624, 695.058); (1239.332, 690.622); (1227.608, 682.955)"
40,"(2642.303, 2055.400); (2632.546, 2054.556); (2633.880, 2048.569); (2642.265, 2047.742); (2652.853, 2048.109); (2651.416, 2051.626)"
41,"(2033.726, 1775.338); (2052.295, 1775.232); (2064.852, 1775.672); (2072.550, 1779.125); (2087.015, 1792.120); (2088.078, 1799.861); (2080.364, 1814.699); (2028.623, 1811.660); (2024.932, 1799.261); (2024.874, 1792.557); (2026.214, 1786.137); (2030.824, 1777.989)"
42,"(820.603, 3493.642); (828.177, 3491.933); (831.182, 3497.163); (832.602, 3509.589); (834.497, 3528.019); (832.788, 3533.371); (827.336, 3543.001); (823.069, 3542.947); (818.044, 3537.121); (811.877, 3519.777); (811.173, 3516.592); (808.683, 3497.978); (809.872, 3497.347)"
43,"(2923.874, 3624.206); (2930.471, 3616.845); (2935.350, 3621.416); (2947.467, 3636.750); (2949.565, 3639.584); (2934.939, 3668.513); (2933.228, 3671.201); (2928.352, 3668.277); (2923.931, 3663.819); (2921.070, 3647.487); (2921.271, 3634.644)"
44,"(1992.875, 2737.450); (1996.455, 2698.043); (2008.103, 2688.379); (2050.500, 2674.392); (2052.436, 2690.514); (2052.745, 2727.863); (2050.152, 2734.734); (2047.637, 2740.212); (2046.768, 2741.847); (2046.749, 2741.871); (2007.958, 2742.855); (1996.581, 2739.952)"
45,"(1213.257, 1353.352); (1214.644, 1360.792); (1202.692, 1367.346); (1196.769, 1367.235); (1192.755, 1365.190); (1194.050, 1353.262); (1201.075, 1350.821); (1207.188, 1351.015)"
46,"(3080.903, 2374.933); (3228.853, 2322.235); (3569.014, 2215.128); (3575.394, 2213.175); (3612.120, 2214.130); (3617.135, 2217.851); (3621.889, 2224.345); (3634.044, 2248.105); (3656.272, 2305.927); (3687.007, 2409.727); (3688.799, 2416.577); (3686.578, 2422.586); (3686.053, 2422.575); (3660.743, 2422.066); (3647.463, 2421.799); (3601.069, 2420.866); (3513.744, 2419.109); (3127.432, 2411.333); (3102.033, 2410.821); (3095.769, 2410.695); (3087.429, 2398.360); (3082.664, 2386.672)"
47,"(2467.118, 3094.744); (2564.880, 3089.640); (2604.359, 3095.257); (2610.937, 4075.358); (2610.635, 4077.791); (2610.373, 4079.464); (2598.431, 4083.472); (2581.989, 4084.325); (2547.612, 4085.433); (2456.810, 4086.818); (2442.516, 3706.247); (2441.252, 3644.018); (2461.274, 3153.604); (2462.136, 3144.797)"
48,"(3413.267, 2229.151); (3401.477, 2196.357); (3453.496, 2175.783); (3474.639, 2168.995); (3505.637, 2160.055); (3515.261, 2161.073); (3520.163, 2164.022); (3537.984, 2184.359); (3530.729, 2194.876); (3424.306, 2231.338)"
49,"(1481.908, 2058.834); (1467.132, 2071.193); (1461.854, 2067.981); (1457.819, 2065.158); (1455.531, 2063.444); (1453.106, 2057.332); (1449.488, 2047.010); (1449.690, 2041.704); (1450.925, 2029.689); (1455.312, 2027.055); (1463.458, 2028.983); (1480.541, 2049.867)"
50,"(455.400, 2284.441); (485.127, 2305.055); (483.922, 2319.818); (482.085, 2323.014); (472.436, 2326.356); (467.788, 2326.927); (456.812, 2321.247); (430.214, 2297.640); (425.376, 2290.280); (429.887, 2287.816)"
51,"(1043.391, 2192.812); (1047.904, 2202.140); (1045.427, 2214.547); (1039.806, 2215.256); (1032.661, 2209.670); (1039.552, 2195.201)"
52,"(1577.491, 675.254); (1580.395, 664.180); (1600.947, 669.920); (1610.955, 673.339); (1609.332, 686.815); (1602.123, 693.260); (1588.354, 694.621); (1580.914, 688.787); (1578.816, 682.076)"
53,"(1363.569, 3112.103); (1374.934, 3121.965); (1362.424, 3146.104); (1361.152, 3147.851); (1332.041, 3158.556); (1294.947, 3148.786); (1289.314, 3143.257); (1290.540, 3136.511)"
54,"(2027.478, 1893.901); (2025.222, 1886.845); (2034.866, 1877.711); (2041.121, 1874.567); (2045.208, 1874.544); (2089.432, 1877.544); (2083.312, 1884.616); (2078.996, 1889.570); (2068.785, 1895.958); (2038.166, 1910.984); (2037.257, 1910.930)"
55,"(844.147, 907.967); (841.110, 886.093); (845.443, 886.068); (864.318, 888.956); (885.603, 895.775); (883.863, 900.881); (868.252, 916.910); (857.562, 918.875); (849.698, 914.906)"
56,"(30.437, 727.424); (9.209, 721.810); (13.623, 707.332); (17.151, 702.240); (29.101, 695.152); (33.788, 693.674); (42.304, 692.642); (46.727, 695.161); (34.143, 724.212)"
57,"(4035.730, 3342.907); (4080.229, 3393.426); (4078.238, 3402.172); (4039.844, 3444.110); (4037.101, 3444.790); (4023.249, 3446.572); (4008.757, 3444.828); (4003.908, 3444.084); (3977.934, 3438.445); (3964.533, 3435.520); (3912.933, 3405.801); (3913.204, 3399.805); (3932.091, 3351.870); (3932.855, 3351.121); (3937.870, 3349.826); (3980.566, 3341.383); (3983.327, 3341.127); (3991.757, 3341.402)"
58,"(3696.051, 2315.242); (3688.193, 2324.749); (3682.555, 2327.188); (3681.020, 2325.024); (3678.612, 2321.443); (3673.090, 2312.172); (3691.882, 2313.655)"
59,"(3899.768, 1977.830); (3900.069, 1988.445); (3897.492, 2001.448); (3893.983, 2006.699); (3887.024, 2005.063); (3881.025, 1976.278); (3887.027, 1975.770); (3893.826, 1976.117)"
60,"(3949.254, 1286.426); (3942.066, 1303.411); (3937.068, 1301.301); (3913.427, 1287.853); (3920.081, 1279.676); (3931.996, 1277.864); (3947.941, 1280.254)"
61,"(1643.028, 593.876); (1640.977, 579.273); (1641.209, 575.261); (1655.896, 574.257); (1665.828, 575.810); (1667.063, 581.476); (1668.912, 595.586); (1665.374, 597.087); (1659.379, 598.509); (1651.803, 597.979)"
62,"(3674.882, 1645.521); (3628.908, 1654.813); (3625.069, 1650.824); (3611.140, 1635.970); (3607.368, 1631.002); (3593.318, 1611.581); (3606.493, 1601.341); (3609.206, 1600.778); (3627.606, 1598.165); (3645.953, 1597.302); (3672.886, 1597.941); (3678.357, 1598.798); (3681.158, 1601.370); (3680.973, 1626.233); (3678.270, 1639.999)"
63,"(3528.897, 1265.872); (3536.606, 1241.083); (3541.284, 1240.177); (3564.812, 1240.308); (3571.740, 1241.501); (3575.904, 1243.869); (3580.165, 1246.598); (3580.762, 1252.263); (3581.320, 1258.014); (3575.254, 1265.415); (3549.441, 1270.779); (3534.048, 1271.207); (3529.330, 1270.244)"
64,"(2553.910, 1801.644); (2554.491, 1814.540); (2541.942, 1805.577); (2537.304, 1800.194); (2543.041, 1796.435); (2550.177, 1794.018)"
65,"(3210.105, 1318.039); (3208.936, 1286.536); (3210.546, 1278.842); (3397.743, 1261.849); (3405.625, 1263.336); (3481.028, 1291.878); (3485.737, 1294.233); (3487.799, 1296.766); (3484.010, 1316.833); (3472.231, 1329.425); (3365.314, 1387.614); (3298.153, 1395.335); (3263.441, 1398.228); (3252.628, 1399.095); (3225.304, 1398.889); (3218.485, 1398.689); (3214.387, 1395.760); (3212.828, 1369.286)"
66,"(3711.989, 1965.785); (3711.981, 1974.921); (3708.566, 1972.498); (3705.409, 1967.225); (3707.878, 1962.449)"
67,"(2701.954, 1069.961); (2698.664, 1078.640); (2695.230, 1078.229); (2671.435, 1067.542); (2667.147, 1063.381); (2665.300, 1054.454); (2668.520, 1044.880); (2670.308, 1042.560); (2676.486, 1034.721); (2686.288, 1033.149); (2705.754, 1031.834); (2707.002, 1035.243); (2708.265, 1039.276); (2706.409, 1049.720)"
68,"(2948.673, 1654.766); (2840.871, 1630.231); (2829.603, 1623.896); (2825.375, 1593.968); (2835.502, 1585.496); (2844.967, 1581.252); (2849.569, 1579.411); (2961.973, 1541.194); (2962.234, 1541.180); (2997.654, 1542.208); (3002.925, 1542.502); (3030.155, 1544.930); (3101.578, 1552.786); (3111.954, 1554.345); (3116.301, 1555.450); (3115.531, 1558.499); (3112.457, 1565.282); (3023.407, 1629.021); (3013.138, 1636.249); (2981.140, 1646.767)"
69,"(1835.973, 471.048); (1833.117, 469.122); (1833.502, 467.669); (1834.678, 464.112); (1840.794, 459.839); (1840.862, 459.812); (1841.403, 459.778); (1845.904, 459.782); (1845.061, 463.145); (1843.001, 465.795); (1839.058, 469.542)"
70,"(1850.865, 1958.259); (1865.009, 1973.257); (1873.133, 2006.846); (1873.869, 2016.776); (1866.678, 2022.990); (1822.918, 2038.596); (1746.550, 2026.603); (1742.028, 2025.406); (1737.648, 2022.217); (1737.287, 2017.765); (1757.912, 1986.738); (1763.127, 1980.004); (1771.931, 1975.494); (1778.826, 1972.136); (1791.910, 1968.005); (1797.954, 1966.200)"
71,"(520.587, 3733.513); (521.763, 3729.587); (521.279, 3733.087); (520.697, 3734.960)"
72,"(3592.564, 866.543); (3592.758, 835.941); (3609.183, 820.159); (3629.735, 835.036); (3666.258, 864.537); (3676.141, 883.227); (3669.244, 887.299); (3646.086, 886.507); (3597.228, 873.751); (3595.492, 871.608)"
73,"(2072.706, 1554.338); (2071.626, 1587.395); (2028.669, 1591.088); (1952.520, 1589.078); (1942.735, 1587.111); (1930.418, 1577.906); (1929.453, 1572.664); (1939.803, 1559.487); (2059.839, 1539.704); (2064.571, 1541.736); (2070.608, 1548.523)"
74,"(3305.597, 3025.802); (3305.326, 3014.161); (3307.686, 3010.547); (3335.165, 2996.378); (3344.655, 2994.143); (3348.601, 2993.856); (3360.483, 2995.382); (3375.600, 3011.561); (3378.536, 3018.642); (3380.600, 3025.585); (3381.626, 3030.150); (3355.899, 3030.701); (3307.430, 3028.234)"
75,"(1073.490, 3963.923); (1080.573, 3984.318); (1073.793, 3988.614); (1068.912, 3990.576); (940.241, 3988.511); (937.402, 3983.969); (938.703, 3977.838); (940.656, 3973.270); (945.077, 3968.385); (951.952, 3961.714); (957.877, 3958.224); (977.186, 3957.383); (1062.651, 3961.977)"
76,"(3560.566, 2173.463); (3569.380, 2168.174); (3582.565, 2175.959); (3576.378, 2180.562); (3568.304, 2183.431); (3564.032, 2182.373)"
77,"(4023.780, 525.778); (4018.301, 534.949); (4011.427, 530.993); (4008.524, 527.717); (4013.704, 521.080); (4017.778, 520.468)"
78,"(716.856, 744.704); (695.049, 757.627); (686.461, 758.507); (682.892, 755.286); (681.139, 753.158); (687.021, 730.211); (694.654, 723.249); (701.120, 718.389); (706.484, 721.003); (715.080, 740.241)"
79,"(1993.246, 2033.935); (2056.087, 1994.605); (2065.081, 1999.407); (2069.111, 2008.039); (2072.174, 2025.599); (2072.969, 2035.540); (2073.689, 2050.631); (2070.605, 2058.513); (2045.075, 2095.586); (2025.787, 2101.713); (2019.010, 2103.225); (2015.175, 2103.492); (2007.346, 2092.334); (1998.947, 2062.235); (1995.409, 2046.995)"
80,"(2216.446, 889.620); (2212.671, 934.101); (2178.689, 950.641); (2174.116, 950.153); (2162.946, 945.635); (2145.870, 926.471); (2120.568, 895.436); (2122.553, 888.853); (2131.889, 872.240); (2140.697, 872.385); (2210.547, 887.886)"
81,"(3672.231, 1846.504); (3698.298, 1849.755); (3704.583, 1862.963); (3710.842, 1891.215); (3712.619, 1906.211); (3709.367, 1911.494); (3701.113, 1910.296); (3663.885, 1893.368); (3658.947, 1880.780); (3657.450, 1873.547); (3658.544, 1846.963)"
82,"(2157.703, 738.625); (2154.790, 755.687); (2150.994, 758.996); (2143.572, 755.148); (2137.276, 751.115); (2124.871, 732.951); (2122.016, 727.509); (2121.043, 721.061); (2131.240, 721.097); (2151.344, 728.105); (2155.765, 731.551)"
83,"(2248.688, 880.430); (2254.696, 851.132); (2276.947, 803.655); (2304.596, 808.105); (2337.729, 836.226); (2338.647, 843.854); (2333.105, 848.771); (2323.569, 856.262); (2273.382, 887.296); (2267.397, 887.475); (2262.490, 886.539)"
84,"(3785.139, 2791.567); (3815.583, 2804.142); (3820.969, 2808.353); (3829.298, 2816.049); (3828.936, 2832.716); (3755.166, 2865.124); (3736.699, 2870.713); (3732.310, 2868.778); (3721.436, 2845.254); (3722.073, 2800.874); (3725.760, 2794.089); (3734.807, 2792.277)"
85,"(2346.551, 3092.555); (2357.287, 3227.693); (2352.082, 3566.348); (2351.168, 3584.687); (2316.494, 4044.931); (2304.621, 4084.112); (2288.567, 4086.707); (2269.233, 4087.342); (2249.368, 4087.435); (2248.553, 4085.645); (2248.563, 4083.240); (2253.508, 3103.179); (2253.905, 3099.570); (2254.769, 3092.985); (2273.661, 3088.538); (2334.815, 3089.553); (2342.492, 3089.779)"
86,"(393.332, 2240.075); (403.353, 2236.121); (406.466, 2242.192); (406.768, 2242.971); (414.215, 2263.459); (413.929, 2263.498)"
87,"(3510.286, 2110.253); (3519.136, 2116.197); (3510.420, 2123.455); (3493.857, 2130.673); (3483.250, 2134.883); (3476.225, 2134.645); (3475.966, 2134.479); (3472.998, 2128.534); (3472.124, 2126.553); (3465.334, 2108.548); (3467.330, 2108.246); (3507.437, 2110.105)"
88,"(44.567, 3126.931); (12.550, 3124.225); (10.531, 3107.071); (9.259, 3093.762); (12.041, 3087.826); (23.565, 3081.677); (32.109, 3079.138); (95.109, 3083.331); (109.689, 3084.597); (112.960, 3093.641); (113.320, 3096.805); (105.613, 3115.128); (78.097, 3123.226)"
89,"(41.728, 640.328); (36.519, 663.072); (21.796, 662.164); (13.273, 654.485); (10.691, 651.070); (9.474, 647.510); (11.228, 641.512); (25.844, 637.783); (40.045, 638.627)"
90,"(2059.470, 1011.780); (2057.414, 990.951); (2065.754, 980.359); (2070.289, 979.006); (2090.312, 981.807); (2101.079, 987.332); (2103.853, 992.073); (2096.080, 1009.261); (2093.215, 1012.792); (2078.801, 1014.659); (2070.449, 1014.496)"
91,"(1576.616, 1089.975); (1579.544, 1085.974); (1585.854, 1084.155); (1588.006, 1085.182); (1593.962, 1089.681); (1590.540, 1093.812); (1587.198, 1094.747); (1583.521, 1093.401)"
92,"(2022.619, 2353.442); (2021.757, 2357.852); (2010.917, 2358.693); (1992.466, 2358.476); (1948.177, 2352.062); (1934.222, 2329.503); (1928.562, 2315.324); (1938.912, 2315.899); (1973.707, 2317.995); (1999.871, 2320.716); (2010.999, 2322.412); (2014.833, 2327.234)"
93,"(2793.171, 3522.947); (2804.214, 3519.361); (2816.679, 3525.986); (2801.817, 3526.615)"
94,"(2193.272, 3115.110); (2192.113, 4078.405); (2189.628, 4079.340); (2176.867, 4081.002); (2105.597, 4086.565); (2077.278, 4077.976); (2074.520, 4072.842); (2068.482, 4052.370); (2057.470, 3881.144); (2057.272, 3872.128); (2068.848, 3123.478); (2069.530, 3105.577); (2074.232, 3089.682); (2147.873, 3088.891); (2166.916, 3089.446); (2191.445, 3100.645)"
95,"(951.455, 4086.740); (905.235, 4084.574); (906.018, 4081.062); (906.990, 4078.096); (907.703, 4076.163); (908.375, 4076.113); (954.639, 4074.000); (958.498, 4077.988); (959.240, 4081.468); (955.614, 4085.937)"
96,"(2056.842, 1109.032); (2065.582, 1047.859); (2066.487, 1041.659); (2207.657, 999.783); (2229.719, 995.395); (2236.187, 995.410); (2244.071, 996.508); (2258.091, 1010.699); (2271.416, 1033.103); (2284.804, 1063.372); (2285.818, 1066.200); (2292.191, 1084.563); (2293.312, 1089.006); (2300.765, 1143.214); (2198.335, 1141.153); (2087.529, 1138.923); (2081.245, 1138.796); (2059.410, 1113.252)"
97,"(2000.528, 1630.565); (1992.858, 2011.652); (1992.857, 2011.687); (1992.857, 2011.691); (1969.015, 2020.951); (1924.809, 2035.441); (1912.132, 2038.552); (1906.413, 2036.818); (1901.183, 2034.280); (1895.246, 2017.361); (1807.089, 1726.740); (1801.930, 1705.318); (1800.597, 1698.522); (1802.981, 1693.799); (1822.695, 1686.883); (1938.018, 1648.336); (1991.113, 1632.700)"
