NO,Polygon Points
11,"(7052.664, 3015.536); (7048.939, 3009.382); (7048.999, 2982.154); (7051.937, 2976.274); (7057.086, 2973.067); (7142.642, 2947.192); (7203.199, 2932.589); (7423.857, 2890.309); (7818.788, 2833.406); (7858.034, 2827.890); (7864.245, 2827.855); (7868.662, 2832.984); (7853.420, 2841.718); (7851.535, 2842.699); (7845.602, 2845.514); (7430.170, 2984.303); (7297.841, 3022.552); (7147.407, 3061.724); (7142.556, 3062.623); (7140.896, 3062.445); (7132.758, 3060.405)"
12,"(5350.032, 1457.174); (5416.922, 1622.544); (5381.232, 1640.831); (5373.726, 1644.433); (5333.999, 1654.851); (5330.172, 1653.904); (5280.914, 1603.774); (5275.683, 1590.278); (5274.126, 1583.228); (5257.499, 1474.079); (5257.724, 1468.109); (5265.926, 1459.205); (5270.959, 1455.546); (5282.434, 1450.022); (5287.084, 1448.633)"
13,"(1033.175, 1476.900); (1033.418, 1458.884); (1033.547, 1449.251); (1034.834, 1353.615); (1035.142, 1330.696); (1042.386, 792.375); (1043.441, 713.994); (1045.080, 592.255); (1050.074, 592.322); (1179.561, 594.064); (1598.049, 599.696); (1828.596, 602.799); (2019.116, 605.363); (2026.782, 605.466); (2029.252, 609.707); (2030.045, 646.989); (2032.364, 769.788); (2031.898, 869.764); (2029.250, 892.042); (2024.819, 903.161); (2022.130, 907.642); (1696.168, 1413.691); (1647.730, 1487.528); (1644.705, 1491.094); (1618.205, 1509.596); (1590.486, 1527.443); (1307.460, 1525.447); (1181.747, 1515.136); (1060.687, 1492.706); (1052.027, 1487.978)"
14,"(4892.685, 1614.216); (5130.056, 1543.139); (5138.268, 1540.989); (5180.034, 1547.832); (5189.047, 1549.891); (5200.408, 1569.015); (5199.453, 1574.080); (5164.904, 1674.613); (5157.481, 1682.742); (5101.142, 1742.055); (5087.169, 1754.549); (5055.799, 1781.957); (5049.038, 1783.291); (5030.790, 1779.621); (4893.644, 1696.936); (4884.490, 1689.534); (4882.663, 1687.076); (4873.235, 1654.889); (4875.713, 1633.870); (4879.947, 1626.371); (4889.534, 1616.035)"
15,"(4111.432, 1431.773); (4104.952, 1363.569); (4118.372, 1358.399); (4128.760, 1355.002); (4261.014, 1350.916); (4265.269, 1355.189); (4267.335, 1362.699); (4273.481, 1458.830); (4265.624, 1482.012); (4256.641, 1503.038); (4252.629, 1509.264); (4217.395, 1524.501); (4208.847, 1527.016); (4201.693, 1523.760)"
16,"(3849.287, 2014.998); (3851.928, 2006.255); (3872.116, 1984.481); (3897.255, 1991.711); (3905.657, 1995.314); (3934.842, 2015.913); (3936.069, 2020.713); (3928.793, 2029.685); (3919.030, 2032.593); (3896.453, 2038.697); (3883.662, 2038.890); (3867.047, 2038.413); (3855.036, 2036.150)"
17,"(3544.920, 1397.903); (3568.272, 1408.619); (3564.626, 1415.612); (3562.566, 1418.126); (3550.823, 1427.500); (3540.347, 1430.886); (3532.348, 1426.180); (3528.805, 1421.970); (3531.800, 1403.544); (3532.286, 1400.563); (3538.893, 1398.424)"
18,"(3212.566, 1776.807); (3224.757, 1892.686); (3213.275, 1901.824); (3203.625, 1907.609); (3198.268, 1910.123); (3192.161, 1910.662); (3167.658, 1900.532); (3157.354, 1894.505); (3116.515, 1867.575); (3082.255, 1800.348); (3081.192, 1784.762); (3086.089, 1781.967); (3130.199, 1777.891)"
19,"(7934.906, 2615.269); (7880.980, 2603.132); (7887.635, 2572.663); (7892.040, 2562.858); (7893.335, 2562.179); (7913.015, 2555.186); (7931.304, 2549.725); (7935.511, 2563.419); (7944.991, 2608.694); (7940.263, 2614.653)"
20,"(6925.487, 1699.232); (6920.997, 1606.405); (6926.991, 1601.472); (7145.820, 1494.673); (7151.876, 1492.786); (7162.998, 1499.429); (7167.278, 1506.732); (7193.302, 1578.670); (7186.464, 1609.364); (7160.164, 1709.154); (7153.387, 1720.879); (6979.005, 1781.879); (6973.448, 1783.213); (6961.817, 1777.060); (6958.648, 1771.793)"
21,"(27.923, 3911.968); (8.528, 3659.988); (32.393, 3231.424); (36.056, 3226.066); (72.155, 3186.725); (76.470, 3183.125); (124.415, 3152.911); (497.696, 3101.406); (819.089, 3088.417); (990.366, 3093.929); (1002.407, 3121.562); (1008.022, 3172.325); (1008.420, 3466.479); (1007.880, 4017.082); (1007.213, 4074.231); (989.527, 4081.954); (935.694, 4087.275); (53.589, 3922.458)"
22,"(5129.402, 1350.632); (5156.124, 1331.511); (5158.757, 1330.167); (5170.349, 1336.834); (5176.420, 1340.357); (5176.632, 1340.547); (5193.699, 1370.768); (5198.360, 1379.719); (5191.722, 1387.156); (5180.272, 1398.944); (5167.405, 1395.629); (5136.363, 1383.439); (5132.385, 1378.139); (5130.975, 1367.595)"
23,"(6943.003, 1398.668); (6934.941, 1398.434); (6922.689, 1389.877); (6921.302, 1384.426); (6925.097, 1369.682); (6934.044, 1355.044); (6941.244, 1346.425); (6947.283, 1345.948); (6957.872, 1351.415); (6962.230, 1354.705); (6970.233, 1362.943); (6972.411, 1369.226); (6967.533, 1384.170); (6963.208, 1387.391); (6948.928, 1396.369)"
24,"(2208.728, 1968.761); (2185.225, 1913.784); (2188.700, 1891.907); (2189.982, 1887.276); (2195.545, 1884.023); (2256.452, 1878.369); (2260.505, 1878.669); (2265.310, 1882.017); (2294.651, 1904.572); (2298.402, 1908.010); (2327.787, 1972.495); (2329.748, 1977.459); (2329.442, 1981.250); (2327.933, 1986.126); (2324.340, 1996.758); (2320.955, 2003.287); (2315.629, 2011.526); (2276.932, 2039.374)"
25,"(3121.687, 1895.373); (3213.085, 1964.229); (3215.374, 1969.528); (3216.331, 1973.308); (3213.842, 2005.806); (3212.121, 2010.298); (3208.654, 2017.812); (3196.337, 2035.555); (3179.190, 2039.249); (3173.199, 2038.889); (3152.584, 2032.714); (3080.993, 1961.976); (3082.893, 1943.409); (3083.164, 1942.868); (3118.864, 1898.673)"
26,"(27.471, 1429.301); (19.698, 1430.858); (12.936, 1417.457); (9.327, 1408.726); (16.561, 1405.348); (27.660, 1404.994); (30.252, 1409.285); (27.932, 1426.342)"
27,"(1928.806, 3786.551); (1965.470, 3677.471); (1968.959, 3675.537); (1980.180, 3674.880); (1996.066, 3678.987); (2028.896, 3690.803); (2027.291, 3720.957); (2007.920, 3874.160); (2003.757, 3884.846); (1999.502, 3894.658); (1970.712, 3886.198); (1969.197, 3885.308); (1968.011, 3884.246); (1950.611, 3852.827); (1934.408, 3809.931); (1929.528, 3795.918)"
28,"(5222.317, 1942.779); (5203.419, 2039.110); (4894.908, 1945.904); (4881.763, 1939.758); (4873.500, 1919.585); (4873.249, 1914.282); (4874.941, 1908.958); (4891.277, 1859.378); (4902.324, 1854.504); (4929.512, 1858.823); (5126.918, 1908.072); (5203.561, 1928.235); (5220.328, 1938.373)"
29,"(392.086, 2772.758); (439.681, 2844.711); (437.421, 2851.731); (302.040, 2870.937); (277.134, 2867.194); (270.290, 2865.824); (267.650, 2858.619); (265.357, 2847.883); (265.646, 2845.484); (283.274, 2803.639); (286.421, 2798.576); (316.525, 2773.854); (331.730, 2765.828); (336.684, 2765.341); (344.708, 2765.233); (365.167, 2767.608)"
30,"(7178.240, 1409.878); (7174.767, 1449.914); (7161.217, 1456.939); (7132.411, 1463.219); (7118.841, 1460.248); (7112.707, 1458.878); (7116.064, 1422.795); (7123.103, 1408.102); (7126.648, 1401.723); (7151.235, 1391.663); (7157.606, 1389.141); (7172.644, 1401.654); (7175.989, 1405.796)"
31,"(5864.790, 2735.086); (5872.820, 2720.548); (5880.330, 2707.292); (5881.919, 2709.502); (5887.670, 2718.994); (5889.695, 2732.276); (5889.469, 2737.005); (5887.352, 2742.980); (5864.917, 2741.091)"
32,"(1105.168, 2735.644); (1100.389, 2783.793); (1052.825, 2804.166); (1045.035, 2807.351); (1036.162, 2807.004); (1032.834, 2804.958); (1048.711, 2674.737); (1052.324, 2669.700); (1067.774, 2657.302); (1076.355, 2653.693); (1083.755, 2654.986); (1102.515, 2691.091)"
33,"(2282.743, 2416.017); (2280.658, 2401.977); (2286.943, 2396.625); (2295.572, 2390.882); (2312.433, 2388.237); (2326.194, 2387.904); (2334.166, 2391.302); (2343.306, 2403.869); (2334.108, 2412.560); (2310.645, 2422.181); (2305.189, 2422.628); (2294.292, 2419.878)"
34,"(430.499, 2038.345); (425.323, 2032.111); (429.723, 2022.924); (431.977, 2018.940); (440.108, 2025.242); (450.340, 2036.486); (445.020, 2038.662)"
35,"(3464.828, 2417.532); (3337.450, 2361.684); (3340.855, 2357.201); (3479.597, 2269.858); (3484.598, 2270.672); (3489.670, 2282.384); (3511.691, 2421.084); (3499.732, 2422.796); (3483.300, 2422.006)"
36,"(1224.975, 1615.212); (1236.133, 1605.340); (1249.232, 1606.021); (1255.317, 1610.580); (1247.257, 1621.268); (1235.620, 1623.283); (1231.084, 1620.486)"
37,"(7754.731, 2907.575); (7752.584, 2900.645); (7761.553, 2892.272); (7767.039, 2890.702); (7827.104, 2883.208); (7847.153, 2881.724); (7861.713, 2887.174); (7860.012, 2892.733); (7854.264, 2901.581); (7843.875, 2910.153); (7824.639, 2924.217); (7815.409, 2929.106); (7794.300, 2934.166); (7787.352, 2935.043)"
38,"(1137.622, 1652.075); (1126.444, 1655.254); (1101.024, 1630.643); (1059.653, 1590.146); (1055.833, 1585.718); (1044.525, 1563.434); (1033.453, 1540.816); (1038.620, 1520.906); (1039.984, 1516.244); (1040.101, 1516.124); (1049.359, 1516.999); (1052.587, 1518.499); (1124.828, 1555.428); (1137.612, 1563.374); (1166.729, 1603.193); (1175.383, 1618.891); (1174.112, 1620.747); (1143.786, 1646.904)"
39,"(5081.525, 1458.833); (5064.831, 1447.855); (5065.250, 1425.709); (5066.459, 1419.396); (5078.479, 1396.896); (5081.917, 1394.279); (5084.889, 1393.664); (5097.299, 1391.296); (5103.007, 1390.645); (5120.650, 1400.569); (5125.501, 1406.134); (5122.127, 1455.582); (5108.915, 1462.030); (5101.188, 1462.825); (5095.948, 1462.673)"
40,"(6473.083, 3623.270); (6479.303, 3610.573); (6500.209, 3596.845); (6514.227, 3590.038); (6520.674, 3588.636); (6558.945, 3592.332); (6579.639, 3600.365); (6591.957, 3606.813); (6597.574, 3612.279); (6590.186, 3615.437); (6533.788, 3638.858); (6526.748, 3638.862); (6491.296, 3632.970); (6483.280, 3631.042)"
41,"(7306.121, 1551.535); (7333.902, 1511.695); (7335.661, 1511.064); (7445.895, 1495.199); (7453.138, 1496.806); (7463.820, 1504.652); (7478.965, 1518.354); (7519.931, 1555.869); (7523.600, 1561.301); (7522.501, 1568.405); (7518.372, 1588.999); (7507.275, 1627.661); (7503.218, 1633.586); (7493.565, 1646.117); (7488.230, 1650.468); (7350.453, 1655.301); (7334.142, 1655.105); (7307.858, 1646.611); (7306.366, 1645.469); (7304.895, 1642.626); (7304.959, 1637.840); (7304.990, 1635.550); (7305.414, 1604.053); (7306.089, 1553.875)"
42,"(1913.730, 1526.687); (1897.321, 1521.162); (1901.159, 1513.943); (1908.935, 1509.808); (1915.571, 1514.945); (1916.966, 1518.926)"
43,"(1278.624, 3655.371); (1273.344, 3649.472); (1277.403, 3643.159); (1280.924, 3639.558); (1296.819, 3642.172); (1312.062, 3652.242); (1283.501, 3655.388)"
44,"(4201.068, 1316.066); (4210.814, 1306.182); (4222.235, 1314.386); (4229.959, 1324.738); (4233.398, 1334.958); (4225.768, 1334.176); (4220.995, 1333.563); (4215.539, 1331.736); (4206.531, 1328.255); (4203.727, 1322.834)"
45,"(3081.305, 2383.858); (3108.719, 2262.141); (3114.374, 2255.809); (3157.525, 2225.836); (3228.798, 2206.589); (3251.648, 2207.849); (3269.430, 2218.737); (3309.130, 2331.042); (3105.252, 2422.061); (3101.794, 2423.248); (3098.789, 2419.198)"
46,"(5424.943, 1366.647); (5419.814, 1358.280); (5418.048, 1353.012); (5417.048, 1346.589); (5417.962, 1340.821); (5428.075, 1333.611); (5430.922, 1332.270); (5436.401, 1333.662); (5440.631, 1336.885); (5445.133, 1341.764); (5443.496, 1349.544); (5440.514, 1354.137); (5435.952, 1360.796); (5429.680, 1366.551)"
47,"(4393.827, 1333.592); (4393.294, 1328.847); (4398.112, 1316.739); (4402.610, 1313.565); (4415.797, 1308.604); (4417.606, 1309.719); (4423.624, 1314.140); (4416.179, 1327.876); (4412.411, 1334.562)"
48,"(8137.241, 1412.183); (8148.273, 1400.212); (8158.657, 1406.955); (8171.605, 1422.609); (8174.554, 1427.540); (8169.644, 1430.298); (8162.363, 1431.011); (8151.402, 1427.942); (8145.251, 1425.569); (8140.832, 1419.412)"
49,"(4195.562, 2817.873); (4213.133, 2824.748); (4217.291, 2837.436); (4217.512, 2842.419); (4216.659, 2859.697); (4214.188, 2862.238); (4176.741, 2871.490); (4168.952, 2856.356); (4171.093, 2843.581); (4174.584, 2832.235); (4177.530, 2829.495); (4189.179, 2820.877)"
50,"(7241.124, 1837.056); (7246.965, 1827.344); (7273.861, 1799.200); (7279.127, 1802.612); (7288.038, 1810.046); (7289.184, 1815.050); (7271.035, 1840.035); (7257.417, 1846.658); (7245.812, 1841.964)"
51,"(5129.117, 2154.138); (5128.533, 2127.843); (5129.016, 2122.300); (5130.565, 2116.131); (5133.717, 2111.255); (5220.618, 2053.802); (5257.283, 2060.738); (5267.197, 2065.531); (5273.416, 2068.769); (5280.457, 2073.385); (5255.778, 2136.543); (5225.893, 2157.053); (5169.976, 2166.647); (5140.972, 2161.461); (5131.511, 2155.842)"
52,"(4133.734, 2039.323); (4110.167, 2032.132); (4105.721, 2026.474); (4105.398, 2016.381); (4106.791, 2011.901); (4120.278, 2004.974); (4130.599, 2003.919); (4146.714, 2004.961); (4156.661, 2010.315); (4142.691, 2030.511); (4137.715, 2037.291)"
53,"(1033.105, 2372.849); (1044.945, 2368.376); (1064.207, 2364.699); (1070.123, 2386.537); (1071.801, 2397.180); (1072.959, 2406.276); (1070.814, 2417.109); (1064.661, 2420.209); (1059.311, 2422.596); (1055.191, 2423.329); (1053.710, 2421.439); (1039.711, 2394.179)"
54,"(5131.636, 1750.687); (5128.572, 1743.796); (5136.545, 1732.987); (5142.261, 1726.274); (5144.720, 1724.296); (5164.541, 1719.538); (5168.948, 1721.980); (5168.190, 1733.293); (5166.620, 1736.475); (5148.620, 1747.013); (5135.740, 1750.340)"
55,"(8113.371, 1851.774); (8154.419, 1862.860); (8173.577, 1875.720); (8176.656, 1878.993); (8177.864, 1882.044); (8148.024, 1951.829); (8130.889, 1970.732); (8127.704, 1973.904); (8097.834, 1974.625); (8082.370, 1973.444); (8080.454, 1972.245); (8074.203, 1941.692); (8073.418, 1937.224); (8074.852, 1926.628); (8100.636, 1865.844); (8106.129, 1858.405)"
56,"(4440.725, 1299.266); (4444.405, 1289.611); (4449.635, 1294.654); (4446.798, 1301.701); (4444.033, 1303.337)"
57,"(2302.246, 2297.223); (2348.181, 2340.936); (2348.126, 2345.049); (2329.715, 2356.489); (2279.199, 2358.933); (2249.496, 2351.212); (2248.521, 2347.143); (2252.408, 2338.434)"
58,"(6098.634, 1271.249); (6089.219, 1259.029); (6089.902, 1253.824); (6098.888, 1248.231); (6103.458, 1247.967); (6105.136, 1248.521); (6108.369, 1256.765); (6109.770, 1268.435); (6103.734, 1271.200)"
59,"(7872.727, 3483.776); (7870.150, 3492.551); (7837.766, 3509.707); (7828.701, 3511.071); (7818.088, 3508.694); (7766.215, 3493.556); (7753.693, 3482.530); (7753.344, 3475.998); (7758.299, 3470.287); (7793.860, 3452.648); (7861.325, 3471.701)"
60,"(4616.696, 1074.078); (4621.864, 1072.395); (4623.083, 1076.913); (4622.207, 1078.755)"
61,"(1032.986, 3734.661); (1033.127, 3724.157); (1033.623, 3687.325); (1034.398, 3629.716); (1041.580, 3632.081); (1044.329, 3633.295); (1059.915, 3641.939); (1069.683, 3647.572); (1075.576, 3656.900); (1063.107, 3705.748); (1059.850, 3712.859); (1053.275, 3726.455); (1051.056, 3728.010)"
62,"(5641.179, 3284.390); (5643.864, 3273.576); (5718.897, 3249.742); (5727.490, 3253.015); (5725.596, 3261.703); (5701.902, 3298.574); (5695.834, 3306.488); (5685.970, 3313.021); (5655.575, 3318.935); (5650.836, 3318.245); (5645.353, 3313.601); (5641.944, 3309.000)"
63,"(5627.021, 1505.162); (5625.053, 1516.412); (5611.765, 1526.296); (5608.433, 1527.429); (5584.131, 1512.207); (5580.500, 1508.740); (5578.224, 1499.624); (5577.865, 1492.879); (5577.389, 1483.187); (5598.409, 1468.438); (5613.548, 1471.998); (5621.512, 1480.850)"
64,"(3912.951, 1709.118); (3940.638, 1644.179); (3943.136, 1641.060); (3947.532, 1640.363); (3952.453, 1643.812); (3971.005, 1674.169); (3974.701, 1682.744); (3960.907, 1709.850); (3954.695, 1719.129); (3949.350, 1718.538); (3937.016, 1717.116); (3931.013, 1715.894); (3918.277, 1711.412)"
65,"(4874.400, 3639.085); (4873.463, 3605.594); (4880.658, 3568.953); (4886.549, 3554.614); (4898.275, 3553.647); (4905.842, 3558.030); (4906.373, 3558.651); (4905.571, 3575.885); (4905.346, 3579.369); (4902.574, 3618.839); (4901.736, 3628.974); (4901.691, 3629.506)"
66,"(95.771, 2160.079); (104.450, 2179.759); (60.320, 2214.790); (33.204, 2231.462); (28.346, 2231.266); (24.570, 2230.736); (17.512, 2217.583); (8.750, 2165.355); (18.137, 2107.557); (20.641, 2095.453); (30.283, 2092.288); (42.430, 2091.667); (49.609, 2097.997); (56.158, 2106.354)"
67,"(6923.003, 1816.535); (6921.339, 1806.567); (6921.384, 1800.599); (6922.425, 1796.087); (6948.166, 1795.173); (6969.075, 1799.635); (6977.060, 1802.413); (6980.762, 1811.558); (6980.292, 1815.706); (6978.180, 1819.777); (6967.569, 1839.025); (6953.838, 1846.061); (6936.542, 1846.806)"
68,"(2312.527, 2604.517); (2318.173, 2565.642); (2328.691, 2557.590); (2334.300, 2553.661); (2339.132, 2551.678); (2388.446, 2552.927); (2403.612, 2555.454); (2418.928, 2561.716); (2431.103, 2567.594); (2439.406, 2584.066); (2435.321, 2589.199); (2417.103, 2596.311); (2324.545, 2614.809); (2316.870, 2608.790)"
69,"(3969.271, 2309.835); (3980.068, 2335.026); (3978.353, 2341.502); (3969.365, 2357.416); (3963.656, 2359.463); (3958.322, 2355.188); (3954.901, 2349.505); (3953.176, 2346.312); (3945.166, 2305.455); (3949.281, 2304.921); (3958.655, 2305.067)"
70,"(5966.951, 3572.399); (5935.982, 3638.658); (5918.744, 3616.914); (5918.249, 3616.008); (5897.477, 3501.105); (5900.477, 3498.868); (5907.823, 3503.144); (5961.762, 3551.555); (5964.117, 3558.864)"
71,"(2283.618, 2101.470); (2257.511, 2103.496); (2248.937, 2101.497); (2237.818, 2098.056); (2223.002, 2082.365); (2216.347, 2073.738); (2187.224, 2018.002); (2185.480, 2014.517); (2184.959, 2011.056); (2196.082, 2003.258); (2215.806, 2004.082); (2221.930, 2007.945); (2279.688, 2065.671); (2279.909, 2066.074); (2288.308, 2095.748); (2288.038, 2099.736)"
72,"(6941.885, 1464.148); (6931.100, 1520.932); (6929.452, 1526.792); (6905.150, 1519.198); (6896.130, 1516.302); (6869.187, 1495.727); (6856.962, 1473.192); (6862.375, 1455.214); (6888.511, 1439.954); (6912.607, 1442.689); (6927.642, 1448.379); (6931.681, 1450.197); (6939.083, 1455.481)"
73,"(3937.906, 1749.709); (3953.250, 1748.327); (3963.870, 1759.435); (3976.678, 1799.101); (3977.546, 1815.185); (3975.876, 1825.393); (3959.214, 1847.211); (3935.269, 1839.770); (3912.835, 1829.850); (3919.061, 1796.677)"
74,"(6918.719, 1770.014); (6885.972, 1782.545); (6881.271, 1781.460); (6874.240, 1777.731); (6869.005, 1771.246); (6864.131, 1749.135); (6857.386, 1716.976); (6859.485, 1714.659); (6872.598, 1701.957); (6912.204, 1723.055); (6923.787, 1729.979); (6920.403, 1767.668)"
75,"(4873.656, 3447.464); (4808.855, 3415.472); (4831.864, 3354.372); (4853.608, 3329.855); (4857.917, 3328.212); (4884.804, 3323.507); (4891.540, 3323.235); (4911.908, 3327.830); (4915.612, 3330.241); (4914.267, 3364.642); (4912.548, 3373.232); (4885.482, 3441.059)"
76,"(107.623, 2550.973); (29.964, 2521.445); (19.591, 2502.681); (8.880, 2483.294); (11.141, 2475.352); (16.787, 2470.913); (38.623, 2464.672); (122.612, 2464.739); (136.876, 2468.716); (146.451, 2488.274); (145.975, 2497.326); (141.590, 2509.584); (135.256, 2519.115)"
77,"(3188.196, 2995.659); (3185.374, 2997.329); (3177.566, 2999.007); (3155.263, 2997.231); (3111.570, 2980.107); (3091.742, 2955.940); (3082.072, 2828.242); (3081.705, 2821.747); (3080.968, 2803.003); (3082.876, 2797.494); (3109.921, 2828.401); (3155.467, 2883.603); (3158.851, 2890.700)"
78,"(5257.034, 1358.366); (5260.392, 1344.457); (5271.110, 1338.631); (5284.245, 1335.500); (5321.654, 1382.021); (5323.823, 1387.282); (5316.123, 1394.782); (5303.940, 1398.021); (5298.890, 1398.819); (5272.133, 1386.772)"
79,"(6728.506, 2186.058); (6728.708, 2140.380); (6731.341, 2134.636); (6744.606, 2118.574); (6755.930, 2120.310); (6768.645, 2132.523); (6809.147, 2177.630); (6813.989, 2195.789); (6814.451, 2197.888); (6813.634, 2200.821); (6810.925, 2207.410); (6798.294, 2219.871); (6794.946, 2221.680); (6786.558, 2226.060); (6742.589, 2231.083); (6735.648, 2219.367)"
80,"(5660.495, 3255.489); (5641.397, 3123.160); (5666.222, 3022.070); (5682.093, 3014.088); (5693.026, 3010.429); (5702.623, 3009.037); (5727.276, 3010.740); (5734.480, 3011.293); (5736.821, 3014.784); (5747.101, 3056.522); (5749.679, 3107.637); (5747.680, 3129.698); (5734.668, 3187.283); (5726.518, 3206.376); (5722.925, 3209.174)"
81,"(8073.207, 1621.890); (8074.018, 1563.587); (8078.464, 1546.294); (8119.629, 1547.877); (8142.967, 1550.749); (8151.678, 1553.972); (8157.270, 1557.602); (8173.751, 1581.722); (8179.331, 1597.337); (8181.926, 1605.306); (8144.770, 1650.861); (8139.703, 1652.253); (8128.063, 1654.769); (8090.295, 1650.154); (8078.915, 1635.848); (8078.598, 1635.402); (8078.069, 1634.650); (8076.503, 1631.792); (8076.459, 1631.704); (8076.441, 1631.665); (8074.431, 1626.318); (8073.692, 1624.088); (8073.381, 1622.753)"
82,"(6722.727, 1292.466); (6721.293, 1302.913); (6713.302, 1302.542); (6707.860, 1301.349); (6700.142, 1296.945); (6697.194, 1287.944); (6699.311, 1282.655); (6703.984, 1278.691); (6709.201, 1278.740); (6715.268, 1281.772)"
83,"(6856.909, 3250.846); (6857.139, 3231.492); (6860.217, 3218.844); (6865.048, 3216.835); (6873.749, 3221.133); (6883.459, 3235.831); (6891.801, 3254.152); (6892.324, 3260.505); (6885.830, 3284.084); (6881.993, 3287.457); (6874.174, 3285.208); (6871.434, 3283.126); (6866.777, 3278.463); (6863.085, 3271.939); (6858.604, 3260.952)"
84,"(1224.940, 2407.129); (1261.576, 2397.371); (1265.052, 2406.636); (1265.393, 2414.296); (1262.561, 2432.225); (1257.431, 2444.944); (1252.941, 2450.064); (1250.797, 2452.061); (1240.512, 2455.100); (1228.598, 2451.034)"
85,"(6856.639, 2255.906); (6881.277, 2190.457); (6883.517, 2188.773); (6912.965, 2189.306); (6930.188, 2200.379); (6974.361, 2231.898); (6976.762, 2234.912); (6977.604, 2240.993); (6971.172, 2250.277); (6901.095, 2289.604); (6869.024, 2294.724); (6865.049, 2289.645); (6860.867, 2280.772); (6857.780, 2264.114)"
86,"(6509.521, 2026.896); (6504.792, 2023.677); (6507.713, 2018.721); (6510.944, 2015.324); (6532.316, 2002.741); (6547.986, 1997.498); (6557.217, 1997.154); (6559.798, 2008.914); (6560.297, 2014.469); (6549.944, 2036.518); (6545.207, 2039.417)"
