NO,Polygon Points
11,"(2086.287, 1285.068); (2087.493, 1370.252); (2045.202, 1651.673); (2018.886, 1734.925); (2008.568, 1763.464); (2003.631, 1771.134); (1972.778, 1782.723); (1941.327, 1772.482); (1932.874, 1756.130); (1930.397, 1748.795); (1929.767, 1742.251); (1929.387, 1706.221); (1932.737, 1534.517); (1937.240, 1316.108); (1939.347, 1285.358); (1943.910, 1278.701); (2070.381, 1282.118); (2078.071, 1282.947)"
12,"(3370.258, 2642.396); (3368.873, 2627.614); (3375.760, 2621.251); (3405.093, 2612.809); (3409.750, 2612.021); (3442.032, 2617.283); (3452.208, 2632.108); (3458.214, 2640.913); (3455.884, 2643.218); (3439.875, 2647.020); (3387.868, 2644.295)"
13,"(3979.088, 2583.370); (3976.946, 2551.913); (3979.565, 2469.661); (3981.630, 2455.265); (3992.278, 2436.147); (4000.248, 2424.785); (4004.394, 2419.740); (4034.232, 2385.809); (4047.180, 2385.597); (4060.146, 2390.795); (4061.279, 2411.298); (4062.169, 2522.525); (4063.309, 2725.556); (4063.177, 2730.709); (4063.084, 2731.523); (4060.414, 2743.291); (4029.140, 2732.834); (4021.898, 2725.441); (3988.322, 2615.072)"
14,"(3268.731, 3574.700); (3264.763, 3960.865); (3262.324, 4050.192); (3257.433, 4052.386); (3172.499, 4066.107); (3144.858, 4067.802); (2811.991, 4086.665); (2604.624, 4087.047); (2576.556, 4083.732); (2573.757, 4082.856); (2569.300, 4078.015); (2569.250, 4028.714); (2569.121, 3828.262); (2569.139, 3575.716); (2569.173, 3525.801); (2569.178, 3524.848); (2569.410, 3516.085); (2569.937, 3510.060); (2575.740, 3509.050); (2588.889, 3507.319); (2810.417, 3493.057); (3191.582, 3469.401); (3199.489, 3470.680); (3248.015, 3495.951); (3264.852, 3511.950)"
15,"(2508.415, 3451.103); (2515.053, 4020.160); (2515.041, 4020.188); (2486.216, 4077.067); (2481.878, 4085.590); (2477.000, 4087.290); (2443.597, 4073.477); (2326.729, 4009.211); (2324.109, 4005.212); (2316.184, 3978.192); (2312.920, 3858.494); (2315.557, 3645.265); (2317.354, 3597.653); (2321.858, 3565.675); (2336.944, 3547.198); (2464.541, 3408.138); (2469.062, 3407.200); (2485.486, 3406.118); (2499.550, 3406.314); (2508.210, 3449.972)"
16,"(3904.677, 1348.454); (3880.446, 1488.194); (3875.282, 1493.820); (3868.105, 1496.744); (3835.983, 1509.287); (3787.426, 1524.778); (3779.472, 1526.669); (3772.355, 1527.275); (3768.636, 1524.010); (3757.119, 1506.885); (3721.198, 1418.698); (3721.251, 1416.042); (3722.094, 1374.143); (3723.205, 1318.909); (3723.738, 1292.411); (3724.159, 1271.509); (3725.295, 1215.086); (3725.531, 1203.385); (3726.056, 1177.290); (3726.303, 1165.008); (3726.373, 1161.566); (3797.246, 1137.281); (3835.943, 1125.120); (3839.648, 1131.532); (3843.465, 1139.010); (3851.451, 1162.750); (3890.269, 1286.204); (3898.145, 1315.873); (3903.177, 1335.161)"
17,"(619.440, 2242.146); (622.333, 2246.698); (632.646, 2278.791); (636.016, 2290.305); (634.447, 2290.600); (584.203, 2294.794); (582.053, 2294.804); (579.537, 2294.709); (459.586, 2287.460); (458.151, 2287.367); (457.320, 2287.302); (488.870, 2274.840); (509.661, 2268.826); (550.384, 2257.661); (598.487, 2244.505); (612.492, 2242.287)"
18,"(2527.839, 1394.592); (2504.900, 1304.519); (2505.067, 1297.640); (2509.289, 1293.536); (2636.127, 1293.928); (2686.348, 1298.166); (2693.326, 1306.310); (2694.295, 1358.435); (2694.300, 1359.315); (2694.239, 1366.484); (2694.221, 1367.524); (2578.091, 1398.829)"
19,"(2440.625, 3233.793); (2450.610, 3206.544); (2463.830, 3204.877); (2473.448, 3204.445); (2500.587, 3208.205); (2530.118, 3219.168); (2537.107, 3229.833); (2543.860, 3242.212); (2542.863, 3244.625); (2537.506, 3254.974); (2493.944, 3251.483); (2484.111, 3249.429); (2455.067, 3239.095)"
20,"(2378.456, 1172.413); (2339.056, 1206.378); (2334.351, 1210.222); (2329.273, 1213.909); (2323.792, 1217.763); (2262.160, 1237.504); (2155.391, 1270.549); (2108.252, 1249.459); (2099.412, 1242.655); (2066.614, 1162.320); (2063.723, 1154.739); (2059.112, 1138.876); (2057.400, 1132.452); (2057.675, 1115.538); (2062.180, 1113.263); (2090.586, 1102.192); (2252.178, 1050.842); (2351.877, 1021.690); (2354.732, 1024.171); (2380.300, 1080.778); (2380.279, 1081.837); (2380.215, 1085.007); (2380.079, 1091.741); (2378.715, 1159.509); (2378.592, 1165.647)"
21,"(2512.769, 526.956); (2538.237, 621.829); (2536.821, 626.667); (2514.182, 629.470); (2491.444, 631.460); (2453.788, 630.103); (2443.521, 628.111); (2440.562, 626.119); (2461.299, 553.614); (2480.557, 525.837); (2493.592, 522.328)"
22,"(3772.242, 615.543); (3772.353, 649.468); (3772.342, 653.761); (3772.169, 694.699); (3757.924, 694.722); (3726.434, 692.372); (3674.528, 687.728); (3667.376, 681.972); (3656.729, 663.536); (3657.904, 635.373); (3661.913, 620.088); (3665.051, 613.824); (3671.885, 610.022); (3681.580, 606.253); (3689.256, 604.536); (3703.349, 606.032)"
23,"(955.933, 1312.082); (945.879, 1320.609); (933.252, 1325.788); (904.239, 1335.912); (772.865, 1376.534); (755.838, 1381.602); (682.344, 1398.746); (675.657, 1398.792); (671.246, 1394.332); (657.463, 1379.508); (654.902, 1375.344); (653.869, 1371.645); (649.124, 1352.354); (657.419, 1304.890); (664.314, 1300.145); (670.571, 1297.995); (686.207, 1292.981); (936.802, 1219.101); (952.315, 1218.475); (957.801, 1219.273); (957.706, 1223.993); (956.648, 1276.551); (956.526, 1282.627); (956.312, 1293.228)"
24,"(1288.760, 4087.089); (1298.165, 3619.795); (1304.513, 3304.391); (1417.237, 3235.436); (1764.461, 3122.281); (1887.522, 3089.357); (1899.114, 3087.518); (1923.374, 3088.125); (1969.994, 3092.014); (1976.531, 3094.821); (1979.251, 3098.499); (1989.485, 3131.236); (1992.200, 3155.909); (1993.781, 3180.342); (1996.361, 3226.189); (2001.016, 3312.831); (2014.850, 3795.071); (2009.564, 3845.915); (2006.486, 3861.051); (1996.839, 3864.958); (1926.919, 3889.321); (1618.116, 3990.511); (1348.983, 4071.859)"
25,"(266.795, 417.542); (345.739, 476.804); (345.043, 493.640); (338.165, 502.747); (280.478, 501.587); (266.275, 501.301); (265.109, 501.277); (265.156, 498.944); (266.701, 422.226)"
26,"(3826.291, 717.749); (3823.710, 727.417); (3796.072, 726.950); (3785.170, 723.683); (3784.895, 723.345); (3787.458, 717.435); (3787.489, 717.376); (3791.002, 711.601); (3791.581, 710.841); (3802.030, 698.570); (3814.376, 700.487); (3819.056, 702.172); (3824.393, 708.617)"
27,"(2905.537, 3862.167); (2905.121, 3852.471); (2905.318, 3852.490); (2906.736, 3861.021); (2906.809, 3862.852)"
28,"(3601.390, 3080.707); (3628.044, 3092.175); (3627.839, 3094.714); (3627.182, 3097.709); (3624.745, 3108.764); (3624.000, 3110.480); (3596.854, 3117.846); (3537.620, 3126.713); (3529.068, 3125.259); (3534.776, 3105.222); (3539.239, 3094.440); (3543.119, 3090.082); (3560.184, 3083.075); (3566.239, 3080.602)"
29,"(182.301, 1410.431); (219.276, 1414.070); (229.071, 1421.236); (231.435, 1429.577); (230.076, 1443.303); (224.934, 1460.455); (218.395, 1462.651); (206.345, 1462.795); (170.662, 1461.818); (146.181, 1460.703); (138.867, 1441.088); (136.920, 1435.682); (138.481, 1430.513); (162.203, 1415.090); (173.813, 1411.148)"
30,"(2377.401, 226.636); (2384.337, 223.537); (2384.077, 231.406); (2383.483, 231.204)"
31,"(1264.445, 3629.936); (1282.689, 3634.677); (1280.391, 3638.449); (1275.161, 3639.346); (1265.301, 3639.492); (1257.256, 3637.970); (1258.448, 3633.092)"
32,"(2632.562, 617.411); (2633.203, 531.249); (2647.623, 525.865); (2652.394, 525.304); (2682.650, 521.804); (2690.958, 524.946); (2738.254, 600.133); (2736.142, 628.185); (2735.258, 631.436); (2712.013, 631.448); (2644.813, 625.278); (2632.579, 621.413); (2632.563, 618.244)"
33,"(2799.765, 886.476); (2807.934, 902.842); (2845.920, 1021.085); (2865.138, 1082.271); (2866.706, 1092.916); (2866.369, 1096.803); (2842.924, 1233.069); (2842.388, 1235.415); (2838.613, 1238.330); (2806.579, 1250.174); (2758.918, 1267.275); (2747.776, 1269.566); (2743.558, 1270.194); (2735.274, 1271.140); (2729.883, 1265.896); (2638.591, 1174.288); (2613.142, 1118.936); (2609.628, 1109.687); (2580.611, 1019.075); (2568.531, 980.016); (2571.469, 958.997); (2575.134, 955.352); (2584.448, 951.067); (2624.096, 937.438); (2759.932, 894.187); (2788.400, 885.816); (2796.486, 885.464)"
34,"(308.798, 4072.726); (264.555, 4036.717); (264.557, 4035.693); (264.603, 4024.958); (264.652, 4018.297); (264.693, 4013.160); (264.843, 3996.528); (269.420, 3984.825); (308.196, 3984.210); (369.775, 3983.270); (379.137, 3983.806); (644.177, 4001.275); (708.183, 4022.365); (709.255, 4027.727); (709.737, 4036.933); (707.506, 4067.524); (503.830, 4086.634); (484.454, 4087.302); (425.878, 4084.876); (334.082, 4076.685); (311.885, 4073.416)"
35,"(539.507, 1763.215); (544.818, 1766.229); (546.487, 1769.737); (547.071, 1774.875); (544.432, 1778.879); (539.552, 1782.838); (538.097, 1780.268); (537.312, 1776.859); (537.433, 1772.142); (537.577, 1769.175); (539.123, 1763.866)"
36,"(3145.457, 637.475); (3145.661, 625.369); (3226.580, 614.788); (3252.366, 641.287); (3263.236, 656.169); (3264.480, 680.540); (3260.092, 685.291); (3246.080, 691.792); (3237.073, 695.442); (3161.938, 691.198); (3146.026, 686.421); (3145.522, 650.492)"
37,"(2473.913, 964.946); (2547.666, 1043.917); (2551.783, 1050.398); (2554.570, 1061.039); (2554.687, 1067.450); (2554.346, 1075.345); (2549.751, 1102.720); (2547.898, 1110.323); (2542.695, 1112.394); (2528.967, 1117.738); (2447.335, 1142.893); (2440.833, 1143.327); (2440.879, 1141.040); (2440.977, 1136.150); (2441.008, 1134.610); (2444.355, 968.319); (2444.361, 968.030); (2463.052, 965.408)"
38,"(986.216, 3878.707); (984.790, 3877.153); (985.769, 3876.362); (986.081, 3877.577)"
39,"(2888.860, 559.107); (2889.695, 512.096); (2902.054, 503.091); (2934.181, 480.270); (2942.861, 475.264); (2955.527, 474.199); (2960.780, 478.272); (2981.977, 514.371); (2979.248, 527.596); (2966.504, 550.228); (2941.938, 563.795); (2935.957, 564.548); (2910.563, 566.756); (2899.811, 566.596); (2890.687, 565.939)"
40,"(1787.127, 1607.011); (1784.652, 1606.317); (1786.120, 1602.698); (1787.547, 1603.108)"
41,"(2478.355, 1315.054); (2440.164, 1707.646); (2416.233, 1718.187); (2404.208, 1718.859); (2377.202, 1713.794); (2377.180, 1712.235); (2377.173, 1710.288); (2377.203, 1235.751); (2410.644, 1233.434); (2424.958, 1235.089); (2436.780, 1240.837); (2444.602, 1246.917); (2448.382, 1252.849); (2468.392, 1288.202)"
42,"(3725.541, 748.521); (3797.785, 748.465); (3804.222, 748.824); (3814.533, 750.855); (3866.525, 770.438); (3870.420, 799.702); (3867.264, 820.399); (3862.962, 822.544); (3736.328, 813.929); (3720.630, 810.448); (3720.669, 807.811); (3721.847, 755.121); (3721.919, 754.311); (3723.005, 751.654)"
43,"(491.977, 311.067); (488.953, 292.854); (495.199, 287.936); (513.830, 285.172); (517.315, 286.948); (515.289, 291.468)"
44,"(3176.711, 2844.378); (3191.047, 2839.740); (3195.644, 2841.478); (3205.699, 2845.988); (3203.257, 2852.134); (3202.013, 2854.693); (3199.710, 2855.350); (3194.330, 2853.636); (3182.230, 2848.937); (3180.687, 2848.134)"
45,"(1236.255, 1038.381); (1142.237, 1106.892); (1138.333, 1108.675); (1048.932, 1138.537); (1032.781, 1142.626); (1032.795, 1141.908); (1032.881, 1137.632); (1034.171, 1073.535); (1034.997, 1032.514); (1035.136, 1025.596); (1035.140, 1025.428); (1042.446, 1019.066); (1093.402, 1008.024); (1211.414, 984.342); (1216.968, 983.452); (1222.281, 984.529); (1224.744, 991.332); (1235.451, 1032.897)"
46,"(3192.469, 2905.557); (3190.749, 2963.260); (3185.941, 2965.689); (3184.501, 2966.186); (3183.061, 2966.542); (3145.364, 2962.574); (3145.374, 2942.855); (3145.931, 2898.294); (3155.037, 2890.314); (3168.698, 2878.992); (3174.463, 2877.425); (3179.018, 2878.845); (3184.278, 2883.649); (3190.313, 2897.174)"
47,"(1015.272, 2355.618); (1015.288, 2358.054); (1004.382, 2358.511); (929.005, 2356.010); (910.248, 2351.873); (906.341, 2350.811); (904.511, 2346.642); (913.019, 2269.377); (931.557, 2169.823); (951.604, 2144.590); (964.555, 2132.915); (973.719, 2133.540); (1014.319, 2234.679)"
48,"(10.022, 4086.622); (9.029, 4086.155); (9.279, 4085.755); (9.781, 4086.081)"
49,"(2441.049, 407.848); (2479.197, 376.736); (2500.665, 378.809); (2505.126, 384.631); (2510.969, 395.644); (2509.629, 399.828); (2507.695, 405.328); (2498.198, 423.801); (2488.001, 430.531); (2482.562, 432.848); (2477.141, 434.675); (2461.986, 439.240); (2447.862, 419.477); (2447.824, 419.424); (2444.480, 414.220)"
50,"(3544.585, 3056.692); (3465.425, 2594.950); (3480.784, 2553.938); (3481.889, 2551.298); (3574.142, 2545.048); (3576.992, 2545.083); (3579.098, 2556.783); (3582.276, 2862.201); (3576.595, 2976.078); (3571.924, 3032.824); (3567.964, 3048.625); (3558.805, 3063.061); (3552.153, 3060.997); (3547.674, 3059.437)"
51,"(3240.998, 3200.919); (3226.768, 3306.601); (3224.029, 3319.342); (3102.842, 3316.903); (2592.404, 3306.629); (2575.512, 3270.090); (2568.663, 3213.141); (2582.285, 3167.517); (2587.597, 3163.778); (2814.485, 3091.928); (3175.417, 2982.291); (3186.429, 2981.652); (3218.924, 3012.306); (3220.906, 3017.474); (3222.287, 3023.802); (3231.431, 3072.257)"
52,"(23.761, 438.530); (8.654, 413.493); (10.384, 404.646); (15.185, 382.882); (17.827, 377.322); (43.188, 390.549); (51.555, 396.427); (85.601, 424.093); (86.819, 427.201); (83.326, 428.137)"
53,"(3066.212, 931.294); (3066.996, 950.925); (3050.753, 944.470); (3048.952, 942.027); (3054.536, 932.012)"
54,"(3480.875, 3633.780); (3495.456, 3625.746); (3508.787, 3625.639); (3512.358, 3626.961); (3510.593, 3630.844); (3505.130, 3636.673); (3502.348, 3639.412); (3488.488, 3638.876)"
55,"(152.617, 1926.416); (155.173, 1919.976); (157.190, 1920.143); (162.608, 1924.104); (161.750, 1940.345); (155.710, 1942.823); (155.512, 1942.789); (154.307, 1936.563)"
56,"(2419.656, 646.285); (2445.080, 657.783); (2451.772, 674.080); (2463.734, 705.705); (2460.784, 710.748); (2372.084, 752.809); (2364.313, 753.864); (2313.467, 759.224); (2313.116, 759.197); (2313.130, 758.489); (2313.454, 742.390); (2314.317, 699.487); (2314.487, 691.071); (2379.392, 660.836); (2390.556, 656.145)"
57,"(2685.632, 651.286); (2680.679, 663.255); (2666.003, 657.304); (2664.524, 648.878); (2671.731, 643.908); (2683.435, 647.237)"
58,"(2365.456, 2771.903); (2360.762, 2751.767); (2365.513, 2747.141); (2368.488, 2747.352); (2375.761, 2748.385); (2375.686, 2749.269); (2374.669, 2759.287); (2372.807, 2775.379)"
59,"(2594.054, 1823.802); (2596.632, 1838.795); (2594.818, 1843.334); (2585.292, 1847.040); (2585.677, 1831.788)"
60,"(3224.907, 2390.051); (3225.142, 2377.663); (3228.866, 2378.287); (3229.683, 2381.462); (3231.131, 2390.856); (3231.135, 2390.890); (3231.108, 2390.899)"
61,"(3848.752, 1895.935); (3862.984, 1891.844); (3871.130, 1891.427); (3885.912, 1892.072); (3885.200, 1899.326); (3882.686, 1913.921); (3881.543, 1919.673); (3875.007, 1932.577); (3870.528, 1940.174); (3868.288, 1942.847); (3866.895, 1942.606); (3861.351, 1937.094); (3858.566, 1932.560); (3854.526, 1923.063); (3851.694, 1916.352); (3851.113, 1913.846)"
62,"(2568.846, 727.914); (2571.183, 719.457); (2597.587, 637.977); (2610.470, 642.515); (2703.879, 705.076); (2711.948, 720.584); (2708.715, 738.992); (2700.747, 742.659); (2637.642, 757.588); (2607.339, 758.643); (2604.457, 756.763); (2570.758, 730.448)"
63,"(1906.184, 1301.757); (1921.590, 1306.832); (1919.499, 1324.281); (1917.935, 1334.875); (1910.623, 1334.634); (1898.739, 1323.213); (1897.394, 1314.965); (1900.494, 1308.193)"
64,"(4051.003, 2882.932); (4041.461, 2870.043); (4046.451, 2861.487); (4077.554, 2815.171); (4084.026, 2823.504); (4085.762, 2826.645); (4087.505, 2841.050); (4077.796, 2902.265); (4073.696, 2902.948)"
65,"(3673.029, 1015.030); (3644.276, 999.169); (3600.381, 965.311); (3593.346, 955.435); (3596.998, 936.215); (3601.430, 932.979); (3616.906, 924.752); (3650.754, 928.435); (3668.809, 932.720); (3695.978, 958.977); (3706.657, 970.314); (3702.115, 993.176); (3700.325, 1000.021); (3679.414, 1012.089)"
66,"(1481.465, 1098.772); (1483.576, 1030.009); (1486.993, 1025.827); (1494.556, 1022.877); (1497.461, 1026.189); (1550.384, 1111.017); (1549.513, 1111.669); (1505.940, 1138.241); (1498.294, 1142.681); (1491.069, 1129.615); (1484.911, 1113.417)"
67,"(2409.309, 230.562); (2415.779, 224.877); (2413.642, 228.221); (2409.366, 230.650)"
68,"(729.443, 706.011); (739.052, 696.692); (746.106, 696.520); (746.078, 703.613); (743.530, 710.866); (736.086, 708.710)"
69,"(996.219, 4087.333); (974.697, 4085.176); (971.582, 4081.160); (969.109, 4076.742); (977.829, 4071.271); (980.769, 4070.193); (1012.788, 4072.768); (1016.370, 4078.078); (1015.851, 4083.435); (1010.586, 4087.061)"
70,"(1704.669, 524.528); (1678.540, 557.216); (1669.509, 567.112); (1662.403, 566.702); (1647.491, 560.569); (1631.662, 541.470); (1608.842, 508.751); (1609.353, 504.229); (1621.921, 501.406); (1689.150, 504.285); (1697.885, 508.163); (1700.208, 510.064); (1702.654, 513.379); (1703.286, 515.304); (1704.274, 520.805)"
71,"(1723.265, 2086.533); (1721.176, 2083.092); (1722.441, 2081.802); (1722.911, 2083.519)"
72,"(3351.800, 3125.868); (3356.843, 3141.931); (3354.819, 3155.587); (3351.323, 3159.153); (3342.008, 3139.602); (3337.161, 3128.681); (3338.878, 3126.840); (3345.658, 3124.459)"
73,"(1656.926, 1270.975); (1641.476, 1257.071); (1645.517, 1248.268); (1651.730, 1245.760); (1658.415, 1252.352); (1660.287, 1261.749)"
74,"(2925.315, 1554.626); (2920.915, 1543.978); (2920.923, 1537.405); (2945.293, 1537.599); (2951.249, 1538.787); (2958.510, 1541.651); (2961.330, 1551.177); (2953.156, 1554.301); (2945.348, 1557.073); (2933.549, 1558.810)"
75,"(3262.469, 3221.901); (3257.489, 3222.977); (3258.863, 3210.305); (3261.533, 3218.623)"
76,"(2403.846, 2540.289); (2404.759, 2563.823); (2394.940, 2566.783); (2393.249, 2549.102); (2400.810, 2542.147)"
77,"(2537.416, 3857.920); (2536.822, 3831.931); (2543.654, 3828.040); (2547.101, 3827.377); (2548.594, 3827.495); (2550.542, 3828.576); (2551.686, 3833.934); (2550.480, 3844.108); (2548.266, 3850.415); (2545.676, 3855.876); (2541.872, 3863.092)"
78,"(4048.297, 1943.012); (4044.024, 1940.230); (4042.897, 1932.711); (4040.803, 1903.020); (4042.831, 1897.599); (4045.273, 1892.196); (4049.964, 1892.271); (4069.554, 1895.607); (4076.440, 1899.046); (4080.160, 1905.199); (4077.644, 1909.910); (4064.782, 1927.039); (4054.080, 1940.261)"
79,"(3829.894, 631.174); (3817.390, 618.846); (3819.289, 614.136); (3821.887, 613.010); (3824.441, 612.395); (3833.429, 614.028); (3834.646, 617.653)"
80,"(1225.097, 715.380); (1228.344, 707.158); (1237.100, 701.805); (1260.101, 710.793); (1264.786, 717.338); (1256.374, 724.901); (1247.125, 727.173); (1241.231, 726.659)"
81,"(2320.781, 1654.039); (2312.544, 1654.642); (2312.683, 1647.742); (2313.527, 1605.826); (2328.505, 1607.706); (2338.728, 1613.209); (2349.700, 1621.819); (2359.005, 1636.777); (2360.928, 1648.104)"
82,"(3892.177, 2534.955); (3864.951, 2534.888); (3869.384, 2528.751); (3892.447, 2523.383)"
83,"(2697.532, 4087.376); (2697.465, 4086.489); (2697.478, 4086.270); (2697.749, 4086.260)"
84,"(1703.333, 823.235); (1678.778, 800.980); (1675.110, 796.017); (1673.385, 791.078); (1673.770, 785.866); (1677.110, 783.867); (1682.220, 780.838); (1710.965, 779.861); (1711.861, 782.114); (1713.327, 788.529); (1713.912, 792.292); (1710.398, 818.616)"
85,"(3124.819, 1781.519); (3113.494, 1749.658); (3115.211, 1747.766); (3152.979, 1735.825); (3158.822, 1737.294); (3181.927, 1782.668); (3175.389, 1782.537); (3131.124, 1781.646)"
86,"(2704.920, 768.866); (2704.031, 776.337); (2690.772, 783.568); (2670.051, 791.087); (2665.750, 788.537); (2665.105, 768.065); (2675.929, 768.283)"
87,"(3349.358, 678.562); (3371.618, 683.745); (3375.680, 687.289); (3410.447, 719.418); (3421.426, 735.118); (3429.678, 754.937); (3430.051, 780.546); (3425.091, 800.283); (3415.156, 812.321); (3385.582, 821.312); (3378.234, 823.118); (3369.229, 823.230); (3358.645, 822.300); (3347.520, 816.489); (3342.943, 804.808); (3337.481, 772.354); (3336.931, 717.426); (3341.136, 691.368); (3344.786, 683.709)"
88,"(3807.005, 357.699); (3801.238, 358.850); (3802.516, 352.917); (3804.630, 348.194); (3806.402, 354.499)"
89,"(43.123, 325.704); (32.969, 340.447); (28.130, 342.125); (13.837, 343.454); (12.661, 342.848); (10.408, 341.656); (8.930, 322.026); (18.345, 319.738); (31.852, 320.939)"
90,"(4072.021, 2074.405); (4087.089, 2101.843); (4086.090, 2110.553); (4084.049, 2123.556); (4069.201, 2135.415); (4064.607, 2134.091); (4043.399, 2108.310); (4040.732, 2087.120); (4044.711, 2073.909); (4054.637, 2073.636)"
91,"(217.866, 2550.751); (200.659, 2551.177); (200.682, 2551.094); (207.926, 2545.015); (215.526, 2548.136)"
92,"(780.584, 2413.953); (776.809, 2408.611); (781.183, 2401.993); (800.046, 2389.104); (804.196, 2387.414); (838.940, 2384.025); (839.519, 2384.455); (839.904, 2391.017); (839.561, 2391.677); (824.091, 2410.371); (818.883, 2416.185); (810.501, 2422.966); (794.326, 2423.064)"
93,"(389.636, 1891.404); (385.699, 1908.232); (377.223, 1908.840); (356.980, 1909.590); (294.085, 1910.680); (266.021, 1908.682); (265.205, 1906.478); (281.193, 1881.589); (314.113, 1869.551); (323.354, 1868.780); (336.152, 1870.422); (369.133, 1877.695)"
94,"(553.057, 1487.276); (563.120, 1477.565); (574.887, 1479.800); (575.357, 1491.165); (568.451, 1494.473); (559.078, 1495.044); (554.678, 1492.265)"
95,"(1617.085, 3103.922); (1607.784, 3124.363); (1604.711, 3127.101); (1449.201, 3109.464); (1434.333, 3107.736); (1402.490, 3098.203); (1354.643, 3060.931); (1352.548, 3059.163); (1352.790, 3051.768); (1381.457, 3048.959); (1527.302, 3064.652); (1535.281, 3066.355); (1543.205, 3068.746)"
96,"(1967.791, 470.560); (1961.427, 461.439); (1972.178, 465.176); (1973.984, 470.157)"
97,"(2482.807, 470.589); (2472.527, 464.846); (2474.381, 462.613); (2485.530, 463.532)"
98,"(1297.859, 1952.900); (1299.243, 1967.880); (1291.778, 1975.081); (1279.224, 1973.475); (1231.015, 1960.920); (1225.472, 1955.799); (1229.028, 1945.688); (1234.028, 1940.536); (1247.033, 1930.531); (1248.164, 1929.964); (1257.003, 1926.671); (1285.374, 1942.692)"
