NO,Polygon Points
11,"(8045.415, 3873.526); (8040.730, 3866.559); (8046.018, 3863.524); (8071.557, 3856.066); (8089.942, 3855.211); (8104.372, 3856.959); (8152.438, 3865.663); (8163.666, 3869.462); (8168.189, 3872.770); (8164.072, 3884.533); (8158.545, 3889.600); (8153.540, 3892.627); (8141.265, 3893.869); (8132.501, 3894.525); (8114.430, 3891.578)"
12,"(5331.707, 1670.406); (5328.908, 1678.911); (5323.881, 1686.563); (5315.507, 1685.134); (5307.149, 1683.272); (5301.633, 1680.094); (5289.719, 1667.183); (5288.979, 1655.802); (5292.031, 1650.416); (5309.391, 1653.282); (5320.336, 1657.920)"
13,"(3781.820, 1729.143); (4080.097, 1866.808); (4078.515, 2005.870); (4078.179, 2035.175); (4078.049, 2035.206); (4040.741, 2037.702); (3960.484, 2039.118); (3886.224, 2023.709); (3217.681, 1859.192); (3089.708, 1794.303); (3081.269, 1758.204); (3080.609, 1700.576); (3080.946, 1629.108); (3087.256, 1608.158); (3108.291, 1606.980); (3220.003, 1601.441); (3231.295, 1601.176); (3572.268, 1680.253)"
14,"(2376.393, 3857.603); (2428.481, 3854.374); (2441.773, 3866.020); (2444.535, 3873.443); (2375.603, 3891.483); (2365.678, 3893.134); (2331.808, 3894.974); (2328.831, 3893.831); (2313.499, 3883.146); (2323.334, 3875.809); (2345.393, 3866.597)"
15,"(3400.886, 3576.800); (3402.993, 3169.397); (3422.437, 3099.832); (3455.185, 3100.272); (3510.493, 3101.017); (3463.644, 3901.427); (3451.711, 4032.545); (3447.872, 4063.836); (3443.910, 4086.701); (3429.359, 4086.524); (3415.954, 4049.799)"
16,"(2376.616, 3218.251); (2380.144, 3203.739); (2388.242, 3199.226); (2400.324, 3194.033); (2422.358, 3193.844); (2452.590, 3204.024); (2460.672, 3207.790); (2466.913, 3211.610); (2471.453, 3218.042); (2458.717, 3220.760); (2424.229, 3223.358); (2414.017, 3222.903); (2389.094, 3220.253)"
17,"(3516.022, 1644.099); (3508.252, 1655.409); (3497.402, 1652.900); (3486.649, 1650.381); (3476.632, 1645.344); (3467.904, 1630.689); (3467.052, 1627.274); (3466.124, 1613.184); (3465.328, 1592.316); (3467.504, 1591.165); (3474.151, 1591.074); (3493.505, 1592.281); (3502.480, 1595.805); (3505.715, 1601.662)"
18,"(6600.576, 1439.019); (6601.705, 1416.324); (6607.791, 1409.075); (6622.405, 1399.168); (6643.774, 1424.007); (6647.591, 1429.064); (6649.256, 1433.403); (6649.908, 1437.277); (6648.271, 1441.315); (6632.322, 1462.677); (6600.645, 1458.202)"
19,"(1007.758, 2742.979); (1001.426, 2740.402); (1003.254, 2732.577); (1010.036, 2718.222); (1012.645, 2714.565); (1019.197, 2712.765); (1019.517, 2712.922); (1020.076, 2716.342); (1023.804, 2739.317); (1009.732, 2742.833)"
20,"(1801.307, 1903.432); (1803.589, 1893.565); (1805.298, 1888.026); (1822.906, 1890.658); (1834.938, 1896.164); (1833.898, 1905.364); (1829.901, 1908.111); (1823.760, 1910.723); (1819.738, 1911.307); (1807.996, 1907.827)"
21,"(7401.160, 1298.180); (7403.645, 1290.410); (7408.661, 1286.852); (7413.466, 1284.171); (7419.029, 1283.210); (7423.584, 1287.198); (7423.924, 1292.670); (7421.187, 1300.818); (7416.226, 1302.908); (7410.984, 1303.372); (7406.190, 1302.333)"
22,"(8174.454, 3057.418); (8149.365, 3176.616); (8142.848, 3178.525); (8055.585, 3191.472); (7970.487, 3166.438); (7969.608, 3163.786); (7968.337, 3159.082); (7955.875, 3110.131); (7954.505, 3104.489); (7951.070, 3089.829); (7950.703, 3088.227); (7944.832, 3061.971); (7952.132, 3055.120); (7963.796, 3046.235); (7969.776, 3044.927); (7977.993, 3044.414); (8083.045, 3038.257); (8132.003, 3036.211); (8140.261, 3039.605)"
23,"(4312.876, 3085.034); (4338.039, 3082.343); (4353.603, 3084.774); (4374.100, 3094.895); (4382.270, 3102.471); (4380.717, 3107.413); (4375.619, 3113.886); (4367.953, 3122.204); (4360.843, 3125.691); (4350.430, 3126.773); (4335.431, 3125.833); (4326.504, 3124.496); (4303.351, 3111.177); (4297.251, 3102.103); (4300.589, 3098.192)"
24,"(3058.718, 2678.521); (3053.692, 2675.171); (3050.521, 2662.709); (3048.702, 2647.153); (3056.005, 2646.624); (3065.855, 2649.438); (3070.723, 2653.446); (3072.119, 2659.971); (3070.379, 2667.255); (3065.612, 2674.167)"
25,"(8135.501, 3958.984); (8075.261, 3954.359); (8035.572, 3926.080); (8014.146, 3903.657); (8008.876, 3894.424); (8013.057, 3888.110); (8023.516, 3889.573); (8181.518, 3920.729); (8181.156, 3949.352); (8172.539, 3952.794); (8158.853, 3957.830)"
26,"(7529.297, 2118.407); (7559.057, 2105.831); (7563.243, 2113.498); (7567.066, 2126.304); (7552.347, 2134.922); (7534.758, 2129.445); (7530.709, 2123.354)"
27,"(8173.039, 1575.082); (8168.957, 1566.409); (8176.140, 1563.560); (8183.850, 1573.021)"
28,"(5573.610, 1494.932); (5552.370, 1484.383); (5550.084, 1479.722); (5547.178, 1473.588); (5545.365, 1465.688); (5548.959, 1462.880); (5565.878, 1456.969); (5574.609, 1457.810); (5585.571, 1469.176); (5588.123, 1472.903); (5581.669, 1487.576); (5576.752, 1493.065)"
29,"(3465.016, 4002.878); (3488.963, 3969.275); (3492.871, 3968.145); (3534.574, 3975.871); (3540.095, 3977.324); (3548.074, 3982.725); (3569.492, 3997.268); (3580.806, 4009.412); (3586.447, 4017.131); (3577.242, 4022.929); (3485.281, 4017.810); (3475.865, 4015.582)"
30,"(6222.113, 3222.926); (6217.152, 3220.975); (6218.051, 3208.485); (6227.067, 3206.899); (6237.633, 3206.107); (6232.207, 3214.715); (6229.039, 3218.479)"
31,"(3080.966, 1986.286); (3090.719, 1919.315); (3096.868, 1915.396); (3134.298, 1915.914); (3235.154, 1918.463); (3241.349, 1919.067); (3245.633, 1919.548); (3245.995, 1931.456); (3237.537, 1945.243); (3211.630, 1978.621); (3201.878, 1987.141); (3112.332, 2038.804); (3101.104, 2038.347); (3091.275, 2031.826); (3086.622, 2018.975)"
32,"(1512.999, 4085.757); (1516.222, 4076.243); (1524.101, 4064.980); (1527.851, 4060.544); (1531.780, 4059.939); (1561.329, 4057.367); (1575.079, 4057.583); (1585.971, 4058.977); (1598.946, 4061.183); (1612.631, 4064.875); (1619.647, 4070.119); (1607.295, 4074.471); (1586.876, 4081.269); (1577.241, 4082.749); (1520.395, 4087.176)"
33,"(6312.603, 1485.808); (6316.785, 1483.500); (6324.008, 1484.633); (6327.784, 1495.257); (6316.867, 1491.985)"
34,"(984.385, 2240.375); (1008.898, 2204.863); (1019.748, 2207.823); (1027.383, 2211.958); (1036.769, 2218.336); (1028.473, 2264.082); (1026.361, 2274.870); (1021.134, 2289.131); (1017.077, 2295.222); (1002.468, 2294.131); (992.538, 2292.285); (979.258, 2286.820); (968.559, 2281.954); (969.006, 2278.057)"
35,"(5128.536, 2051.751); (5130.578, 2041.930); (5154.188, 2043.821); (5160.713, 2044.924); (5166.001, 2053.729); (5170.120, 2063.928); (5162.942, 2070.858); (5153.500, 2065.870)"
36,"(7036.225, 2032.858); (7020.003, 2038.798); (7017.641, 2035.059); (7016.925, 2029.311); (7021.426, 2028.534)"
37,"(5141.390, 3683.061); (5128.556, 3597.934); (5130.192, 3582.509); (5132.706, 3575.988); (5135.076, 3573.881); (5140.855, 3573.272); (5202.726, 3570.000); (5210.074, 3570.629); (5215.399, 3587.043); (5216.292, 3601.763); (5214.637, 3617.694); (5199.884, 3672.463); (5195.866, 3679.566); (5161.466, 3702.919); (5156.944, 3703.336); (5150.755, 3696.803); (5142.691, 3687.409)"
38,"(4745.758, 1073.799); (4749.632, 1093.807); (4747.323, 1100.511); (4737.922, 1123.978); (4732.965, 1129.244); (4726.339, 1134.344); (4692.190, 1142.904); (4683.148, 1128.180); (4681.433, 1113.210); (4682.063, 1105.299); (4686.544, 1088.535); (4693.495, 1080.879); (4707.610, 1066.177); (4731.120, 1066.384)"
39,"(6617.322, 2976.188); (6638.833, 2975.302); (6638.228, 2981.354); (6631.869, 2982.585); (6626.736, 2981.774)"
40,"(7504.180, 2135.121); (7496.904, 2132.098); (7499.795, 2122.238); (7512.686, 2118.554); (7513.297, 2118.420); (7511.837, 2130.853); (7511.346, 2133.479)"
41,"(1650.765, 3606.517); (1640.580, 3599.203); (1651.473, 3591.923); (1661.399, 3592.543)"
42,"(2344.788, 3312.458); (2358.731, 3303.286); (2374.278, 3312.568); (2357.563, 3318.913)"
43,"(2549.620, 3561.414); (2556.564, 3585.424); (2558.331, 3597.998); (2560.424, 3618.432); (2552.138, 3636.960); (2545.959, 3638.781); (2535.718, 3628.930); (2508.460, 3595.583); (2505.249, 3588.997); (2504.639, 3583.306); (2508.284, 3578.686); (2515.787, 3571.524); (2520.250, 3567.495); (2535.996, 3562.873); (2543.871, 3561.875)"
44,"(7240.811, 1744.364); (7230.171, 1750.970); (7216.415, 1741.907); (7209.035, 1731.280); (7220.700, 1729.148); (7233.319, 1735.730)"
45,"(1550.776, 2335.322); (1543.393, 2342.865); (1534.314, 2341.407); (1528.692, 2336.274); (1531.120, 2331.650); (1535.314, 2330.800); (1542.995, 2329.759); (1548.267, 2331.064)"
46,"(1353.334, 1930.754); (1362.191, 1921.092); (1377.145, 1932.413); (1381.954, 1942.351); (1369.264, 1943.272); (1359.513, 1941.041)"
47,"(7118.192, 1771.596); (7113.124, 1757.409); (7119.865, 1746.344); (7125.619, 1740.210); (7145.641, 1721.452); (7156.277, 1723.788); (7165.866, 1746.614); (7158.599, 1764.278); (7154.873, 1769.624); (7138.838, 1783.282)"
48,"(5930.346, 1659.217); (5935.759, 1675.103); (5931.416, 1681.329); (5920.426, 1686.566); (5909.310, 1687.246); (5901.180, 1684.183); (5898.924, 1679.995); (5897.178, 1668.329); (5901.287, 1660.644); (5904.312, 1658.389); (5911.244, 1658.460)"
49,"(4088.921, 3174.980); (4073.232, 3166.380); (4083.813, 3166.459); (4092.783, 3168.635)"
50,"(3111.468, 1539.148); (3136.878, 1550.108); (3145.937, 1558.985); (3152.309, 1567.188); (3153.835, 1570.571); (3148.570, 1577.927); (3094.825, 1591.052); (3087.546, 1588.439); (3080.764, 1571.537); (3084.623, 1559.222); (3089.218, 1551.125); (3098.544, 1545.349)"
51,"(1520.601, 2295.325); (1513.355, 2291.589); (1518.244, 2284.859); (1529.372, 2281.655); (1527.829, 2289.576)"
52,"(3529.146, 3110.536); (3533.921, 3107.066); (3553.044, 3097.162); (3561.416, 3105.081); (3568.946, 3115.198); (3590.593, 3176.926); (3590.692, 3184.227); (3578.227, 3190.739); (3564.948, 3189.973); (3553.252, 3189.092); (3545.700, 3187.612); (3539.334, 3174.993)"
53,"(1585.682, 1363.963); (1577.014, 1342.786); (1599.043, 1332.599); (1607.818, 1332.405); (1617.066, 1348.254); (1617.550, 1352.633); (1606.909, 1363.446); (1603.885, 1365.693); (1595.529, 1367.423)"
54,"(1993.716, 1238.991); (1996.257, 1251.015); (1995.686, 1257.268); (1984.047, 1270.443); (1979.913, 1271.209); (1968.615, 1264.396); (1961.374, 1243.291); (1975.011, 1240.784)"
55,"(6864.357, 2388.772); (6856.907, 2382.691); (6863.668, 2378.099); (6869.541, 2374.432); (6879.799, 2371.581); (6888.255, 2372.042); (6877.004, 2387.384); (6869.981, 2390.721)"
56,"(7341.600, 1279.171); (7359.943, 1279.260); (7367.490, 1287.262); (7369.854, 1294.637); (7367.126, 1299.775); (7347.915, 1303.132); (7340.412, 1300.428); (7337.360, 1296.193); (7338.787, 1287.232)"
57,"(5848.782, 3171.247); (5861.002, 3167.377); (5870.267, 3171.973); (5862.073, 3175.363)"
58,"(1909.996, 1207.501); (1921.041, 1224.500); (1917.147, 1233.225); (1913.594, 1238.395); (1905.242, 1238.795); (1896.932, 1229.777); (1898.838, 1213.005)"
59,"(5728.321, 2327.466); (5721.350, 2316.598); (5730.951, 2316.182); (5742.190, 2316.774); (5733.821, 2326.184)"
60,"(6437.452, 2235.216); (6445.885, 2238.728); (6441.835, 2246.676); (6424.780, 2246.583); (6429.133, 2235.249)"
61,"(562.014, 1030.552); (553.063, 1026.819); (558.189, 1024.022); (563.601, 1024.426)"
62,"(5737.177, 1070.410); (5739.384, 1060.146); (5743.796, 1056.796); (5747.704, 1057.716); (5758.924, 1063.449); (5758.449, 1071.069); (5755.990, 1074.713); (5740.109, 1078.893)"
63,"(1026.370, 1127.456); (1016.901, 1122.405); (1019.936, 1115.817); (1029.393, 1115.305)"
64,"(4097.837, 1146.396); (4099.683, 1154.105); (4096.921, 1158.244); (4088.805, 1159.257); (4089.082, 1152.686)"
65,"(7648.112, 982.899); (7641.017, 979.315); (7642.077, 977.198); (7648.542, 975.446)"
66,"(1768.911, 3651.597); (1860.820, 3642.833); (1897.919, 3643.029); (1917.026, 3644.110); (1922.458, 3651.859); (1915.752, 3660.417); (1906.923, 3664.777); (1882.784, 3668.739); (1807.496, 3670.893); (1789.606, 3668.034)"
67,"(3978.743, 4078.404); (3977.020, 4068.523); (3992.094, 4060.383); (4001.597, 4055.473); (4017.252, 4052.812); (4047.117, 4052.940); (4057.882, 4053.316); (4085.388, 4060.602); (4090.468, 4072.242); (4077.119, 4076.940); (4033.051, 4087.160); (3981.238, 4087.163); (3979.988, 4083.362); (3979.254, 4080.621)"
68,"(3476.551, 1558.532); (3464.564, 1547.970); (3475.487, 1540.256); (3493.239, 1544.112); (3482.718, 1555.658)"
69,"(8103.598, 2401.206); (8124.945, 2405.124); (8118.740, 2414.677); (8106.213, 2419.502); (8088.299, 2423.404); (8080.378, 2419.917); (8072.891, 2411.584); (8088.709, 2403.851)"
70,"(3795.859, 2054.630); (3785.393, 2046.227); (3795.672, 2043.309); (3803.668, 2049.106)"
71,"(3432.646, 2705.001); (3433.124, 2695.989); (3439.010, 2687.710); (3441.802, 2690.223); (3449.909, 2710.336); (3444.769, 2711.334); (3440.067, 2709.990)"
72,"(6735.497, 3511.080); (6729.497, 3485.645); (6735.882, 3482.655); (6831.161, 3461.595); (6839.020, 3466.588); (6846.516, 3476.503); (6831.207, 3487.513); (6812.129, 3498.898)"
73,"(6034.366, 1686.744); (6025.205, 1681.437); (6028.378, 1677.084); (6035.101, 1675.182); (6041.980, 1677.682); (6036.566, 1685.159)"
74,"(3512.707, 3555.786); (3518.572, 3553.191); (3533.689, 3553.225); (3537.048, 3558.464); (3517.453, 3559.199)"
75,"(6011.642, 3095.250); (6008.866, 3086.426); (6014.975, 3085.670); (6027.056, 3085.061); (6035.331, 3084.793); (6033.049, 3091.948); (6026.422, 3093.328)"
76,"(6281.031, 2677.056); (6286.797, 2661.856); (6292.413, 2666.678); (6289.397, 2673.873); (6285.118, 2678.573)"
77,"(8020.668, 4087.111); (7986.397, 4086.009); (7982.906, 4083.032); (7977.363, 4075.316); (7978.974, 4071.451); (8021.979, 4062.011); (8051.727, 4059.319); (8116.898, 4053.553); (8142.182, 4053.553); (8171.881, 4055.202); (8172.198, 4063.367); (8164.198, 4067.753); (8151.638, 4073.157); (8084.265, 4080.473)"
78,"(2488.151, 3894.844); (2472.751, 3883.443); (2477.076, 3880.790); (2495.298, 3877.692); (2506.787, 3877.876); (2511.528, 3880.594); (2503.962, 3889.635)"
79,"(1035.144, 2550.768); (1033.245, 2476.284); (1099.188, 2455.861); (1384.240, 2383.863); (1780.745, 2306.327); (1943.809, 2277.930); (1996.970, 2268.974); (2022.870, 2266.680); (2031.810, 2280.688); (2028.647, 2293.548); (2023.631, 2308.911); (2011.431, 2320.497); (1984.356, 2343.196); (1962.495, 2351.144); (1902.044, 2368.854); (1675.591, 2422.166); (1101.628, 2548.753)"
80,"(3455.650, 2063.210); (3447.484, 2070.931); (3442.916, 2069.672); (3433.802, 2065.968); (3433.337, 2059.890); (3437.599, 2055.934); (3443.726, 2054.423); (3453.441, 2055.882)"
81,"(3473.959, 3591.390); (3465.306, 3582.223); (3486.534, 3573.393); (3541.373, 3578.110); (3545.660, 3580.472); (3549.670, 3584.290); (3553.688, 3590.062); (3551.125, 3598.787); (3534.010, 3604.313); (3525.591, 3606.089); (3520.357, 3606.927); (3501.696, 3603.212); (3494.484, 3600.267)"
82,"(3424.828, 2039.270); (3413.603, 2029.268); (3405.177, 2013.196); (3400.674, 1998.142); (3407.452, 1977.260); (3439.473, 1957.335); (3444.788, 1955.010); (3482.188, 1945.336); (3487.035, 1946.871); (3511.596, 1975.980); (3513.739, 1982.261); (3513.705, 1993.438); (3512.310, 2011.326); (3483.367, 2025.034); (3465.344, 2029.623)"
83,"(6432.048, 2274.107); (6547.047, 2266.117); (6775.195, 2291.956); (6778.591, 2295.696); (6794.594, 2326.545); (6791.513, 2346.542); (6784.585, 2354.305); (6746.521, 2377.854); (6663.165, 2399.571); (6544.337, 2423.169); (6540.523, 2422.678); (6511.911, 2412.843); (6459.718, 2383.053); (6453.631, 2376.120); (6409.282, 2298.240); (6420.537, 2281.867); (6428.715, 2275.230)"
84,"(7161.832, 2959.589); (7177.815, 2978.385); (7172.522, 2988.501); (7168.649, 2992.459); (7159.331, 2998.928); (7151.829, 2985.677); (7144.645, 2964.447); (7144.995, 2957.018); (7151.624, 2956.905)"
85,"(5790.670, 2166.005); (5769.409, 2143.639); (5779.750, 2112.143); (5790.399, 2093.805); (5806.206, 2077.123); (5814.557, 2069.958); (5818.159, 2071.759); (5820.739, 2073.403); (5827.022, 2082.849); (5839.871, 2106.149); (5839.111, 2113.193); (5837.401, 2123.203); (5827.072, 2140.248); (5810.373, 2159.219); (5803.995, 2163.079); (5797.650, 2165.909); (5792.648, 2167.008)"
86,"(1609.608, 3648.980); (1301.745, 3702.764); (1287.303, 3695.540); (1239.625, 3668.936); (1229.093, 3661.462); (1225.291, 3652.586); (1246.165, 3637.896); (1259.578, 3632.999); (1336.549, 3622.929); (1558.729, 3594.615); (1572.741, 3595.589); (1591.338, 3598.413); (1603.136, 3602.550); (1624.892, 3617.263); (1630.969, 3624.768); (1623.145, 3635.079); (1614.002, 3644.586)"
87,"(1737.300, 2098.366); (1743.763, 2085.141); (1778.144, 2055.806); (1790.235, 2052.838); (1796.092, 2069.490); (1796.668, 2076.036); (1795.110, 2091.409); (1767.083, 2103.152); (1758.600, 2103.261); (1749.501, 2102.429)"
88,"(1736.674, 3787.687); (1742.050, 3784.997); (1868.610, 3775.403); (1887.016, 3774.602); (1892.510, 3776.341); (1933.790, 3791.249); (1938.212, 3794.295); (1940.624, 3802.162); (1932.989, 3813.697); (1920.222, 3820.503); (1898.509, 3829.680); (1885.888, 3831.106); (1874.701, 3831.175); (1869.845, 3831.163); (1861.454, 3829.511); (1763.409, 3803.931); (1741.210, 3795.834)"
89,"(5977.962, 2358.942); (5965.183, 2349.540); (5962.329, 2337.001); (5960.862, 2328.791); (5965.126, 2313.100); (5974.222, 2294.916); (5985.373, 2290.845); (5999.997, 2286.448); (6014.953, 2288.156); (6017.165, 2296.268); (6018.975, 2310.080); (6014.725, 2317.219); (5983.743, 2357.376)"
90,"(7689.388, 2081.017); (7690.682, 2071.128); (7701.531, 2049.733); (7717.811, 2053.967); (7728.697, 2059.416); (7744.478, 2074.271); (7754.732, 2083.934); (7762.428, 2095.228); (7756.228, 2098.143); (7752.016, 2099.807); (7731.109, 2102.922); (7702.777, 2097.167); (7695.349, 2090.948); (7691.608, 2086.592)"
91,"(8105.215, 3015.127); (8089.314, 3011.589); (8092.953, 3005.354); (8101.304, 3000.790); (8107.709, 3002.515); (8114.420, 3011.917)"
92,"(3312.259, 2614.803); (3262.755, 2612.463); (3212.286, 2598.933); (3209.295, 2594.875); (3208.514, 2587.141); (3225.016, 2563.961); (3230.118, 2559.227); (3252.111, 2542.275); (3255.903, 2539.938); (3268.988, 2532.642); (3280.423, 2528.664); (3342.631, 2537.554); (3350.668, 2549.083); (3350.188, 2552.576); (3342.090, 2610.793); (3320.992, 2614.179)"
93,"(6537.065, 1071.531); (6561.214, 1003.951); (6564.529, 1000.884); (6572.157, 1002.408); (6646.589, 1022.511); (6656.229, 1043.519); (6658.997, 1111.413); (6653.224, 1128.448); (6647.267, 1142.607); (6638.706, 1141.583); (6554.525, 1090.932); (6548.716, 1085.738)"
94,"(7281.248, 2127.221); (7273.309, 2109.099); (7290.874, 2108.136); (7301.157, 2113.185); (7313.508, 2121.637); (7308.578, 2129.061); (7301.172, 2134.900)"
95,"(6713.398, 3267.430); (6717.304, 3259.434); (6733.312, 3259.886); (6739.128, 3269.867); (6727.171, 3270.575); (6720.910, 3269.536)"
96,"(7678.895, 1447.890); (7686.068, 1452.972); (7684.602, 1459.296); (7673.388, 1463.191); (7675.144, 1451.608)"
97,"(4237.450, 3109.056); (4233.335, 3073.536); (4236.667, 3068.984); (4259.298, 3078.452); (4265.979, 3088.779); (4278.490, 3113.431); (4275.408, 3119.032); (4267.708, 3124.802); (4261.627, 3126.526)"
98,"(5696.717, 1462.558); (5708.262, 1485.729); (5705.098, 1491.434); (5697.010, 1494.876); (5683.689, 1492.619); (5676.697, 1483.724); (5672.672, 1478.085); (5684.677, 1468.189); (5693.470, 1464.003)"
99,"(2568.534, 3816.123); (2574.808, 3822.645); (2571.803, 3831.419); (2569.784, 3823.434)"
100,"(6443.049, 2166.761); (6440.740, 2153.705); (6450.748, 2150.555); (6457.731, 2150.978); (6463.306, 2151.612); (6462.810, 2161.331)"
101,"(7128.623, 2306.706); (7132.184, 2298.982); (7135.649, 2306.196); (7136.679, 2310.924); (7131.188, 2310.380)"
102,"(7240.882, 1063.867); (7249.636, 1055.333); (7261.770, 1057.769); (7264.506, 1064.352); (7263.270, 1073.379); (7259.118, 1079.080); (7251.503, 1078.610); (7246.895, 1076.449)"
103,"(4082.390, 1847.218); (4072.933, 1837.894); (4073.966, 1827.222); (4082.445, 1826.394); (4087.514, 1832.891); (4090.549, 1838.515); (4087.375, 1845.902)"
104,"(4695.357, 2057.991); (4701.759, 2071.271); (4692.865, 2068.416); (4680.632, 2063.178); (4683.675, 2058.017); (4688.624, 2055.244)"
105,"(5816.523, 1039.129); (5823.184, 1036.255); (5827.470, 1047.077); (5820.028, 1047.103)"
106,"(5545.193, 1100.427); (5555.704, 1083.857); (5568.882, 1095.992); (5565.759, 1100.433); (5561.584, 1104.921); (5555.862, 1110.839); (5551.590, 1106.973)"
107,"(714.670, 3078.179); (697.122, 3078.618); (713.117, 3073.109)"
108,"(3263.109, 1974.820); (3256.743, 1966.454); (3260.540, 1962.201); (3269.670, 1960.944); (3276.367, 1968.812)"
109,"(3277.649, 1222.547); (3272.709, 1212.592); (3279.597, 1214.935); (3286.889, 1223.408)"
110,"(8152.840, 1842.710); (8161.841, 1832.226); (8171.989, 1838.079); (8165.594, 1846.799)"
