NO,Polygon Points
11,"(8006.440, 4215.466); (7998.420, 4211.131); (7995.435, 4208.746); (7992.945, 4206.426); (7994.064, 4202.109); (8000.300, 4199.753); (8003.891, 4199.423); (8007.803, 4202.103); (8007.652, 4209.228)"
12,"(2611.611, 5142.712); (2601.133, 5137.079); (2611.744, 5127.114); (2623.130, 5124.665)"
13,"(1275.923, 7304.749); (1284.231, 7300.407); (1283.060, 7307.005); (1276.843, 7313.050)"
14,"(7567.198, 8167.514); (7564.018, 8178.686); (7562.541, 8183.162); (7541.581, 8181.417); (7535.531, 8180.846); (7532.570, 8176.882); (7529.339, 8171.302); (7529.186, 8166.379); (7532.035, 8164.217); (7540.421, 8159.407); (7565.937, 8164.218)"
15,"(6281.357, 3542.217); (6282.526, 3532.333); (6290.001, 3537.867); (6287.568, 3543.370)"
16,"(5800.729, 8110.753); (5803.651, 8099.638); (5814.827, 8099.020); (5833.812, 8100.276); (5839.021, 8108.294); (5832.426, 8116.968); (5820.137, 8119.099); (5813.095, 8117.450)"
17,"(6952.676, 6439.458); (6975.892, 6447.010); (6963.661, 6454.924); (6955.416, 6446.235)"
18,"(1624.813, 3044.441); (1627.605, 3043.117); (1633.694, 3047.003); (1626.484, 3046.636)"
19,"(4032.760, 4119.303); (4025.377, 4110.079); (4033.145, 4108.537); (4039.366, 4109.286); (4038.095, 4116.195); (4035.660, 4118.178)"
20,"(3067.598, 3910.689); (3064.504, 3899.333); (3069.017, 3898.787); (3071.035, 3905.606); (3070.824, 3908.967)"
21,"(8152.871, 4210.311); (8158.765, 4204.485); (8169.278, 4209.243); (8166.484, 4214.816); (8157.477, 4213.555)"
22,"(3744.197, 4358.526); (3737.237, 4354.149); (3743.593, 4351.699); (3754.853, 4352.369)"
23,"(146.070, 3863.482); (137.409, 3863.049); (140.441, 3857.176); (145.198, 3856.282); (148.550, 3857.428)"
24,"(3325.900, 5099.466); (3319.381, 5110.418); (3311.852, 5111.315); (3305.308, 5109.370); (3308.230, 5099.354); (3319.314, 5089.669); (3321.770, 5089.111); (3325.465, 5094.419)"
25,"(2275.990, 7723.167); (2268.683, 7713.891); (2276.266, 7712.168); (2283.578, 7712.833)"
26,"(325.315, 7351.251); (296.971, 7321.040); (301.371, 7319.807); (324.156, 7316.168); (329.842, 7318.477); (329.526, 7323.447)"
27,"(4675.835, 7186.243); (4664.071, 7190.654); (4652.303, 7179.303); (4649.224, 7174.476); (4654.477, 7171.375); (4665.172, 7169.949); (4681.576, 7168.223); (4680.615, 7173.843)"
28,"(2124.697, 5342.634); (2129.475, 5341.515); (2134.635, 5343.526); (2137.565, 5347.028); (2138.011, 5354.666); (2135.033, 5362.519); (2130.411, 5367.195); (2123.609, 5364.899); (2120.976, 5355.435); (2121.559, 5350.415)"
29,"(7839.037, 4198.530); (7848.206, 4210.330); (7847.254, 4213.212); (7845.427, 4215.007); (7839.425, 4214.294); (7833.058, 4212.547); (7835.645, 4203.746)"
30,"(2057.241, 1964.336); (2161.084, 1289.837); (2717.983, 1043.240); (2742.121, 1040.304); (3033.923, 1040.041); (3052.718, 1041.126); (3056.249, 1063.581); (3056.483, 1676.487); (3055.313, 1939.795); (3049.576, 2029.042); (3033.786, 2037.143); (2950.494, 2037.917); (2712.582, 2039.453); (2210.269, 2039.160); (2076.936, 2038.432); (2067.885, 2034.719); (2060.853, 2017.129); (2059.939, 2004.693)"
31,"(7783.696, 6634.981); (7782.599, 6646.889); (7776.253, 6645.589); (7763.063, 6642.162); (7752.614, 6632.572); (7769.505, 6623.019); (7771.667, 6622.021); (7779.944, 6621.779); (7782.163, 6623.865)"
32,"(3651.755, 7322.851); (3660.163, 7340.724); (3651.586, 7348.229); (3647.165, 7350.501); (3633.437, 7350.383); (3629.280, 7349.802); (3624.509, 7330.901); (3624.994, 7325.148); (3629.092, 7323.404)"
33,"(6765.224, 6390.740); (6761.460, 6385.563); (6769.175, 6372.451); (6775.862, 6362.334); (6782.551, 6373.737); (6787.336, 6384.932); (6783.601, 6388.976); (6776.723, 6390.203)"
34,"(2793.145, 6376.377); (2802.370, 6362.311); (2814.785, 6368.315); (2820.538, 6375.860); (2818.890, 6382.541); (2806.307, 6391.066); (2801.181, 6388.166)"
35,"(6959.849, 8065.173); (6990.778, 8082.367); (6969.667, 8086.183); (6962.144, 8086.887); (6957.639, 8086.753); (6955.352, 8082.698); (6953.492, 8071.010); (6956.805, 8066.906)"
36,"(5465.488, 6076.840); (5467.817, 6091.332); (5462.421, 6097.601); (5456.728, 6102.641); (5453.623, 6098.281); (5449.204, 6083.074); (5453.962, 6078.396)"
37,"(2476.351, 6614.212); (2473.119, 6586.221); (2475.700, 6584.238); (2499.235, 6590.662); (2501.188, 6592.766); (2499.206, 6601.151); (2494.444, 6612.637); (2489.915, 6614.705)"
38,"(6440.661, 4213.874); (6447.186, 4199.223); (6453.443, 4211.979); (6445.630, 4215.037)"
39,"(4819.095, 7041.743); (4814.040, 7046.354); (4803.909, 7046.589); (4798.104, 7046.176); (4793.093, 7043.360); (4798.121, 7039.547); (4813.208, 7035.488); (4818.408, 7038.442)"
40,"(5695.189, 5159.926); (5678.389, 5175.480); (5675.786, 5170.881); (5673.071, 5165.836); (5674.731, 5159.544); (5679.905, 5156.333); (5687.335, 5154.211); (5692.716, 5156.351)"
41,"(14.926, 5239.336); (9.395, 5229.245); (13.956, 5225.187); (18.486, 5223.411); (30.097, 5228.613); (33.331, 5237.839)"
42,"(1894.488, 6374.133); (1891.974, 6389.438); (1876.491, 6391.193); (1873.858, 6390.091); (1865.786, 6380.118); (1864.598, 6377.299); (1871.811, 6374.176); (1879.014, 6372.992)"
43,"(2312.838, 5362.214); (2324.484, 5342.019); (2331.651, 5351.004); (2333.179, 5356.017); (2327.739, 5363.635); (2322.198, 5366.387); (2318.473, 5366.790); (2313.468, 5364.391)"
44,"(1105.424, 7126.230); (1108.051, 7125.691); (1112.020, 7127.860); (1122.342, 7137.117); (1123.535, 7142.072); (1120.602, 7149.089); (1116.447, 7155.570); (1111.790, 7158.321); (1101.049, 7159.185); (1096.500, 7153.104); (1097.395, 7149.045); (1098.833, 7142.994); (1101.199, 7136.274)"
45,"(7848.715, 3077.740); (7850.702, 3074.279); (7855.314, 3075.847); (7858.171, 3079.356); (7852.893, 3078.974)"
46,"(7777.986, 3973.900); (7773.850, 3975.226); (7772.318, 3971.542); (7768.591, 3961.703); (7773.716, 3963.781); (7776.601, 3969.208)"
47,"(6374.542, 7341.000); (6362.578, 7351.165); (6351.475, 7337.773); (6345.390, 7328.270); (6345.724, 7323.974); (6349.242, 7316.373); (6356.469, 7319.592); (6364.386, 7328.114)"
48,"(552.930, 4337.349); (565.067, 4340.874); (563.611, 4342.952); (558.560, 4341.430)"
49,"(1800.945, 4327.382); (1807.889, 4323.631); (1813.436, 4323.857); (1810.188, 4325.807)"
50,"(719.462, 4055.453); (713.352, 4052.427); (714.652, 4050.103); (725.546, 4051.936); (724.271, 4054.741); (721.616, 4055.426)"
51,"(629.342, 4141.104); (632.355, 4149.845); (628.770, 4151.167); (619.855, 4151.440); (617.148, 4149.650); (623.498, 4142.815)"
52,"(1193.838, 8015.467); (1192.536, 7988.315); (1195.338, 7986.154); (1205.157, 7984.614); (1209.419, 7984.973); (1214.516, 8007.183); (1214.854, 8013.994); (1209.717, 8017.547); (1202.889, 8021.824); (1199.308, 8023.444)"
53,"(264.562, 3876.743); (269.312, 3874.255); (277.172, 3879.287); (266.012, 3878.773)"
54,"(3833.279, 4116.489); (3833.886, 4109.273); (3846.870, 4112.617); (3845.582, 4116.775); (3835.260, 4118.741)"
55,"(2483.442, 6646.883); (2473.036, 6634.130); (2479.359, 6634.889); (2485.981, 6640.341)"
56,"(7146.404, 7726.553); (7145.249, 7714.864); (7146.277, 7704.283); (7147.587, 7701.413); (7152.786, 7698.092); (7159.372, 7701.158); (7166.100, 7709.421); (7165.695, 7724.633); (7165.262, 7728.974); (7150.412, 7734.595)"
57,"(1530.608, 2183.025); (1528.551, 2179.127); (1536.164, 2180.130); (1537.426, 2182.234)"
58,"(8008.647, 5266.043); (8013.017, 5246.570); (8028.427, 5264.637); (8024.322, 5269.895); (8017.397, 5271.233); (8012.346, 5268.653)"
59,"(3690.098, 4115.037); (3689.015, 4113.173); (3691.058, 4110.112); (3692.576, 4108.901); (3698.028, 4113.090); (3702.554, 4119.306)"
60,"(1944.778, 3061.579); (1950.860, 3053.635); (1952.146, 3056.769); (1953.993, 3062.780); (1945.902, 3063.369)"
61,"(5129.464, 3534.806); (5138.266, 3532.101); (5129.468, 3542.969)"
62,"(3069.289, 3878.691); (3065.016, 3874.416); (3067.884, 3869.033); (3069.528, 3867.390); (3071.094, 3871.807); (3070.780, 3874.563)"
63,"(7752.669, 3076.539); (7758.348, 3073.620); (7761.621, 3076.259); (7757.758, 3078.528)"
64,"(4107.217, 203.555); (5069.331, 16.336); (5086.109, 26.231); (5104.390, 46.547); (5104.464, 533.398); (5104.479, 839.568); (5103.103, 937.155); (5101.296, 995.969); (5093.871, 1004.644); (5084.294, 1011.998); (5072.532, 1014.854); (4871.927, 1015.303); (4557.814, 1015.250); (4476.817, 1014.743); (4466.409, 1012.343); (4450.097, 1004.600); (4119.349, 438.999); (4108.080, 417.908); (4104.506, 372.583); (4104.876, 301.679)"
65,"(5128.754, 668.001); (5129.848, 650.733); (5346.707, 32.744); (5352.514, 19.778); (5402.674, 18.390); (5484.854, 16.175); (5778.609, 16.170); (5980.692, 17.165); (6067.210, 17.763); (6121.139, 24.084); (6127.587, 60.449); (6128.346, 126.856); (6128.453, 596.285); (6127.423, 822.464); (6125.151, 964.723); (6121.711, 1008.158); (6106.839, 1014.072); (6095.810, 1015.245); (5796.035, 1015.443); (5186.249, 1015.127); (5153.718, 1011.317); (5139.874, 1004.405); (5131.428, 991.529); (5129.582, 986.605); (5128.866, 859.730)"
66,"(2991.615, 4041.910); (2993.997, 4054.319); (2991.542, 4054.904); (2988.141, 4055.323); (2984.885, 4051.524); (2987.110, 4046.235)"
67,"(3928.203, 5527.014); (3912.510, 5515.710); (3921.640, 5507.536); (3926.939, 5503.361); (3938.821, 5507.012); (3931.486, 5526.836)"
68,"(2952.851, 6245.184); (2968.932, 6235.766); (2980.594, 6245.558); (2980.282, 6251.186); (2979.913, 6256.323); (2965.265, 6262.650); (2961.945, 6259.987)"
69,"(1225.027, 6218.546); (1235.264, 6205.638); (1251.097, 6216.713); (1252.650, 6218.707); (1252.016, 6224.480); (1239.879, 6230.273); (1234.119, 6231.372); (1226.247, 6227.009)"
70,"(3314.189, 7177.261); (3316.511, 7185.292); (3311.868, 7189.842); (3307.953, 7190.962); (3299.990, 7191.250); (3295.224, 7189.520); (3292.330, 7186.234); (3288.715, 7180.664); (3292.731, 7176.359)"
71,"(1474.034, 5362.557); (1468.070, 5367.183); (1458.248, 5363.977); (1448.887, 5359.216); (1450.745, 5353.298); (1454.746, 5346.418); (1457.556, 5342.928); (1462.277, 5342.339); (1466.210, 5344.326)"
72,"(2089.117, 5125.859); (2111.063, 5125.627); (2106.841, 5131.997); (2099.725, 5141.105); (2095.849, 5143.305); (2091.137, 5137.482)"
73,"(1049.429, 4192.616); (1045.921, 4199.447); (1041.194, 4199.206); (1032.563, 4189.557); (1034.347, 4186.686); (1042.384, 4186.014); (1045.946, 4187.208)"
74,"(2115.077, 6577.766); (2112.727, 6583.050); (2106.581, 6581.866); (2091.148, 6565.342); (2089.440, 6558.239); (2088.569, 6553.983); (2094.149, 6552.657); (2102.657, 6558.689); (2113.479, 6570.702)"
75,"(469.960, 7252.496); (457.464, 7237.521); (465.689, 7236.773); (479.800, 7239.856); (488.784, 7243.814); (487.868, 7249.025); (484.370, 7255.409)"
76,"(5481.282, 6120.538); (5484.021, 6107.959); (5491.403, 6108.636); (5502.202, 6111.772); (5503.754, 6118.435); (5505.884, 6128.395); (5501.731, 6132.541); (5495.071, 6134.599); (5483.108, 6125.340)"
77,"(7018.731, 8086.822); (7016.550, 8086.167); (7024.719, 8080.951); (7032.519, 8076.595); (7044.214, 8077.287); (7050.257, 8079.229)"
78,"(5133.127, 8038.798); (5133.849, 8052.119); (5130.172, 8070.709); (5128.783, 8065.806); (5131.592, 8046.908)"
79,"(1275.735, 7085.302); (1289.049, 7086.941); (1291.016, 7093.214); (1281.138, 7091.117)"
80,"(6520.999, 4308.249); (6528.916, 4300.301); (6537.703, 4307.666); (6526.164, 4311.252)"
81,"(3446.185, 5031.105); (3433.143, 5030.170); (3438.001, 5024.465); (3444.885, 5019.146); (3449.642, 5022.251)"
82,"(6445.629, 4311.242); (6440.963, 4300.592); (6442.500, 4294.932); (6450.464, 4294.388); (6454.257, 4297.446); (6454.713, 4304.566); (6452.483, 4311.280)"
83,"(200.575, 3629.319); (210.124, 3627.638); (205.694, 3639.490); (202.421, 3635.750)"
84,"(3977.095, 4208.081); (3993.237, 4202.182); (3989.992, 4210.834); (3986.060, 4213.839); (3977.584, 4214.780)"
85,"(1193.019, 6167.008); (1200.723, 6149.607); (1220.256, 6149.651); (1218.540, 6159.614); (1212.496, 6161.621)"
86,"(1909.149, 7187.570); (1897.822, 7190.791); (1886.531, 7189.163); (1881.198, 7177.790); (1891.849, 7176.025); (1899.013, 7177.935)"
87,"(7656.930, 5221.956); (7667.957, 5207.671); (7673.737, 5214.813); (7669.545, 5222.820)"
88,"(3070.149, 5341.999); (3074.001, 5354.506); (3073.387, 5359.717); (3061.282, 5365.937); (3048.914, 5366.790); (3049.360, 5362.506); (3055.980, 5353.902); (3066.126, 5344.571)"
89,"(2030.819, 3607.111); (2024.712, 3604.819); (2027.797, 3601.356); (2036.100, 3603.017)"
90,"(7150.244, 1375.041); (7151.209, 1572.104); (7073.108, 1805.556); (6995.005, 2039.008); (6830.124, 1768.456); (6665.243, 1497.901); (6907.744, 1436.470)"
91,"(7738.915, 3911.155); (7737.357, 3898.726); (7745.171, 3902.306); (7748.798, 3905.917)"
92,"(1453.600, 7217.021); (1448.971, 7194.052); (1455.603, 7190.067); (1463.034, 7188.624); (1471.219, 7198.873); (1478.348, 7217.389); (1471.575, 7222.731); (1467.814, 7223.436)"
93,"(3351.006, 5287.102); (3336.848, 5285.968); (3347.016, 5273.969); (3353.596, 5273.146)"
94,"(3603.058, 4118.723); (3592.754, 4109.200); (3597.237, 4104.984); (3606.878, 4105.241); (3605.641, 4111.810)"
95,"(1994.171, 7309.873); (2002.829, 7307.791); (2004.078, 7312.197); (1994.878, 7312.311)"
96,"(137.148, 3055.293); (145.914, 3055.316); (143.386, 3061.355); (140.890, 3062.538)"
97,"(3439.291, 4106.191); (3446.881, 4111.281); (3444.420, 4118.855); (3433.092, 4117.378); (3435.231, 4110.372)"
98,"(3113.379, 7778.998); (3123.791, 7776.555); (3127.591, 7780.404); (3123.845, 7783.049)"
99,"(7539.594, 6199.328); (7528.818, 6187.987); (7539.538, 6180.072); (7540.586, 6185.817)"
100,"(6649.398, 7278.538); (6666.061, 7272.802); (6657.876, 7284.119); (6654.068, 7287.146)"
101,"(3929.294, 6822.982); (3931.112, 6808.031); (3935.322, 6816.436); (3929.886, 6822.959)"
102,"(8.526, 1002.886); (8.506, 168.780); (20.175, 44.505); (23.796, 28.420); (35.925, 26.687); (121.813, 15.549); (145.941, 20.167); (997.013, 196.411); (1007.266, 205.287); (1008.343, 230.819); (1007.291, 975.808); (1003.890, 1001.338); (984.916, 1004.417); (963.261, 1006.988); (946.769, 1008.644); (933.523, 1009.621); (826.880, 1014.186); (688.557, 1015.177); (649.308, 1015.294); (360.544, 1015.371); (199.275, 1015.234); (62.816, 1014.456)"
103,"(704.577, 7201.896); (694.138, 7199.180); (702.540, 7195.406); (711.912, 7197.498)"
104,"(5992.917, 7830.955); (5993.370, 7820.727); (6010.494, 7799.418); (6001.489, 7819.488)"
105,"(6137.042, 2195.564); (6145.047, 2196.814); (6140.557, 2199.027)"
106,"(7770.526, 6151.310); (7769.168, 6147.059); (7773.758, 6146.060); (7784.297, 6147.426)"
107,"(177.303, 3638.845); (169.146, 3637.626); (173.305, 3634.333); (179.742, 3633.966)"
108,"(5528.556, 4097.915); (5541.509, 4099.875); (5540.981, 4100.367); (5534.212, 4103.120)"
109,"(4116.101, 3654.840); (4104.504, 3652.508); (4115.596, 3645.058)"
110,"(7152.302, 4144.368); (7152.483, 4811.883); (7151.858, 5019.733); (7151.222, 5069.489); (7149.248, 5095.122); (7147.151, 5105.302); (7140.076, 5107.684); (7107.933, 5110.216); (7081.319, 5111.181); (6954.620, 5111.377); (6533.920, 5111.326); (6408.207, 5111.011); (6220.671, 5110.480); (6193.428, 5109.602); (6171.655, 5106.271); (6159.493, 5098.931); (6155.183, 4991.614); (6152.719, 4877.167); (6152.820, 4540.463); (6153.776, 4432.913); (6157.721, 4383.510); (6162.144, 4344.030); (6702.568, 4133.294); (6790.597, 4112.743); (6896.129, 4111.711); (6990.404, 4111.518); (7136.096, 4114.460); (7143.917, 4122.478)"
111,"(267.695, 7434.059); (250.021, 7425.626); (268.502, 7423.762); (285.717, 7423.176)"
112,"(2065.610, 5297.438); (2057.352, 5291.376); (2057.413, 5287.592); (2057.977, 5283.124); (2073.812, 5283.140); (2078.452, 5285.302); (2081.139, 5288.502); (2079.413, 5296.220); (2076.959, 5300.983); (2074.845, 5303.312)"
113,"(7030.473, 7787.510); (7038.570, 7798.311); (7035.173, 7805.257); (7032.268, 7801.460)"
114,"(5752.919, 6786.133); (5755.348, 6772.930); (5760.428, 6785.753); (5759.310, 6790.787)"
115,"(6163.786, 7570.236); (6168.811, 7569.858); (6177.304, 7571.249); (6190.058, 7586.639); (6179.488, 7599.254); (6172.585, 7604.638); (6167.067, 7606.558); (6155.920, 7601.969); (6153.369, 7597.428); (6160.569, 7576.731)"
116,"(4592.211, 6391.173); (4592.156, 7020.628); (4591.842, 7085.776); (4591.251, 7138.743); (4590.518, 7145.354); (4573.129, 7158.751); (4314.483, 7159.250); (4251.821, 7159.308); (4146.373, 7158.842); (4032.268, 7158.049); (3606.006, 6481.910); (3594.757, 6451.833); (3593.456, 6384.721); (3594.196, 6310.772); (3597.636, 6285.515); (4246.541, 6181.659); (4272.778, 6178.686); (4528.534, 6160.474); (4586.375, 6183.773); (4589.846, 6202.111); (4590.654, 6245.400)"
117,"(2995.678, 6164.325); (2985.009, 6146.735); (2986.805, 6141.511); (3001.572, 6139.742); (3007.916, 6144.983); (3009.117, 6146.609); (3011.496, 6160.185); (3009.701, 6166.266); (3005.131, 6167.307); (3001.181, 6166.897)"
118,"(2448.201, 3892.332); (2441.438, 3895.208); (2441.885, 3887.795); (2445.541, 3882.905)"
119,"(4118.414, 4068.173); (4105.366, 4070.945); (4109.227, 4063.069)"
120,"(2153.311, 7475.627); (2152.821, 7462.123); (2154.551, 7456.708); (2157.334, 7453.094); (2161.131, 7452.192); (2172.449, 7454.101); (2184.237, 7456.496); (2189.067, 7458.527); (2185.574, 7467.467); (2181.839, 7475.514); (2178.267, 7476.630); (2154.780, 7478.538)"
121,"(140.577, 4055.126); (136.899, 4044.427); (138.497, 4042.691); (143.837, 4041.722); (145.248, 4045.885)"
122,"(1150.075, 6140.976); (1156.234, 6159.120); (1144.960, 6166.846); (1128.503, 6164.381); (1128.623, 6151.042)"
123,"(3049.585, 2212.466); (3048.548, 2206.956); (3051.516, 2209.137); (3052.511, 2215.487)"
124,"(6219.935, 3894.582); (6217.035, 3891.421); (6221.097, 3884.588); (6223.298, 3883.167); (6226.663, 3884.227)"
125,"(4108.472, 7319.072); (4105.327, 7284.045); (4126.125, 7286.441); (4139.107, 7296.961); (4130.348, 7311.273)"
126,"(237.078, 5138.560); (551.799, 5136.255); (676.526, 5138.319); (914.111, 5142.252); (927.499, 5156.372); (938.311, 5171.979); (938.802, 5172.691); (956.476, 5198.547); (957.225, 5199.669); (981.761, 5236.622); (1008.052, 5276.239); (1008.353, 5719.240); (1008.291, 5845.324); (1007.382, 5996.997); (1003.806, 6033.848); (997.297, 6086.877); (994.636, 6103.452); (971.889, 6132.253); (861.876, 6134.362); (446.229, 6134.688); (148.726, 6133.626); (58.484, 6133.281); (21.987, 6128.546); (17.414, 6113.893); (13.056, 6073.436); (8.878, 5872.661); (21.380, 5777.237); (226.648, 5164.748)"
127,"(2255.630, 7743.920); (2268.853, 7738.599); (2274.258, 7759.708); (2258.437, 7751.847)"
128,"(3273.091, 4919.080); (3278.580, 4897.641); (3292.010, 4903.046); (3289.158, 4911.096)"
129,"(1738.559, 3079.340); (1737.352, 3073.415); (1740.443, 3070.528); (1746.390, 3070.398); (1744.525, 3074.303)"
130,"(2537.355, 6847.504); (2535.315, 6855.250); (2518.373, 6869.456); (2515.726, 6871.409); (2512.018, 6866.980); (2505.398, 6852.478); (2514.032, 6847.562)"
131,"(93.050, 6221.908); (82.937, 6231.006); (75.955, 6225.546); (73.035, 6214.950); (90.196, 6217.061)"
132,"(3838.078, 7176.143); (3837.106, 7191.136); (3834.659, 7188.322); (3832.533, 7181.475); (3835.000, 7174.159)"
133,"(4306.902, 4426.744); (4297.490, 4439.481); (4298.105, 4431.178)"
134,"(4079.948, 1453.033); (4080.427, 1970.516); (4076.872, 2033.788); (4011.477, 2038.914); (3469.592, 2039.456); (3101.148, 2038.604); (3090.959, 2033.272); (3081.730, 2010.512); (3080.561, 1977.219); (3080.511, 1888.156); (3080.579, 1716.975); (3080.853, 1697.778); (3089.746, 1653.632); (3303.038, 1050.399); (3334.736, 1046.830); (3477.768, 1043.104); (3746.526, 1040.425); (4070.241, 1436.373); (4076.680, 1444.291)"
135,"(1811.910, 3462.236); (1800.942, 3463.240); (1807.623, 3452.903)"
136,"(1161.117, 4844.092); (1172.762, 4839.288); (1180.791, 4841.954); (1176.550, 4847.874); (1163.610, 4855.240); (1161.398, 4848.127)"
137,"(61.081, 4594.751); (53.157, 4598.692); (49.603, 4597.785); (40.862, 4593.089); (41.088, 4583.783); (46.504, 4582.532); (56.909, 4587.574)"
138,"(4920.457, 4233.771); (4921.963, 4238.420); (4919.033, 4242.104); (4910.760, 4247.357); (4907.603, 4244.606); (4904.565, 4239.780); (4910.610, 4236.148)"
139,"(279.921, 7297.510); (287.691, 7291.387); (285.859, 7297.223); (270.788, 7315.233); (265.238, 7319.375); (266.847, 7314.496)"
