NO,Polygon Points
36,"(1657.575, 1519.412); (1544.966, 1469.216); (1547.936, 974.084); (1553.124, 878.651); (1558.467, 869.156); (1575.169, 859.087); (1593.159, 852.427); (1654.788, 851.414); (1659.626, 852.045); (1668.503, 853.665); (1774.107, 893.834); (1775.122, 896.384); (1777.481, 978.021); (1791.428, 1517.083); (1790.179, 1519.721); (1785.936, 1523.025); (1760.943, 1527.314); (1712.626, 1525.793); (1683.769, 1523.682)"
37,"(1297.038, 942.449); (1289.168, 901.000); (1292.184, 898.202); (1300.823, 895.008); (1307.310, 894.466); (1337.126, 899.867); (1340.304, 902.137); (1350.869, 937.827); (1350.325, 941.765); (1349.546, 945.817); (1334.683, 950.064); (1326.935, 950.734); (1315.623, 949.642)"
38,"(2354.569, 1959.341); (2346.949, 1949.560); (2346.117, 1942.894); (2344.692, 1922.174); (2351.195, 1922.445); (2354.947, 1922.716); (2359.579, 1936.559); (2360.317, 1943.362); (2357.892, 1954.994)"
39,"(2761.396, 1613.290); (2942.511, 1557.818); (2948.750, 1557.235); (2951.938, 1557.120); (2959.258, 1560.473); (2965.040, 1566.701); (2967.639, 1575.916); (2968.324, 1586.951); (2964.717, 1643.962); (2962.440, 1646.667); (2897.195, 1654.261); (2873.581, 1654.844); (2810.799, 1653.972); (2794.140, 1647.321); (2783.754, 1643.132); (2780.880, 1640.686); (2773.195, 1631.466); (2762.937, 1618.825)"
40,"(2379.174, 1740.950); (2395.145, 1665.232); (2401.721, 1665.649); (2445.734, 1679.883); (2449.888, 1686.581); (2451.958, 1692.779); (2457.463, 1747.768); (2471.466, 1974.502); (2467.471, 1983.800); (2463.071, 1990.841); (2438.561, 2020.317); (2420.337, 2038.373); (2415.459, 2038.545); (2398.460, 2036.259); (2379.023, 2030.967); (2379.013, 2030.855); (2376.970, 2009.415); (2377.774, 1911.054)"
41,"(1858.369, 1412.075); (1953.424, 1423.112); (1955.863, 1428.755); (1957.314, 1442.815); (1962.421, 1514.084); (1956.346, 1753.665); (1955.018, 1793.375); (1946.432, 1952.486); (1914.020, 2028.497); (1911.701, 2032.070); (1908.595, 2035.659); (1900.781, 2037.312); (1896.335, 2037.654); (1854.527, 2039.150); (1805.097, 2038.018); (1801.756, 2037.915); (1801.005, 2018.491); (1802.040, 1976.756); (1813.994, 1574.733); (1815.195, 1541.471); (1822.671, 1425.764); (1826.510, 1419.332); (1833.213, 1417.682)"
42,"(2601.922, 954.395); (2606.140, 959.767); (2604.372, 968.814); (2602.868, 972.932); (2575.239, 981.189); (2569.401, 982.702); (2569.457, 978.529); (2570.004, 977.368); (2579.636, 966.358); (2595.740, 949.622)"
43,"(3958.547, 822.803); (3945.416, 811.298); (3946.976, 802.820); (3957.477, 802.707); (3968.427, 803.198); (3970.607, 808.182); (3963.215, 821.710)"
44,"(1270.676, 1490.732); (1274.286, 1875.939); (1260.742, 2024.387); (1258.038, 2037.579); (1253.293, 2039.014); (1232.745, 2036.834); (1224.612, 1504.950); (1264.593, 1491.640)"
45,"(1288.653, 1199.302); (1294.742, 1144.210); (1296.874, 1135.953); (1302.682, 1117.668); (1318.862, 1112.930); (1342.376, 1111.862); (1349.945, 1111.697); (1355.068, 1113.387); (1359.703, 1116.162); (1359.518, 1169.704); (1358.963, 1175.181); (1345.109, 1204.989); (1340.673, 1206.044); (1329.718, 1207.318); (1313.442, 1207.012); (1297.500, 1205.646); (1292.923, 1204.643); (1288.907, 1202.555)"
46,"(2568.910, 1513.264); (2568.547, 1341.342); (2577.725, 1340.587); (2636.235, 1341.792); (2708.443, 1376.818); (2712.338, 1380.721); (2712.886, 1393.015); (2712.923, 1405.216); (2583.551, 1522.759); (2577.144, 1526.117); (2568.973, 1526.900); (2568.954, 1524.145)"
47,"(1071.427, 1857.823); (1058.815, 1879.084); (1047.948, 1878.446); (1044.722, 1874.825); (1033.278, 1840.017); (1033.127, 1837.161); (1033.922, 1824.021); (1036.397, 1793.630); (1052.408, 1789.538); (1059.410, 1791.011); (1072.553, 1795.649); (1078.875, 1803.265); (1077.947, 1817.333); (1076.101, 1835.171)"
48,"(2312.802, 1387.063); (2420.099, 1337.834); (2430.112, 1347.202); (2434.248, 1353.350); (2466.579, 1417.364); (2468.914, 1422.032); (2486.103, 1466.424); (2488.398, 1504.346); (2487.120, 1513.451); (2484.093, 1519.723); (2479.204, 1521.295); (2463.560, 1522.912); (2395.037, 1526.975); (2338.721, 1523.671); (2326.974, 1521.407); (2313.368, 1517.746); (2312.788, 1490.064); (2312.743, 1487.098); (2312.571, 1472.070); (2312.552, 1462.010); (2312.543, 1426.817); (2312.623, 1410.835)"
49,"(3721.613, 1581.392); (3703.091, 1631.587); (3692.634, 1652.721); (3690.824, 1654.859); (3655.527, 1654.698); (3650.794, 1653.802); (3533.248, 1628.514); (3530.556, 1627.115); (3529.205, 1610.605); (3549.612, 1577.145); (3555.196, 1571.782); (3556.919, 1570.129); (3564.299, 1567.776); (3568.363, 1566.885); (3580.096, 1565.272); (3615.481, 1562.513); (3714.643, 1565.900); (3719.565, 1568.093); (3720.220, 1571.011)"
50,"(1224.903, 1398.515); (1224.902, 1353.505); (1239.009, 1351.016); (1245.473, 1351.449); (1258.362, 1361.088); (1263.226, 1367.584); (1261.922, 1372.214); (1256.594, 1381.505); (1240.558, 1393.684)"
51,"(2472.683, 1386.114); (2474.856, 1355.894); (2498.636, 1355.141); (2528.337, 1361.727); (2534.777, 1363.424); (2539.918, 1367.687); (2543.518, 1371.616); (2539.136, 1388.666); (2532.729, 1395.835); (2529.581, 1399.275); (2483.301, 1392.030); (2472.813, 1389.935)"
52,"(2971.186, 1844.425); (2953.412, 1832.239); (2960.050, 1816.191); (2962.951, 1813.479); (2969.888, 1807.723); (2980.548, 1804.003); (2985.928, 1804.752); (3042.974, 1815.123); (2996.797, 1847.336); (2996.505, 1847.465); (2994.269, 1847.496); (2989.424, 1847.390)"
53,"(1161.334, 1051.724); (1161.862, 1049.106); (1169.060, 1019.105); (1196.761, 1039.760); (1202.729, 1044.379); (1203.233, 1044.878); (1207.282, 1052.157); (1209.389, 1058.573); (1209.204, 1068.465); (1198.943, 1076.670); (1193.466, 1079.201); (1171.454, 1069.890); (1162.431, 1058.421)"
54,"(3560.705, 1515.291); (3562.973, 1509.894); (3569.913, 1505.685); (3573.514, 1504.682); (3575.503, 1505.437); (3595.479, 1522.824); (3592.230, 1525.474); (3588.957, 1526.711); (3581.290, 1526.757); (3561.484, 1524.491); (3561.108, 1524.164)"
55,"(1275.438, 1432.297); (1273.916, 1461.856); (1271.028, 1462.406); (1240.531, 1462.877); (1208.476, 1462.806); (1201.890, 1461.865); (1196.026, 1458.438); (1195.986, 1458.362); (1194.299, 1452.536); (1192.734, 1435.504); (1192.681, 1434.018); (1194.315, 1430.774); (1198.123, 1429.147); (1245.685, 1424.331); (1262.109, 1422.685); (1272.479, 1427.135)"
56,"(3624.823, 1517.387); (3639.637, 1501.798); (3644.016, 1501.836); (3665.403, 1504.580); (3669.717, 1510.861); (3674.788, 1527.024); (3639.033, 1525.742)"
57,"(2834.979, 1112.853); (2825.442, 1140.721); (2821.252, 1142.568); (2809.656, 1142.916); (2799.814, 1143.097); (2793.365, 1133.246); (2793.444, 1125.828); (2797.831, 1097.659); (2803.103, 1096.078); (2819.730, 1095.352); (2832.911, 1096.451); (2834.596, 1101.630)"
58,"(1790.646, 1558.889); (1785.111, 1554.956); (1785.175, 1548.488); (1794.353, 1540.485); (1796.562, 1545.654); (1797.417, 1554.816)"
59,"(4026.572, 967.143); (4037.922, 993.275); (4033.119, 1003.672); (4029.030, 1011.974); (3999.628, 1014.707); (3998.190, 1014.194); (3995.038, 1011.046); (3979.552, 986.680); (3977.220, 982.351); (3979.882, 972.317); (3985.709, 965.896); (3990.465, 964.469)"
60,"(3630.049, 1682.818); (3630.735, 1694.864); (3627.730, 1703.004); (3609.410, 1709.987); (3575.730, 1718.871); (3560.772, 1718.287); (3584.235, 1686.541); (3589.537, 1681.842); (3608.563, 1676.951); (3624.551, 1676.511); (3626.643, 1676.549)"
61,"(2653.119, 950.541); (2632.817, 944.662); (2633.392, 932.690); (2637.825, 915.423); (2641.882, 901.422); (2651.906, 902.060); (2672.311, 904.906); (2678.481, 907.320); (2683.214, 914.374); (2692.181, 943.350); (2685.907, 947.193)"
62,"(3605.677, 887.319); (3620.567, 885.639); (3628.778, 887.248); (3631.336, 896.848); (3631.691, 911.626); (3626.273, 916.069); (3612.916, 918.570); (3605.261, 916.931); (3599.343, 913.795); (3594.680, 905.230); (3593.416, 892.699); (3597.152, 891.032)"
63,"(1981.149, 1870.541); (1968.589, 1879.111); (1966.000, 1876.108); (1962.597, 1865.241); (1961.270, 1858.198); (1960.945, 1848.369); (1961.046, 1842.109); (1971.691, 1839.298); (1977.531, 1843.389); (1979.530, 1850.333); (1981.031, 1857.899)"
64,"(2505.320, 1504.178); (2508.190, 1498.539); (2522.725, 1485.655); (2531.314, 1487.438); (2534.395, 1489.039); (2541.928, 1559.355); (2533.786, 1558.902); (2514.302, 1538.987); (2508.738, 1532.384); (2508.035, 1528.372); (2506.770, 1518.156)"
65,"(2150.307, 1262.470); (2139.957, 1271.340); (2136.881, 1259.480); (2136.667, 1253.000); (2144.059, 1256.974)"
66,"(2174.995, 1964.894); (2176.018, 1986.506); (2175.312, 1996.050); (2173.251, 2003.396); (2168.777, 2007.323); (2165.820, 2004.367); (2164.001, 2000.666); (2153.903, 1972.951); (2152.856, 1965.982); (2154.662, 1960.555); (2162.183, 1958.851)"
67,"(3929.253, 980.970); (3930.652, 973.176); (3942.541, 976.509); (3937.811, 982.879)"
68,"(2666.802, 1479.030); (2665.012, 1464.271); (2668.858, 1458.733); (2677.142, 1455.834); (2678.983, 1462.222); (2677.489, 1476.692)"
69,"(2999.714, 1898.314); (3004.260, 1920.889); (2999.917, 1937.831); (2990.944, 1943.088); (2985.699, 1936.559); (2985.469, 1929.863); (2986.200, 1919.523); (2986.866, 1911.584)"
70,"(3090.501, 1936.336); (3084.687, 1942.762); (3081.397, 1932.261); (3081.369, 1915.126); (3087.624, 1919.970)"
71,"(3851.226, 1301.902); (3848.760, 1248.316); (3873.145, 1238.898); (3879.275, 1242.456); (3883.332, 1252.303); (3885.000, 1261.323); (3884.270, 1274.936); (3877.719, 1303.444); (3854.310, 1302.447)"
72,"(3435.740, 1643.812); (3458.203, 1636.363); (3488.243, 1636.482); (3506.514, 1638.676); (3542.028, 1652.586); (3546.999, 1656.251); (3546.908, 1660.790); (3546.391, 1686.463); (3546.263, 1692.790); (3452.017, 1759.008); (3443.637, 1763.220); (3428.598, 1768.357); (3403.422, 1775.714); (3385.521, 1780.888); (3375.334, 1782.928); (3371.113, 1776.392); (3357.786, 1753.601); (3338.702, 1690.867); (3336.831, 1680.293); (3344.386, 1677.016)"
73,"(4072.589, 1704.426); (4079.401, 1691.916); (4084.642, 1698.064); (4086.374, 1706.195); (4084.781, 1714.279); (4079.792, 1718.890); (4075.444, 1714.537)"
74,"(2691.578, 1175.422); (2674.197, 1166.077); (2666.224, 1159.451); (2665.201, 1153.813); (2667.545, 1146.415); (2680.964, 1139.642); (2694.286, 1142.467); (2708.576, 1151.546); (2707.199, 1164.794); (2704.299, 1168.406); (2693.484, 1174.885)"
75,"(2319.947, 1654.543); (2312.613, 1635.321); (2316.861, 1633.213); (2340.082, 1632.193); (2354.054, 1636.779); (2351.595, 1642.862); (2342.406, 1648.172); (2334.759, 1651.795)"
76,"(481.875, 1271.402); (473.269, 1269.379); (479.035, 1269.932); (482.105, 1270.928)"
77,"(2132.103, 1008.910); (2156.619, 1006.785); (2173.187, 1008.530); (2181.254, 1009.766); (2191.876, 1015.468); (2191.908, 1015.579); (2192.989, 1020.417); (2193.481, 1025.285); (2194.748, 1040.864); (2187.745, 1048.343); (2158.085, 1071.859); (2132.313, 1079.318); (2121.364, 1072.037); (2130.757, 1012.498)"
78,"(2857.450, 841.860); (2879.307, 824.962); (2883.539, 824.430); (2888.658, 830.342); (2890.492, 843.955); (2888.966, 851.423); (2883.845, 855.326); (2865.441, 853.648); (2861.444, 851.784)"
79,"(4023.095, 1646.682); (4057.915, 1648.239); (4057.846, 1651.637); (4055.843, 1751.194); (4055.800, 1753.303); (4041.371, 1762.525); (4034.634, 1764.678); (4000.899, 1775.281); (3984.561, 1779.774); (3968.775, 1783.330); (3872.345, 1775.827); (3868.928, 1774.919); (3864.169, 1773.424); (3851.849, 1742.947); (3849.294, 1733.040); (3855.745, 1725.897); (3874.194, 1708.521)"
80,"(2636.505, 1490.606); (2624.004, 1495.333); (2619.608, 1495.278); (2618.259, 1494.289); (2617.384, 1487.045); (2617.484, 1486.807); (2635.344, 1485.689)"
81,"(626.905, 1303.066); (616.615, 1293.772); (625.468, 1291.219); (635.096, 1299.152)"
82,"(2699.304, 1324.621); (2696.946, 1313.522); (2697.352, 1298.920); (2698.937, 1295.261); (2708.952, 1290.113); (2717.619, 1288.115); (2773.032, 1278.898); (2778.477, 1285.063); (2782.643, 1298.720); (2772.070, 1318.266); (2734.057, 1330.121); (2706.211, 1335.152); (2702.895, 1332.395)"
83,"(3406.278, 995.472); (3401.022, 980.530); (3404.122, 972.997); (3411.949, 964.275); (3419.873, 959.022); (3435.079, 959.320); (3451.570, 965.954); (3461.037, 977.731); (3466.656, 988.409); (3467.162, 997.978); (3466.875, 1002.170); (3420.304, 1015.025); (3414.050, 1015.408)"
84,"(3049.284, 1155.388); (3050.585, 1135.998); (3091.952, 1127.892); (3107.702, 1132.301); (3108.356, 1140.883); (3106.328, 1168.434); (3103.046, 1170.256); (3076.890, 1175.026); (3069.389, 1173.531); (3051.426, 1162.799)"
85,"(1643.818, 1958.741); (1641.463, 1957.176); (1642.031, 1954.167); (1648.802, 1935.469); (1651.415, 1936.125); (1656.003, 1943.372)"
86,"(3265.376, 774.999); (3256.819, 772.533); (3261.938, 769.526); (3267.229, 770.062)"
87,"(1773.231, 1751.078); (1769.343, 1743.486); (1779.478, 1728.387); (1797.122, 1726.416); (1802.629, 1727.565); (1793.508, 1741.077); (1782.735, 1747.291)"
88,"(3465.313, 1232.711); (3464.982, 1225.203); (3473.456, 1222.088); (3483.922, 1225.008); (3487.962, 1229.616); (3490.997, 1236.158); (3487.126, 1237.373); (3470.622, 1238.988)"
89,"(3058.839, 1463.121); (3033.354, 1457.079); (3031.116, 1455.172); (3023.509, 1448.144); (3018.868, 1442.038); (3018.176, 1440.531); (3017.480, 1432.935); (3018.529, 1431.325); (3021.726, 1427.979); (3025.434, 1424.550); (3030.324, 1421.730); (3064.880, 1426.800); (3078.828, 1431.992); (3077.777, 1435.784); (3061.274, 1460.454)"
90,"(2640.010, 855.357); (2633.284, 852.643); (2635.102, 845.327); (2645.862, 843.076); (2643.053, 851.421); (2641.844, 853.791)"
91,"(2124.642, 1398.570); (2057.184, 1377.207); (2086.094, 1339.032); (2145.653, 1291.762); (2181.276, 1279.794); (2213.132, 1284.814); (2213.250, 1284.851); (2213.235, 1285.641); (2213.040, 1295.335); (2212.473, 1323.506); (2212.092, 1342.405); (2211.676, 1363.073); (2211.278, 1382.839); (2203.351, 1387.674)"
92,"(3894.528, 1060.957); (3896.700, 1065.744); (3889.173, 1077.566); (3885.785, 1078.619); (3880.973, 1076.225); (3882.496, 1069.409); (3885.229, 1062.826)"
93,"(1131.644, 1538.782); (1129.450, 1530.377); (1136.164, 1523.583); (1154.398, 1524.564); (1190.750, 1529.487); (1211.203, 1534.830); (1203.873, 1543.820); (1198.909, 1549.290); (1197.487, 1550.532); (1189.304, 1556.203); (1181.446, 1558.904); (1144.806, 1548.095); (1134.577, 1543.589)"
94,"(264.856, 1608.765); (268.419, 1613.157); (261.296, 1621.107); (253.567, 1623.498); (248.853, 1622.735); (249.292, 1615.779); (256.354, 1609.291)"
95,"(3222.095, 882.795); (3220.691, 886.813); (3217.193, 886.082); (3212.980, 883.552); (3209.000, 879.637); (3215.270, 878.090)"
96,"(2640.355, 798.006); (2652.304, 803.010); (2656.616, 807.933); (2658.588, 813.004); (2660.660, 820.184); (2658.736, 822.715); (2642.229, 814.610); (2633.147, 804.276); (2634.577, 798.173)"
97,"(2184.826, 2028.902); (2194.646, 1999.259); (2197.856, 2001.679); (2201.828, 2011.508); (2203.443, 2020.132); (2197.583, 2033.123); (2194.814, 2039.060); (2189.652, 2034.508)"
98,"(1160.858, 1756.441); (1171.428, 1748.410); (1196.086, 1734.688); (1198.332, 1736.781); (1199.557, 1747.148); (1198.980, 1796.764); (1196.409, 1807.671); (1193.267, 1813.451); (1182.542, 1814.983); (1172.182, 1809.708); (1166.810, 1805.634); (1161.431, 1781.278)"
99,"(2344.706, 875.101); (2345.904, 867.902); (2349.629, 856.493); (2369.264, 865.084); (2382.131, 872.631); (2372.437, 882.329); (2351.795, 886.828); (2345.537, 882.627)"
100,"(3017.052, 778.900); (3021.652, 769.174); (3035.407, 783.401); (3029.777, 790.553); (3020.177, 787.036)"
101,"(1018.682, 838.208); (1017.652, 854.785); (1004.053, 847.980); (1001.387, 842.158); (1004.995, 834.035); (1009.138, 829.566); (1017.159, 828.698)"
102,"(2397.828, 1297.860); (2407.502, 1308.338); (2402.140, 1318.675); (2392.648, 1314.607); (2393.483, 1304.425)"
103,"(1993.009, 829.057); (2008.186, 821.415); (2019.423, 837.933); (2021.337, 854.677); (2007.348, 850.469); (1994.543, 832.723)"
104,"(1161.470, 1995.526); (1182.347, 1849.154); (1190.517, 1847.091); (1201.096, 1845.348); (1203.432, 1866.107); (1206.414, 1978.793); (1206.623, 2003.666); (1206.731, 2018.452); (1205.825, 2029.486); (1200.756, 2032.348); (1186.089, 2038.683); (1166.602, 2033.327); (1164.573, 2031.330); (1162.295, 2016.319)"
105,"(1135.063, 765.566); (1150.180, 773.568); (1147.783, 782.362); (1144.968, 790.843); (1134.012, 787.144); (1128.904, 774.602); (1129.671, 766.668)"
106,"(2065.747, 1813.093); (2056.892, 1804.634); (2066.277, 1809.982); (2068.765, 1815.029)"
107,"(1280.735, 932.136); (1272.987, 934.574); (1273.466, 923.454)"
108,"(3384.335, 1526.984); (3369.179, 1511.465); (3370.050, 1502.888); (3370.882, 1496.490); (3376.472, 1492.173); (3383.310, 1492.567); (3387.783, 1495.805); (3387.638, 1514.497)"
109,"(3803.198, 807.688); (3795.939, 823.285); (3787.000, 814.892); (3785.029, 802.302); (3791.040, 798.560); (3802.011, 804.149)"
